target_dataset,rank,pair_id,transfer_mode,n,mean,min,max
foursquare,1,KuaiRec_to_foursquare,feature_encoder_a12_router_init,12,0.0018916666666666641,-0.0020999999999999908,0.003699999999999981
foursquare,2,KuaiRec_to_foursquare,feature_encoder_group_router_init,12,0.0018916666666666641,-0.0020999999999999908,0.003699999999999981
lastfm0.03,1,KuaiRec_to_lastfm,feature_encoder_a12_router_init,12,0.000650000000000007,-0.0030999999999999917,0.005199999999999982
lastfm0.03,2,KuaiRec_to_lastfm,feature_encoder_group_router_init,12,0.000650000000000007,-0.0030999999999999917,0.005199999999999982
movielens1m,1,KuaiRec_to_movielens1m,full_except_feature_router_init,1,0.006399999999999996,0.006399999999999996,0.006399999999999996
movielens1m,2,KuaiRec_to_movielens1m,feature_encoder_init,2,0.0010499999999999989,-0.0016000000000000042,0.003700000000000002
retail_rocket,1,beauty_to_retail_rocket,full_except_feature_router_init,12,0.00249166666666667,0.0009000000000000119,0.005299999999999971
retail_rocket,2,beauty_to_retail_rocket,full_model_init,12,0.002475000000000005,-0.0008000000000000229,0.005699999999999983
KuaiRecLargeStrictPosV2_0.2,1,foursquare_to_KuaiRec,feature_encoder_init,12,0.0007749999999999979,-0.004100000000000048,0.003599999999999992
KuaiRecLargeStrictPosV2_0.2,2,foursquare_to_KuaiRec,all_router_init,12,0.0007500000000000053,-0.0016999999999999793,0.0041999999999999815
beauty,1,retail_rocket_to_beauty,feature_encoder_a12_router_init,12,0.0021666666666666687,-0.006000000000000005,0.009799999999999996
beauty,2,retail_rocket_to_beauty,feature_encoder_group_router_init,12,0.0021666666666666687,-0.006000000000000005,0.009799999999999996
