pair_id,target_dataset,transfer_mode,freeze_policy,n,mean,min,max
beauty_to_retail_rocket,retail_rocket,feature_encoder_a12_router_init,freeze_loaded,12,0.0009500000000000064,-0.0021999999999999797,0.0030999999999999917
beauty_to_retail_rocket,retail_rocket,feature_encoder_group_router_init,freeze_loaded,12,0.0009500000000000064,-0.0021999999999999797,0.0030999999999999917
beauty_to_retail_rocket,retail_rocket,full_model_init,freeze_loaded,12,-0.08383333333333333,-0.10349999999999998,-0.07179999999999997
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_a12_router_init,freeze_loaded,12,-0.00670833333333334,-0.02350000000000002,0.0043999999999999595
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_group_router_init,freeze_loaded,12,-0.00670833333333334,-0.02350000000000002,0.0043999999999999595
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,full_model_init,freeze_loaded,12,-0.03268333333333333,-0.06,-0.011099999999999999
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_a12_router_init,freeze_loaded,12,-0.0062416666666666775,-0.013200000000000045,9.999999999998899e-05
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_group_router_init,freeze_loaded,12,-0.0062416666666666775,-0.013200000000000045,9.999999999998899e-05
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,full_model_init,freeze_loaded,12,-0.05900000000000001,-0.1036,-0.0413
retail_rocket_to_beauty,beauty,feature_encoder_a12_router_init,freeze_loaded,12,-0.0010499999999999982,-0.013600000000000008,0.012799999999999999
retail_rocket_to_beauty,beauty,feature_encoder_group_router_init,freeze_loaded,12,-0.0010499999999999982,-0.013600000000000008,0.012799999999999999
retail_rocket_to_beauty,beauty,full_model_init,freeze_loaded,12,-0.014116666666666666,-0.0303,0.003799999999999998
