pair_id,target_dataset,transfer_mode,n,mean,min,max
KuaiRec_to_foursquare,foursquare,all_router_init,12,0.0010000000000000009,-0.00269999999999998,0.003799999999999998
KuaiRec_to_foursquare,foursquare,feature_encoder_a12_router_init,12,0.0018916666666666641,-0.0020999999999999908,0.003699999999999981
KuaiRec_to_foursquare,foursquare,feature_encoder_group_router_init,12,0.0018916666666666641,-0.0020999999999999908,0.003699999999999981
KuaiRec_to_foursquare,foursquare,feature_encoder_init,12,0.0011416666666666658,-0.0030000000000000027,0.004200000000000009
KuaiRec_to_foursquare,foursquare,feature_encoder_router_init,12,0.0018916666666666641,-0.0020999999999999908,0.003699999999999981
KuaiRec_to_foursquare,foursquare,full_except_feature_router_init,12,-0.0027916666666666624,-0.010499999999999982,0.0025000000000000022
KuaiRec_to_foursquare,foursquare,full_model_init,12,-0.0032333333333333333,-0.0058,0.0007000000000000062
KuaiRec_to_foursquare,foursquare,group_router_init,12,0.0010000000000000009,-0.00269999999999998,0.003799999999999998
KuaiRec_to_lastfm,lastfm0.03,all_router_init,12,-0.00022499999999999834,-0.0030999999999999917,0.0029000000000000137
KuaiRec_to_lastfm,lastfm0.03,feature_encoder_a12_router_init,12,0.000650000000000007,-0.0030999999999999917,0.005199999999999982
KuaiRec_to_lastfm,lastfm0.03,feature_encoder_group_router_init,12,0.000650000000000007,-0.0030999999999999917,0.005199999999999982
KuaiRec_to_lastfm,lastfm0.03,feature_encoder_init,12,-0.0007249999999999942,-0.003500000000000003,0.0025000000000000022
KuaiRec_to_lastfm,lastfm0.03,feature_encoder_router_init,12,0.000650000000000007,-0.0030999999999999917,0.005199999999999982
KuaiRec_to_lastfm,lastfm0.03,full_except_feature_router_init,12,-0.0006999999999999876,-0.005099999999999993,0.005900000000000016
KuaiRec_to_lastfm,lastfm0.03,full_model_init,12,-0.00012499999999999548,-0.003999999999999948,0.0039000000000000146
KuaiRec_to_lastfm,lastfm0.03,group_router_init,12,-0.00022499999999999834,-0.0030999999999999917,0.0029000000000000137
KuaiRec_to_movielens1m,movielens1m,all_router_init,2,-0.0028000000000000004,-0.0077000000000000055,0.0021000000000000046
KuaiRec_to_movielens1m,movielens1m,feature_encoder_a12_router_init,1,0.0006000000000000033,0.0006000000000000033,0.0006000000000000033
KuaiRec_to_movielens1m,movielens1m,feature_encoder_group_router_init,2,-0.0012500000000000011,-0.0031000000000000055,0.0006000000000000033
KuaiRec_to_movielens1m,movielens1m,feature_encoder_init,2,0.0010499999999999989,-0.0016000000000000042,0.003700000000000002
KuaiRec_to_movielens1m,movielens1m,feature_encoder_router_init,1,0.0006000000000000033,0.0006000000000000033,0.0006000000000000033
KuaiRec_to_movielens1m,movielens1m,full_except_feature_router_init,1,0.006399999999999996,0.006399999999999996,0.006399999999999996
KuaiRec_to_movielens1m,movielens1m,full_model_init,1,-0.000899999999999998,-0.000899999999999998,-0.000899999999999998
KuaiRec_to_movielens1m,movielens1m,group_router_init,2,-0.0028000000000000004,-0.0077000000000000055,0.0021000000000000046
beauty_to_retail_rocket,retail_rocket,all_router_init,12,0.0003583333333333401,-0.0015000000000000013,0.00379999999999997
beauty_to_retail_rocket,retail_rocket,feature_encoder_a12_router_init,12,-0.0005000000000000004,-0.0023999999999999577,0.002799999999999969
beauty_to_retail_rocket,retail_rocket,feature_encoder_group_router_init,12,-0.0005000000000000004,-0.0023999999999999577,0.002799999999999969
beauty_to_retail_rocket,retail_rocket,feature_encoder_init,12,0.0008750000000000054,-0.0015000000000000013,0.0041999999999999815
beauty_to_retail_rocket,retail_rocket,feature_encoder_router_init,12,-0.0005000000000000004,-0.0023999999999999577,0.002799999999999969
beauty_to_retail_rocket,retail_rocket,full_except_feature_router_init,12,0.00249166666666667,0.0009000000000000119,0.005299999999999971
beauty_to_retail_rocket,retail_rocket,full_model_init,12,0.002475000000000005,-0.0008000000000000229,0.005699999999999983
beauty_to_retail_rocket,retail_rocket,group_router_init,12,0.0003583333333333401,-0.0015000000000000013,0.00379999999999997
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,all_router_init,12,0.0007500000000000053,-0.0016999999999999793,0.0041999999999999815
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_a12_router_init,12,-0.0016666666666666635,-0.005700000000000038,0.007699999999999985
