phase,run_phase,pair_id,triplet_id,target_dataset,hparam_id,seed,transfer_mode,freeze_policy,loaded_tensors,init_changed_tensors,train_changed_tensors,trainable_loaded_tensors,prefix_resolution,test_mrr20,baseline_test_mrr20,gain_vs_native,result_path
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_feature_encoder_group_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3323,0.3352,-0.0029000000000000137,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_feature_encoder_group_router_init_20260504_082443_889614_pid435504.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_feature_encoder_a12_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3323,0.3352,-0.0029000000000000137,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_feature_encoder_a12_router_init_s_20260504_082443_891973_pid435505.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_full_model_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,1,full_model_init,freeze_loaded,198,158,0,0,,0.2903,0.3352,-0.044899999999999995,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_full_model_init_s1_20260504_082444_312942_pid435506.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_feature_encoder_group_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3181,0.3374,-0.019299999999999984,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_feature_encoder_group_router_init_20260504_082444_681354_pid435507.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_feature_encoder_a12_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3181,0.3374,-0.019299999999999984,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_feature_encoder_a12_router_init_s_20260504_082949_588242_pid435778.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_full_model_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,2,full_model_init,freeze_loaded,198,158,0,0,,0.3254,0.3374,-0.011999999999999955,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_full_model_init_s2_20260504_083054_485602_pid435860.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_feature_encoder_group_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3304,0.3394,-0.008999999999999952,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_feature_encoder_group_router_init_20260504_083129_602079_pid435940.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_feature_encoder_a12_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3304,0.3394,-0.008999999999999952,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_feature_encoder_a12_router_init_s_20260504_083619_791463_pid436146.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_3_full_model_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,3,full_model_init,freeze_loaded,198,158,0,0,,0.3254,0.3394,-0.013999999999999957,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_3_full_model_init_s3_20260504_083634_882278_pid436187.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_feature_encoder_group_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,1,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3308,0.336,-0.005200000000000038,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_feature_encoder_group_router_init_20260504_084020_526180_pid436367.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_feature_encoder_a12_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,1,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3308,0.336,-0.005200000000000038,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_feature_encoder_a12_router_init_s_20260504_084050_286708_pid436417.json
