run_phase,combo,anchor,mode,expert_top_k,dims,layout,merge,group_mode,best_mrr20,best_lr,best_wd,epochs_run,early_stopped,n_completed,max_evals,track_note
R1INDv1_layout4_C02_D0_L2,C02,-,-,-,128/16/160/64,2,serial,-,0.062400,2.17e-04,-,35,yes,1,8,L2 serial -
R1INDv1_layout4_C03_D0_L3,C03,-,-,-,128/16/160/64,3,serial,-,0.061500,1.55e-03,-,19,yes,2,8,L3 serial -
R1INDv1_layout4_C01_D0_L1,C01,-,-,-,128/16/160/64,1,serial,-,0.061400,5.59e-04,-,22,yes,2,8,L1 serial -
R1INDv1_layout4_C00_D0_L0,C00,-,-,-,128/16/160/64,0,serial,-,0.060500,4.93e-04,-,24,yes,2,8,L0 serial -
