dataset,feature,mean,std,q25,median,q75
Beauty,mac5_ctx_valid_r,0.050577424466609955,0.14504632353782654,0.0,0.0,0.0
Beauty,mac5_gap_last,0.503200352191925,0.12945623695850372,0.5,0.5,0.5
Beauty,mac5_pace_mean,0.5106450319290161,0.11711340397596359,0.5,0.5,0.5
Beauty,mac5_pace_trend,0.4978741407394409,0.1068698912858963,0.5,0.5,0.5
Beauty,mac5_theme_ent_mean,0.5573889017105103,0.14686620235443115,0.5,0.5,0.5
Beauty,mac5_theme_top1_mean,0.4916658401489258,0.06579215079545975,0.5,0.5,0.5
Beauty,mac5_theme_repeat_r,0.49328312277793884,0.07245621830224991,0.5,0.5,0.5
Beauty,mac5_theme_shift_r,0.5342879295349121,0.1144375279545784,0.5,0.5,0.5
Beauty,mac5_repeat_mean,0.4245816767215729,0.17894481122493744,0.5,0.5,0.5
Beauty,mac5_adj_cat_overlap_mean,0.49183040857315063,0.05006863921880722,0.5,0.5,0.5
Beauty,mac5_adj_item_overlap_mean,0.47101107239723206,0.11685077100992203,0.5,0.5,0.5
Beauty,mac5_repeat_trend,0.5,0.0,0.5,0.5,0.5
Beauty,mac5_pop_mean,0.46911266446113586,0.10889870673418045,0.5,0.5,0.5
Beauty,mac5_pop_std_mean,0.44351935386657715,0.13784894347190857,0.5,0.5,0.5
Beauty,mac5_pop_ent_mean,0.5330344438552856,0.1427210122346878,0.5,0.5,0.5
Beauty,mac5_pop_trend,0.49887704849243164,0.03295184671878815,0.5,0.5,0.5
Foursquare,mac5_ctx_valid_r,0.8727738857269287,0.27817201614379883,1.0,1.0,1.0
Foursquare,mac5_gap_last,0.57645183801651,0.3016457259654999,0.2718335688114166,0.5656429529190063,0.8701256513595581
Foursquare,mac5_pace_mean,0.5965287685394287,0.2547728717327118,0.4475410282611847,0.6503644585609436,0.8055331707000732
Foursquare,mac5_pace_trend,0.509285032749176,0.13340184092521667,0.4410346448421478,0.5,0.5770028233528137
Foursquare,mac5_theme_ent_mean,0.8894526362419128,0.14506344497203827,0.8930795192718506,0.945040762424469,0.96852707862854
Foursquare,mac5_theme_top1_mean,0.4573590159416199,0.12495172023773193,0.36666667461395264,0.44078946113586426,0.5138888955116272
Foursquare,mac5_theme_repeat_r,0.5787897706031799,0.23279598355293274,0.4000000059604645,0.6000000238418579,0.800000011920929
Foursquare,mac5_theme_shift_r,0.652903139591217,0.3171597123146057,0.5,0.75,1.0
Foursquare,mac5_repeat_mean,0.08401655405759811,0.11885493248701096,0.0,0.04615384712815285,0.1133333370089531
Foursquare,mac5_adj_cat_overlap_mean,0.3566640615463257,0.17338791489601135,0.22708334028720856,0.33974358439445496,0.5
Foursquare,mac5_adj_item_overlap_mean,0.1896696239709854,0.1772022545337677,0.05000000074505806,0.1398809552192688,0.27916666865348816
Foursquare,mac5_repeat_trend,0.4993715286254883,0.05138874426484108,0.49153491854667664,0.5,0.5208333134651184
Foursquare,mac5_pop_mean,0.5467612147331238,0.2950938642024994,0.2998201251029968,0.5552061796188354,0.8119212985038757
Foursquare,mac5_pop_std_mean,0.5428005456924438,0.29890069365501404,0.28132811188697815,0.5411863923072815,0.8149482607841492
Foursquare,mac5_pop_ent_mean,0.8416718244552612,0.19601508975028992,0.7843001484870911,0.9269890785217285,0.9548968076705933
Foursquare,mac5_pop_trend,0.5298238396644592,0.1055901050567627,0.4904979467391968,0.5141962766647339,0.5739274621009827
KuaiRec,mac5_ctx_valid_r,0.8703491687774658,0.2824403643608093,1.0,1.0,1.0
KuaiRec,mac5_gap_last,0.5579157471656799,0.270822674036026,0.31573713570833206,0.5757880806922913,0.7821098268032074
KuaiRec,mac5_pace_mean,0.5459564924240112,0.2533147633075714,0.36693859845399857,0.5458508431911469,0.7477262318134308
