early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,ok,0.0314,0.0118,1
True,46,1.0,1.0,0.0,0.40006796717593096,0.0,1.8029531495613813,0.683682382106781,-0.06286036968231201,0.0,0.33525814594199793,0.8996276375754272,2.696876264370523,0.6314334972871558,7.159425496306556,7.758256451768227,7.159425496306556,0.0,1.0,0.012044265109526263,0.9881020909071937,0.02887004102035903,0.9715427169627784,0.007262754308219762,0.9927635557588024,0.002479369180244312,0.9975237019168695,0.001535944000835894,0.9984660845974364,0.0033186010376568317,0.9966868994324625,0.0,0.0,6.639538608033241,7.159425496306556,0.37039196795294355,0.0783,ok,0.1864,0.0774,2
True,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0668,ok,0.1689,0.0617,3
True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0686,ok,0.1726,0.0669,4
True,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,ok,0.1403,0.0594,5
True,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0708,ok,0.162,0.0592,6
True,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0771,ok,0.18,0.0702,7
True,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0712,ok,0.1675,0.0617,8
True,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,ok,0.1763,0.0664,9
True,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,ok,0.1804,0.0724,10
True,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0745,ok,0.1818,0.07,11
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0154,ok,0.03,0.0104,12
True,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0666,ok,0.168,0.0641,13
True,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0758,ok,0.1781,0.0695,14
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0766,ok,0.185,0.0716,15
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0173,ok,0.0369,0.0147,16
True,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0739,ok,0.1809,0.0709,17
True,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0768,ok,0.1818,0.0732,18
True,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,ok,0.1846,0.0692,19
True,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0763,ok,0.1814,0.0704,20
