file,model,best_valid_mrr20,best_valid_hr10,best_valid_test_mrr20,best_valid_test_hr10,n_trials,best_test_mrr20,best_test_hr10
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_FENRec_p1_fixreg_w1_d00_fenrec_c1_20260314_173150_483512_pid352464.json,FENRec,0.0,,,,26,,
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_FENRec_p1_fixreg_w2_d00_fenrec_c5_20260316_070012_242722_pid546910.json,FENRec,0.0,,,,26,,
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_FENRec_p1_fixreg_w2_d00_fenrec_c6_20260316_201856_176710_pid11850.json,FENRec,0.0,,,,13,,
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_FENRec_p1_fixreg_w2_d00_fenrec_c8_20260317_161349_424514_pid259398.json,FENRec,0.0,,,,13,,
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p0_a_pair01_c1_20260312_163914_032320_pid100655.json,GRU4Rec,0.0775,0.1043,0.1553,0.1793,10,0.1553,0.1793
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p0_full_pair01_c1_20260312_170614_328334_pid111612.json,GRU4Rec,0.0775,0.1043,0.1553,0.1793,10,0.1553,0.1793
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p0_full_pair01_c2_20260312_185401_989790_pid118919.json,GRU4Rec,0.0773,0.1046,0.1549,0.1815,10,0.1549,0.1815
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p0_full_pair01_c3_20260312_185401_822726_pid118918.json,GRU4Rec,0.0768,0.1054,0.1527,0.1803,10,0.1534,0.1792
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p0_full_pair01_c4_20260312_203258_537642_pid120709.json,GRU4Rec,0.0765,0.1034,0.1519,0.178,10,0.1535,0.182
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w2_d00_patt_c5_20260316_035316_523758_pid483800.json,PAtt,0.079,0.1081,0.1585,0.1828,36,0.159,0.1818
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w1_d00_patt_c3_20260314_194442_620748_pid388119.json,PAtt,0.0787,0.1071,0.1583,0.1842,36,0.1583,0.182
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w2_d00_patt_c8_20260317_125840_078357_pid205605.json,PAtt,0.0782,0.1048,0.1577,0.1806,18,0.1581,0.1815
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w1_d00_patt_c2_20260314_185521_745559_pid387746.json,PAtt,0.0781,0.1068,0.1582,0.1812,36,0.1585,0.1815
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w2_d00_patt_c6_20260316_190352_304697_pid11391.json,PAtt,0.0781,0.1048,0.1583,0.1821,18,0.1588,0.1827
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w2_d00_patt_c7_20260317_001327_218751_pid13007.json,PAtt,0.0778,0.1062,0.1567,0.1829,18,0.1574,0.1824
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p0_full_pair03_c1_20260314_053746_284213_pid262003.json,PAtt,0.0776,0.1047,0.1579,0.18,10,0.1591,0.1797
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w1_d00_patt_c4_20260314_203118_458493_pid388482.json,PAtt,0.0775,0.1045,0.157,0.1815,36,0.1581,0.179
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p0_full_pair03_c2_20260314_055052_542683_pid262462.json,PAtt,0.0757,0.1042,0.1536,0.1795,10,0.1562,0.1767
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w1_d00_patt_c1_20260314_162846_521545_pid319986.json,PAtt,0.075,0.1014,0.1535,0.1797,18,0.1535,0.1797
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w1_d00_patt_c1_20260314_185155_991582_pid387694.json,PAtt,0.075,0.1014,0.1535,0.1797,36,0.1535,0.1797
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p0_fen_patt_smoke_full_pair03_c1_20260313_080839_766382_pid172256.json,PAtt,0.0126,0.0142,0.0124,0.0139,1,0.0124,0.0139
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_PAtt_p1_fixreg_w1_d00_patt_c1_20260314_173129_069955_pid351454.json,PAtt,0.0,,,,36,,
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_full_pair01_c4_20260312_203258_569533_pid120708.json,SASRec,0.0785,0.1099,0.1597,0.1859,10,0.1597,0.1859
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_full_pair01_c3_20260312_185401_883262_pid118917.json,SASRec,0.0784,0.109,0.1597,0.186,10,0.1597,0.186
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_full_pair01_c2_20260312_170614_384094_pid111611.json,SASRec,0.0783,0.1088,0.1593,0.1837,10,0.1594,0.184
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_a_pair01_c1_20260312_163913_930388_pid100654.json,SASRec,0.0782,0.1087,0.1592,0.1837,10,0.1593,0.184
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_full_pair01_c1_20260312_170614_384091_pid111609.json,SASRec,0.0782,0.1087,0.1592,0.1837,10,0.1593,0.184
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w2_d00_sigma_c8_20260317_161403_115965_pid259498.json,SIGMA,0.08,0.1087,0.159,0.1836,10,0.1592,0.1848
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w2_d00_sigma_c7_20260317_051437_351325_pid134057.json,SIGMA,0.0799,0.1091,0.1593,0.1844,10,0.1599,0.184
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w1_d00_sigma_c4_20260315_014701_636721_pid398365.json,SIGMA,0.0798,0.109,0.1584,0.1842,20,0.1596,0.1848
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p0_full_pair04_c3_20260313_105919_457398_pid185689.json,SIGMA,0.0796,0.1095,0.158,0.1833,10,0.158,0.1833
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w1_d00_sigma_c3_20260314_230609_216735_pid389183.json,SIGMA,0.0796,0.1097,0.1592,0.1848,20,0.1594,0.1851
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w2_d00_sigma_c5_20260316_164053_393380_pid7964.json,SIGMA,0.0794,0.1097,0.1591,0.184,10,0.1593,0.1833
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w1_d00_sigma_c2_20260314_213748_251428_pid388826.json,SIGMA,0.0793,0.1088,0.1589,0.1852,20,0.1598,0.1857
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p0_full_pair04_c1_20260313_025704_290767_pid131073.json,SIGMA,0.0786,0.1056,0.1581,0.1815,10,0.1581,0.1815
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p0_full_pair04_c4_20260314_072804_795499_pid264588.json,SIGMA,0.0786,0.1074,0.158,0.1825,10,0.158,0.1825
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w2_d00_sigma_c6_20260316_201910_897872_pid11901.json,SIGMA,0.0776,0.1027,0.1575,0.1797,10,0.158,0.1806
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w1_d00_sigma_c1_20260314_202722_930906_pid388414.json,SIGMA,0.0772,0.1018,0.1563,0.1785,20,0.1579,0.1812
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p0_full_pair04_c2_20260313_025704_456879_pid131072.json,SIGMA,0.0763,0.1013,0.1568,0.1771,10,0.1568,0.1771
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w1_d00_sigma_c1_20260314_173158_128635_pid352646.json,SIGMA,0.0,,,,20,,
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SRGNN_p0_full_pair04_c2_20260313_105919_498068_pid185690.json,SRGNN,0.0694,0.0981,0.1411,0.1707,10,0.1411,0.1707
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SRGNN_p0_full_pair04_c3_20260313_105919_329794_pid185687.json,SRGNN,0.0653,0.0975,0.1358,0.1718,10,0.1358,0.1718
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SRGNN_p0_full_pair04_c1_20260313_025704_261040_pid131074.json,SRGNN,0.0616,0.0961,0.1274,0.1657,10,0.1274,0.1657
experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SRGNN_p0_full_pair04_c4_20260314_103139_835135_pid265161.json,SRGNN,0.0508,0.0826,0.0955,0.1401,5,0.0955,0.1401
