metric,model,value,file
best_valid_mrr20,SIGMA,0.08,experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SIGMA_p1_fixreg_w2_d00_sigma_c8_20260317_161403_115965_pid259498.json
best_valid_hr10,SASRec,0.1099,experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_full_pair01_c4_20260312_203258_569533_pid120708.json
best_valid_test_mrr20,SASRec,0.1597,experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_full_pair01_c3_20260312_185401_883262_pid118917.json
best_valid_test_hr10,SASRec,0.186,experiments/run/artifacts/results/baseline/KuaiRecLargeStrictPosV2_0.2_SASRec_p0_full_pair01_c3_20260312_185401_883262_pid118917.json
