file,axis_tag,variation_slug,combo_lane,run_phase,best_valid_mrr20,best_valid_hr10,test_mrr20,test_hr10
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/031_K_12e_top6_C2_20260316_164838.summary.json,K,12e_top6,C2,K_12e_top6_C2,0.0813,0.117,0.1623,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/049_K_12e_top6_C3_20260316_164838.summary.json,K,12e_top6,C3,K_12e_top6_C3,0.0814,0.117,0.1623,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/067_K_12e_top6_C4_20260316_164838.summary.json,K,12e_top6,C4,K_12e_top6_C4,0.0814,0.117,0.1623,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/008_K_4e_dense_C1_20260316_164838.summary.json,K,4e_dense,C1,K_4e_dense_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/026_K_4e_dense_C2_20260316_164838.summary.json,K,4e_dense,C2,K_4e_dense_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/044_K_4e_dense_C3_20260316_164838.summary.json,K,4e_dense,C3,K_4e_dense_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/062_K_4e_dense_C4_20260316_164838.summary.json,K,4e_dense,C4,K_4e_dense_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/009_K_4e_top1_C1_20260316_164838.summary.json,K,4e_top1,C1,K_4e_top1_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/027_K_4e_top1_C2_20260316_164838.summary.json,K,4e_top1,C2,K_4e_top1_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/045_K_4e_top1_C3_20260316_164838.summary.json,K,4e_top1,C3,K_4e_top1_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/063_K_4e_top1_C4_20260316_164838.summary.json,K,4e_top1,C4,K_4e_top1_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/010_K_4e_top2_C1_20260316_164838.summary.json,K,4e_top2,C1,K_4e_top2_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/028_K_4e_top2_C2_20260316_164838.summary.json,K,4e_top2,C2,K_4e_top2_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/046_K_4e_top2_C3_20260316_164838.summary.json,K,4e_top2,C3,K_4e_top2_C3,0.0813,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/064_K_4e_top2_C4_20260316_164838.summary.json,K,4e_top2,C4,K_4e_top2_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/014_K_group_dense_C1_20260316_164838.summary.json,K,group_dense,C1,K_group_dense_C1,0.0814,0.117,0.1622,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/032_K_group_dense_C2_20260316_164838.summary.json,K,group_dense,C2,K_group_dense_C2,0.0814,0.117,0.1623,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/050_K_group_dense_C3_20260316_164838.summary.json,K,group_dense,C3,K_group_dense_C3,0.0814,0.117,0.1623,0.1905
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/068_K_group_dense_C4_20260316_164838.summary.json,K,group_dense,C4,K_group_dense_C4,0.0814,0.117,0.1623,0.1901
