model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,candidate_id,candidate_source,source_stage,transfer_from_dataset,result_path,timestamp_utc
FAME,0.097300,0.090700,0.097300,0.090700,0.097300,0.090700,P22_SG_D03_M09_C02_FAME_FAD_H1_R1_S1,SG_FOURSQUARE_FAME_FAD_H1_R1_S1,foursquare,FAD_H1_R1,1,7,run_complete,7,False,True,FAD_H1_R1,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FAME/foursquare_FAME_p22_sg_d03_m09_c02_fame_fad_h1_r1_s1_20260407_130346_572974_pid335277.json,2026-04-07T13:24:50.020035Z
FAME,0.097300,0.090700,0.097300,0.090700,0.092400,0.085200,P22_SG_D03_M09_C01_FAME_GLOBAL_1_FAD_H3_R1_S1,SG_FOURSQUARE_FAME_GLOBAL_1_FAD_H3_R1_S1,foursquare,GLOBAL_1_FAD_H3_R1,1,4,run_complete,7,False,True,GLOBAL_1_FAD_H3_R1,global_fallback,Final_all_datasets,GLOBAL,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FAME/foursquare_FAME_p22_sg_d03_m09_c01_fame_global_1_fad_h3_r1_s1_20260407_130346_585013_pid335274.json,2026-04-07T13:32:33.565276Z
FAME,0.097300,0.090700,0.097300,0.090700,0.090200,0.089400,P22_SG_D03_M09_C01_FAME_GLOBAL_1_FAD_H3_R1_S3,SG_FOURSQUARE_FAME_GLOBAL_1_FAD_H3_R1_S3,foursquare,GLOBAL_1_FAD_H3_R1,3,6,run_complete,7,False,True,GLOBAL_1_FAD_H3_R1,global_fallback,Final_all_datasets,GLOBAL,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FAME/foursquare_FAME_p22_sg_d03_m09_c01_fame_global_1_fad_h3_r1_s3_20260407_130346_562446_pid335276.json,2026-04-07T13:33:49.723113Z
FAME,0.098200,0.093900,0.098200,0.093900,0.098200,0.093900,P22_SG_D03_M09_C01_FAME_GLOBAL_1_FAD_H3_R1_S2,SG_FOURSQUARE_FAME_GLOBAL_1_FAD_H3_R1_S2,foursquare,GLOBAL_1_FAD_H3_R1,2,5,run_complete,7,False,True,GLOBAL_1_FAD_H3_R1,global_fallback,Final_all_datasets,GLOBAL,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FAME/foursquare_FAME_p22_sg_d03_m09_c01_fame_global_1_fad_h3_r1_s2_20260407_130346_570485_pid335275.json,2026-04-07T13:33:50.791835Z
FAME,0.098200,0.093900,0.098200,0.093900,0.097300,0.090800,P22_SG_D03_M09_C02_FAME_FAD_H1_R1_S2,SG_FOURSQUARE_FAME_FAD_H1_R1_S2,foursquare,FAD_H1_R1,2,7,run_complete,7,False,True,FAD_H1_R1,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FAME/foursquare_FAME_p22_sg_d03_m09_c02_fame_fad_h1_r1_s2_20260407_132455_006173_pid335398.json,2026-04-07T13:45:09.569087Z
FEARec,0.105800,0.099700,0.105800,0.099700,0.105800,0.099700,P22_SG_D03_M07_C01_FEAREC_FAD_H1_R1_S1,SG_FOURSQUARE_FEAREC_FAD_H1_R1_S1,foursquare,FAD_H1_R1,1,6,run_complete,6,False,True,FAD_H1_R1,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FEARec/foursquare_FEARec_p22_sg_d03_m07_c01_fearec_fad_h1_r1_s1_20260407_133354_563169_pid335456.json,2026-04-07T13:45:59.700409Z
FEARec,0.105800,0.099700,0.105800,0.099700,0.103600,0.096200,P22_SG_D03_M07_C01_FEAREC_FAD_H1_R1_S2,SG_FOURSQUARE_FEAREC_FAD_H1_R1_S2,foursquare,FAD_H1_R1,2,5,run_complete,6,False,True,FAD_H1_R1,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FEARec/foursquare_FEARec_p22_sg_d03_m07_c01_fearec_fad_h1_r1_s2_20260407_133355_727417_pid335461.json,2026-04-07T13:46:30.806240Z
FAME,0.105800,0.099700,0.098800,0.093900,0.098800,0.091500,P22_SG_D03_M09_C02_FAME_FAD_H1_R1_S3,SG_FOURSQUARE_FAME_FAD_H1_R1_S3,foursquare,FAD_H1_R1,3,4,run_complete,7,False,True,FAD_H1_R1,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FAME/foursquare_FAME_p22_sg_d03_m09_c02_fame_fad_h1_r1_s3_20260407_133238_707026_pid335431.json,2026-04-07T13:52:38.264006Z
FEARec,0.105800,0.099700,0.105800,0.099700,0.105200,0.095900,P22_SG_D03_M07_C01_FEAREC_FAD_H1_R1_S3,SG_FOURSQUARE_FEAREC_FAD_H1_R1_S3,foursquare,FAD_H1_R1,3,7,run_complete,6,False,True,FAD_H1_R1,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FEARec/foursquare_FEARec_p22_sg_d03_m07_c01_fearec_fad_h1_r1_s3_20260407_134514_466790_pid335526.json,2026-04-07T13:58:34.734509Z
FEARec,0.105800,0.099700,0.105800,0.099700,0.105300,0.099500,P22_SG_D03_M07_C02_FEAREC_FAD_H2_R2_S1,SG_FOURSQUARE_FEAREC_FAD_H2_R2_S1,foursquare,FAD_H2_R2,1,6,run_complete,6,False,True,FAD_H2_R2,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/foursquare/FEARec/foursquare_FEARec_p22_sg_d03_m07_c02_fearec_fad_h2_r2_s1_20260407_134604_666174_pid335549.json,2026-04-07T14:00:55.959230Z
