model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
SASRec,,,,,,,P14_FAD_D02_M01_SASREC_H2_S1,FAD_AMAZON_BEAUTY_SASREC_H2_S1,amazon_beauty,H2,1,4,run_fail,,,False,,2026-03-28T04:22:05.029273Z
SASRec,,,,,,,P14_FAD_D00_M01_SASREC_H2_S1,FAD_AMAZON_BEAUTY_SASREC_H2_S1,amazon_beauty,H2,1,0,run_fail,,,False,,2026-03-28T07:56:38.239780Z
SASRec,0.055300,0.122800,0.055300,0.122800,0.055300,0.122800,P14_FAD_D00_M01_SASREC_H2_S1,FAD_AMAZON_BEAUTY_SASREC_H2_S1,amazon_beauty,H2,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/SASRec/amazon_beauty_SASRec_p14_fad_d00_m01_sasrec_h2_s1_20260328_075708_362277_pid332174.json,2026-03-28T07:57:14.522683Z
GRU4Rec,0.055300,0.122800,0.000000,0.000000,0.000000,0.000000,P14_FAD_D02_M02_GRU4REC_H3_S1,FAD_AMAZON_BEAUTY_GRU4REC_H3_S1,amazon_beauty,H3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p14_fad_d02_m02_gru4rec_h3_s1_20260328_080150_022072_pid332821.json,2026-03-28T08:02:10.963072Z
GRU4Rec,0.055300,0.122800,0.004200,0.001100,0.004200,0.001100,P14_FAD_D02_M02_GRU4REC_H2_S1,FAD_AMAZON_BEAUTY_GRU4REC_H2_S1,amazon_beauty,H2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p14_fad_d02_m02_gru4rec_h2_s1_20260328_080149_940892_pid332822.json,2026-03-28T08:02:15.051362Z
SASRec,0.084000,0.127300,0.084000,0.127300,0.084000,0.127300,P14_FAD_D02_M01_SASREC_H2_S1,FAD_AMAZON_BEAUTY_SASREC_H2_S1,amazon_beauty,H2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/SASRec/amazon_beauty_SASRec_p14_fad_d02_m01_sasrec_h2_s1_20260328_080150_015349_pid332819.json,2026-03-28T08:03:59.212898Z
SASRec,0.086800,0.127300,0.086800,0.127300,0.086800,0.125000,P14_FAD_D02_M01_SASREC_H3_S1,FAD_AMAZON_BEAUTY_SASREC_H3_S1,amazon_beauty,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/SASRec/amazon_beauty_SASRec_p14_fad_d02_m01_sasrec_h3_s1_20260328_080149_979404_pid332820.json,2026-03-28T08:05:14.351805Z
DuoRec,0.086800,0.127300,0.074500,0.126500,0.074500,0.126500,P14_FAD_D02_M04_DUOREC_H1_S1,FAD_AMAZON_BEAUTY_DUOREC_H1_S1,amazon_beauty,H1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/DuoRec/amazon_beauty_DuoRec_p14_fad_d02_m04_duorec_h1_s1_20260328_080404_270418_pid333213.json,2026-03-28T08:06:05.470856Z
TiSASRec,0.086800,0.127300,0.057000,0.000000,0.057000,0.000000,P14_FAD_D02_M03_TISASREC_H3_S1,FAD_AMAZON_BEAUTY_TISASREC_H3_S1,amazon_beauty,H3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/TiSASRec/amazon_beauty_TiSASRec_p14_fad_d02_m03_tisasrec_h3_s1_20260328_080216_174024_pid333047.json,2026-03-28T08:07:25.617864Z
SIGMA,0.086800,0.127300,0.057500,0.122800,0.057500,0.122800,P14_FAD_D02_M05_SIGMA_H4_S1,FAD_AMAZON_BEAUTY_SIGMA_H4_S1,amazon_beauty,H4,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/SIGMA/amazon_beauty_SIGMA_p14_fad_d02_m05_sigma_h4_s1_20260328_080610_550005_pid333428.json,2026-03-28T08:07:32.688406Z
