global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.045900,0.045900,P14_FAD_AMAZON_BEAUTY_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,amazon_beauty,2,1,running,0.078200,,,,,,2026-03-27T09:53:13.938095Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S2
0.053700,0.053700,P14_FAD_AMAZON_BEAUTY_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,amazon_beauty,4,3,running,0.097700,,,,,,2026-03-27T09:53:13.938510Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S4
0.056800,0.056800,P14_FAD_AMAZON_BEAUTY_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,amazon_beauty,1,0,running,0.096900,,,,,,2026-03-27T09:53:16.942041Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S1
0.065200,0.065200,P14_FAD_AMAZON_BEAUTY_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,amazon_beauty,2,1,running,0.097900,,,,,,2026-03-27T09:53:25.952043Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S2
0.075600,0.075600,P14_FAD_AMAZON_BEAUTY_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,amazon_beauty,4,3,running,0.088900,,,,,,2026-03-27T09:53:34.963423Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S4
0.077300,0.077300,P14_FAD_AMAZON_BEAUTY_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,amazon_beauty,3,2,running,0.087300,,,,,,2026-03-27T09:54:01.993552Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S3
0.077300,,P14_FAD_AMAZON_BEAUTY_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,4,3,run_complete_no_result,,,,False,False,,2026-03-27T09:57:00.383727Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S4
0.077300,,P14_FAD_AMAZON_BEAUTY_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,1,0,run_complete_no_result,,,,False,False,,2026-03-27T09:57:19.603516Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S1
0.077300,,P14_FAD_AMAZON_BEAUTY_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,2,1,run_complete_no_result,,,,False,False,,2026-03-27T09:58:14.737724Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S2
0.077300,,P14_FAD_AMAZON_BEAUTY_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,3,2,run_complete_no_result,,,,False,False,,2026-03-27T09:58:30.913581Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_AMAZON_BEAUTY_H1_S3
0.077300,,P14_FAD_AMAZON_BEAUTY_H3_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,4,3,run_complete_no_result,,,,False,False,,2026-03-27T09:59:44.261676Z,P14,FAD,final_all_datasets,FINAL_MAIN_H3_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_AMAZON_BEAUTY_H3_S4
0.077300,,P14_FAD_AMAZON_BEAUTY_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,1,0,run_complete_no_result,,,,False,False,,2026-03-27T10:00:27.703797Z,P14,FAD,final_all_datasets,FINAL_MAIN_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_AMAZON_BEAUTY_H3_S1
0.077300,,P14_FAD_AMAZON_BEAUTY_H3_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,3,2,run_complete_no_result,,,,False,False,,2026-03-27T10:01:44.007481Z,P14,FAD,final_all_datasets,FINAL_MAIN_H3_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_AMAZON_BEAUTY_H3_S3
0.077300,,P14_FAD_AMAZON_BEAUTY_H3_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,2,1,run_complete_no_result,,,,False,False,,2026-03-27T10:02:24.427686Z,P14,FAD,final_all_datasets,FINAL_MAIN_H3_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_AMAZON_BEAUTY_H3_S2
0.077300,,P14_FAD_AMAZON_BEAUTY_H8_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,4,3,run_complete_no_result,,,,False,False,,2026-03-27T10:03:04.954343Z,P14,FAD,final_all_datasets,FINAL_MAIN_H8_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H8_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H8,FAD_AMAZON_BEAUTY_H8_S4
0.077300,,P14_FAD_AMAZON_BEAUTY_H8_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,1,0,run_complete_no_result,,,,False,False,,2026-03-27T10:05:00.361735Z,P14,FAD,final_all_datasets,FINAL_MAIN_H8_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H8_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H8,FAD_AMAZON_BEAUTY_H8_S1
0.077300,,P14_FAD_AMAZON_BEAUTY_H8_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,3,2,run_complete_no_result,,,,False,False,,2026-03-27T10:05:34.528283Z,P14,FAD,final_all_datasets,FINAL_MAIN_H8_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H8_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H8,FAD_AMAZON_BEAUTY_H8_S3
0.077300,,P14_FAD_AMAZON_BEAUTY_H8_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,amazon_beauty,2,1,run_complete_no_result,,,,False,False,,2026-03-27T10:06:17.577502Z,P14,FAD,final_all_datasets,FINAL_MAIN_H8_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H8_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H8,FAD_AMAZON_BEAUTY_H8_S2
