avg_epoch_time_sec,early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_eval_targets_per_sec,test_eval_time_sec,test_hr@10,test_mrr@20,trial
18.40624439716339,True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0187,ok,11673.036346507486,0.23181629180908203,0.3628,0.3268,1
18.304030140240986,True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0185,ok,13329.919506912896,0.2030019760131836,0.3606,0.3275,2
18.456544478734333,True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0187,ok,12400.032146731737,0.21822524070739746,0.3617,0.3276,3
18.35704469680786,True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0183,ok,13156.564465479887,0.20567679405212402,0.3527,0.3389,4
18.283360540866852,True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186,ok,13415.220857691971,0.20171117782592773,0.3628,0.3269,5
18.317276674158432,True,17,1.0,1.0,0.0,0.5536879809116156,0.0,2.114890126382404,0.2734537422657013,0.13225261867046356,0.0,0.10248841595049311,0.9702745820329501,2.9688160651280175,0.3728089265223757,6.981407634324093,11.480433749111924,6.981407634324093,0.0,1.0,0.0348657660908139,0.966037163401512,0.04762789630044968,0.9534885176800344,0.056969401971992,0.9446229725245016,0.0075311549018539335,0.992497133186686,0.03322772265638955,0.9673233284452682,0.040561186514366826,0.9602504083384831,0.9257371176632682,0.565393998909116,9.240263736067448,6.981407634324093,0.24124559806908558,0.0196,ok,13347.88490731572,0.2027287483215332,0.3516,0.337,6
18.271799047787983,True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0185,ok,13495.921567601568,0.20050501823425293,0.3606,0.3277,7
18.20953423836652,True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0196,ok,13395.47687495943,0.20200848579406738,0.3516,0.3369,8
18.267263015111286,True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186,ok,12123.716169389125,0.22319889068603516,0.3516,0.3358,9
18.37610455120311,True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,ok,11948.678276578676,0.22646856307983398,0.3539,0.3389,10
