global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,pair_id,phase_kind,architecture_id,architecture_key,architecture_name,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,source_hparam_id,target_hparam_id,transfer_mode,source_dataset,target_dataset,source_checkpoint,source_run_phase,run_id
0.237400,0.170000,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H3_H3_S1,A12 encoder_all_init H3,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.167700,,,False,False,,2026-04-13T14:03:28.392115Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H3_H3_S1,encoder_all_init_lastfm_to_kuairec_A12_H3_H3,lastfm_to_kuairec A12 encoder_all_init H3->H3,target_encoder_all_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_encoder_all,H3,H3,H3,macro_encoder_all,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H3_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H3_S1,lastfm_to_kuairec_A12_encoder_all_init_H3_H3_S1
0.237400,0.169900,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H3_H7_S1,A12 feature_init H7,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete_no_result,0.168600,,,False,False,,2026-04-13T14:11:07.163366Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H3_H7_S1,feature_init_lastfm_to_kuairec_A12_H3_H7,lastfm_to_kuairec A12 feature_init H3->H7,target_feature_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_feature_encoder,H7,H3,H7,macro_feature_encoder,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H3_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H3_S1,lastfm_to_kuairec_A12_feature_init_H3_H7_S1
0.237400,0.170700,P15A_TGT_lastfm_to_kuairec_A12_group_init_H3_H7_S1,A12 group_init H7,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.168400,,,False,False,,2026-04-13T14:18:15.947437Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_group_init_H3_H7_S1,group_init_lastfm_to_kuairec_A12_H3_H7,lastfm_to_kuairec A12 group_init H3->H7,target_group_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_group_router,H7,H3,H7,macro_group_router,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H3_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H3_S1,lastfm_to_kuairec_A12_group_init_H3_H7_S1
0.237400,0.170700,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H3_H7_S1,A12 encoder_all_init H7,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete_no_result,0.168900,,,False,False,,2026-04-13T14:26:18.966769Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H3_H7_S1,encoder_all_init_lastfm_to_kuairec_A12_H3_H7,lastfm_to_kuairec A12 encoder_all_init H3->H7,target_encoder_all_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_encoder_all,H7,H3,H7,macro_encoder_all,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H3_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H3_S1,lastfm_to_kuairec_A12_encoder_all_init_H3_H7_S1
0.237400,0.169900,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H7_H7_S1,A12 feature_init H7,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.168600,,,False,False,,2026-04-13T14:33:54.813980Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H7_H7_S1,feature_init_lastfm_to_kuairec_A12_H7_H7,lastfm_to_kuairec A12 feature_init H7->H7,target_feature_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_feature_encoder,H7,H7,H7,macro_feature_encoder,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H7_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H7_S1,lastfm_to_kuairec_A12_feature_init_H7_H7_S1
0.237400,0.170600,P15A_TGT_lastfm_to_kuairec_A12_group_init_H7_H7_S1,A12 group_init H7,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete_no_result,0.168100,,,False,False,,2026-04-13T14:42:15.611289Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_group_init_H7_H7_S1,group_init_lastfm_to_kuairec_A12_H7_H7,lastfm_to_kuairec A12 group_init H7->H7,target_group_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_group_router,H7,H7,H7,macro_group_router,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H7_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H7_S1,lastfm_to_kuairec_A12_group_init_H7_H7_S1
0.237400,0.000000,P15A_TGT_lastfm_to_kuairec_A12_full_arch_init_H7_H7_S1,A12 full_arch_init H7,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete_no_result,0.000000,,,False,False,,2026-04-13T14:42:59.939426Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_full_arch_init_H7_H7_S1,full_arch_init_lastfm_to_kuairec_A12_H7_H7,lastfm_to_kuairec A12 full_arch_init H7->H7,target_full_arch_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=full_model,H7,H7,H7,full_model,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H7_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H7_S1,lastfm_to_kuairec_A12_full_arch_init_H7_H7_S1
0.237400,0.170200,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H7_H7_S1,A12 encoder_all_init H7,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.168900,,,False,False,,2026-04-13T14:49:02.646402Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H7_H7_S1,encoder_all_init_lastfm_to_kuairec_A12_H7_H7,lastfm_to_kuairec A12 encoder_all_init H7->H7,target_encoder_all_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_encoder_all,H7,H7,H7,macro_encoder_all,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H7_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H7_S1,lastfm_to_kuairec_A12_encoder_all_init_H7_H7_S1
0.237400,0.170200,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H7_H3_S1,A12 feature_init H3,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete_no_result,0.168400,,,False,False,,2026-04-13T14:57:45.879871Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H7_H3_S1,feature_init_lastfm_to_kuairec_A12_H7_H3,lastfm_to_kuairec A12 feature_init H7->H3,target_feature_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_feature_encoder,H3,H7,H3,macro_feature_encoder,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H7_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H7_S1,lastfm_to_kuairec_A12_feature_init_H7_H3_S1
0.237400,0.170500,P15A_TGT_lastfm_to_kuairec_A12_group_init_H7_H3_S1,A12 group_init H3,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.168300,,,False,False,,2026-04-13T15:04:18.507140Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_group_init_H7_H3_S1,group_init_lastfm_to_kuairec_A12_H7_H3,lastfm_to_kuairec A12 group_init H7->H3,target_group_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_group_router,H3,H7,H3,macro_group_router,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H7_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H7_S1,lastfm_to_kuairec_A12_group_init_H7_H3_S1
0.237400,0.169900,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H7_H3_S1,A12 encoder_all_init H3,transfer_stageA,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete_no_result,0.167400,,,False,False,,2026-04-13T15:13:15.335675Z,P15A,TLA,transfer_learning_stageA_v1,lastfm_to_kuairec,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H7_H3_S1,encoder_all_init_lastfm_to_kuairec_A12_H7_H3,lastfm_to_kuairec A12 encoder_all_init H7->H3,target_encoder_all_init,source=lastfm0.03 target=KuaiRecLargeStrictPosV2_0.2 mode=macro_encoder_all,H3,H7,H3,macro_encoder_all,lastfm0.03,KuaiRecLargeStrictPosV2_0.2,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/lastfm_to_kuairec/lastfm0_03_H7_s1_best.pth,P15A_SRC_lastfm_to_kuairec_A12_H7_S1,lastfm_to_kuairec_A12_encoder_all_init_H7_H3_S1
