model,best_mrr20_group,best_mrr20_run,best_mrr20_trial,best_hr10_group,best_hr10_run,best_hr10_trial,test_mrr20_group,test_mrr20_run,test_mrr20_trial,test_hr10_group,test_hr10_run,test_hr10_trial,hit_best_mrr20,hit_best_hr10,hit_test_mrr20,hit_test_hr10,trial_idx,trials_progress,status,run_phase,group_key,experiment_note,trial_knobs,log_rel_path
bsarec,0.0734,0.0734,0.0734,0.0915,0.0915,0.0915,0.1551,0.1551,0.1551,0.1705,0.1705,0.1705,Y,Y,Y,Y,1,1/10,success,P0_FULL_pair02_C1,bsarec,C1 hi_bs_short,drop=0.15 lr=0.00104 wd=0,P0/bsarec_020_c1_hi_bs_short.log
bsarec,0.0754,0.0754,0.0754,0.0972,0.0972,0.0972,0.1560,0.1560,0.1560,0.1738,0.1738,0.1738,Y,Y,Y,Y,2,2/10,success,P0_FULL_pair02_C1,bsarec,C1 hi_bs_short,drop=0.05 lr=0.000989 wd=0.0001,P0/bsarec_020_c1_hi_bs_short.log
bsarec,0.0755,0.0755,0.0755,0.1018,0.1018,0.1018,0.1560,0.1560,0.1545,0.1775,0.1775,0.1775,Y,Y,,Y,7,7/10,success,P0_FULL_pair02_C1,bsarec,C1 hi_bs_short,drop=0.10 lr=0.00494 wd=0.0001,P0/bsarec_020_c1_hi_bs_short.log
bsarec,0.0755,0.0711,0.0711,0.1018,0.0889,0.0889,0.1560,0.1525,0.1525,0.1775,0.1690,0.1690,Y,Y,Y,Y,1,1/10,success,P0_FULL_pair02_C2,bsarec,C2 std_bs_mid,drop=0.20 lr=0.000633 wd=0,P0/bsarec_022_c2_std_bs_mid.log
bsarec,0.0755,0.0736,0.0736,0.1018,0.0974,0.0974,0.1560,0.1525,0.1508,0.1775,0.1719,0.1719,Y,Y,,Y,2,2/10,success,P0_FULL_pair02_C2,bsarec,C2 std_bs_mid,drop=0.10 lr=0.000603 wd=0.0001,P0/bsarec_022_c2_std_bs_mid.log
bsarec,0.0755,0.0752,0.0752,0.1026,0.1026,0.1026,0.1560,0.1540,0.1540,0.1782,0.1782,0.1782,Y,Y,Y,Y,7,7/10,success,P0_FULL_pair02_C2,bsarec,C2 std_bs_mid,drop=0.15 lr=0.00296 wd=0.0001,P0/bsarec_022_c2_std_bs_mid.log
bsarec,0.0755,0.0735,0.0735,0.1026,0.0927,0.0927,0.1560,0.1553,0.1553,0.1782,0.1705,0.1705,Y,Y,Y,Y,1,1/10,success,P0_FULL_pair02_C3,bsarec,C3 long,drop=0.25 lr=0.000406 wd=0,P0/bsarec_024_c3_long.log
bsarec,0.0757,0.0757,0.0757,0.1026,0.0979,0.0979,0.1560,0.1553,0.1539,0.1782,0.1721,0.1721,Y,Y,,Y,2,2/10,success,P0_FULL_pair02_C3,bsarec,C3 long,drop=0.10 lr=0.000386 wd=0.0001,P0/bsarec_024_c3_long.log
bsarec,0.0774,0.0774,0.0774,0.1045,0.1045,0.1045,0.1570,0.1570,0.1570,0.1788,0.1788,0.1788,Y,Y,Y,Y,7,7/10,success,P0_FULL_pair02_C3,bsarec,C3 long,drop=0.20 lr=0.00198 wd=0.0001,P0/bsarec_024_c3_long.log
bsarec,0.0774,0.0727,0.0727,0.1045,0.0901,0.0901,0.1570,0.1534,0.1534,0.1788,0.1680,0.1680,Y,Y,Y,Y,1,1/10,success,P0_FULL_pair02_C4,bsarec,C4 wide,drop=0.25 lr=0.000253 wd=0,P0/bsarec_033_c4_wide.log
