model,best_mrr20_group,best_mrr20_run,best_mrr20_trial,best_hr10_group,best_hr10_run,best_hr10_trial,test_mrr20_group,test_mrr20_run,test_mrr20_trial,test_hr10_group,test_hr10_run,test_hr10_trial,hit_best_mrr20,hit_best_hr10,hit_test_mrr20,hit_test_hr10,trial_idx,trials_progress,status,run_phase,group_key,experiment_note,trial_knobs,log_rel_path
unknown,0.0765,0.0765,0.0765,0.1037,0.1037,0.1037,0.1556,0.1556,0.1556,0.1784,0.1784,0.1784,Y,Y,Y,Y,1,1/5,success,P2_MORE_SEARCH_M00_BSAREC_C01,unknown,C01 g0_20260318_103736_20491,lr=0.00214 num_heads=4 num_layers=2,P2_MORE_SEARCH/bsarec_C01_g0_20260318_103736_20491.log
unknown,0.0765,0.0740,0.0740,0.1037,0.0992,0.0992,0.1556,0.1531,0.1531,0.1784,0.1754,0.1754,Y,Y,Y,Y,1,1/5,success,P2_MORE_SEARCH_M00_BSAREC_C01,unknown,C01 g0_20260319_033644_16731,lr=0.000688,P2_MORE_SEARCH/bsarec_C01_g0_20260319_033644_16731.log
unknown,0.0765,0.0747,0.0747,0.1037,0.0997,0.0997,0.1556,0.1543,0.1543,0.1784,0.1764,0.1764,Y,Y,Y,Y,3,3/5,success,P2_MORE_SEARCH_M00_BSAREC_C01,unknown,C01 g0_20260319_033644_16731,lr=0.000804,P2_MORE_SEARCH/bsarec_C01_g0_20260319_033644_16731.log
unknown,0.0765,0.0747,0.0741,0.1037,0.0997,0.0986,0.1556,0.1543,0.1539,0.1784,0.1765,0.1765,,,,Y,4,4/5,success,P2_MORE_SEARCH_M00_BSAREC_C01,unknown,C01 g0_20260319_033644_16731,lr=0.00064,P2_MORE_SEARCH/bsarec_C01_g0_20260319_033644_16731.log
unknown,0.0765,0.0747,0.0745,0.1037,0.0997,0.0993,0.1556,0.1546,0.1546,0.1784,0.1765,0.1761,,,Y,,5,5/5,success,P2_MORE_SEARCH_M00_BSAREC_C01,unknown,C01 g0_20260319_033644_16731,lr=0.000802,P2_MORE_SEARCH/bsarec_C01_g0_20260319_033644_16731.log
unknown,0.0765,0.0746,0.0746,0.1037,0.0999,0.0999,0.1556,0.1541,0.1541,0.1784,0.1762,0.1762,Y,Y,Y,Y,1,1/5,success,P2_MORE_SEARCH_M00_BSAREC_C02,unknown,C02 g1_20260318_103736_23891,lr=0.00258 num_heads=8 num_layers=2,P2_MORE_SEARCH/bsarec_C02_g1_20260318_103736_23891.log
unknown,0.0765,0.0749,0.0749,0.1037,0.1001,0.1001,0.1556,0.1551,0.1551,0.1784,0.1765,0.1765,Y,Y,Y,Y,4,4/5,success,P2_MORE_SEARCH_M00_BSAREC_C02,unknown,C02 g1_20260318_103736_23891,lr=0.00256 num_heads=2 num_layers=2,P2_MORE_SEARCH/bsarec_C02_g1_20260318_103736_23891.log
unknown,0.0765,0.0759,0.0759,0.1037,0.1023,0.1023,0.1556,0.1556,0.1556,0.1784,0.1783,0.1783,Y,Y,Y,Y,1,1/5,success,P2_MORE_SEARCH_M00_BSAREC_C02,unknown,C02 g1_20260319_033644_30707,lr=0.00411,P2_MORE_SEARCH/bsarec_C02_g1_20260319_033644_30707.log
unknown,0.0765,0.0736,0.0736,0.1037,0.0996,0.0996,0.1556,0.1524,0.1524,0.1784,0.1748,0.1748,Y,Y,Y,Y,1,1/5,success,P2_MORE_SEARCH_M00_BSAREC_C03,unknown,C03 g2_20260318_103736_26495,lr=0.000951 num_heads=4 num_layers=1,P2_MORE_SEARCH/bsarec_C03_g2_20260318_103736_26495.log
unknown,0.0765,0.0736,0.0736,0.1037,0.0996,0.0951,0.1556,0.1536,0.1536,0.1784,0.1748,0.1732,,,Y,,2,2/5,success,P2_MORE_SEARCH_M00_BSAREC_C03,unknown,C03 g2_20260318_103736_26495,lr=0.000698 num_heads=4 num_layers=1,P2_MORE_SEARCH/bsarec_C03_g2_20260318_103736_26495.log
