global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,architecture_id,architecture_key,architecture_name,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.284900,0.284900,P14_FAD_RETAIL_ROCKET_H1_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,retail_rocket,1,0,running,0.284900,,,,,,2026-03-28T14:50:12.688336Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_RETAIL_ROCKET_H1_S1
0.286300,0.286300,P14_FAD_RETAIL_ROCKET_H1_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,retail_rocket,1,0,running,0.287200,,,,,,2026-03-28T15:27:03.107782Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_RETAIL_ROCKET_H1_S1
0.286400,0.286400,P14_FAD_RETAIL_ROCKET_H1_S3,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,retail_rocket,3,2,running,0.285700,,,,,,2026-03-28T15:44:58.287990Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_RETAIL_ROCKET_H1_S3
0.287500,0.287500,P14_FAD_RETAIL_ROCKET_H1_S4,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,retail_rocket,4,3,running,0.288300,,,,,,2026-03-28T15:47:49.475526Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_RETAIL_ROCKET_H1_S4
0.287500,0.286400,P14_FAD_RETAIL_ROCKET_H1_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,retail_rocket,1,0,run_complete_no_result,0.286900,20,False,False,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/retail_rocket_FeaturedMoE_N3_p14_fad_retail_rocket_h1_s1_20260328_144334_589040_pid369566.json,2026-03-28T18:54:21.391696Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_RETAIL_ROCKET_H1_S1
0.288200,0.288200,P14_FAD_RETAIL_ROCKET_H3_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,retail_rocket,1,0,running,0.289300,,,,,,2026-03-28T19:07:46.267090Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_RETAIL_ROCKET_H3_S1
0.288200,0.287500,P14_FAD_RETAIL_ROCKET_H1_S4,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,retail_rocket,4,3,run_complete_no_result,0.288300,20,False,False,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/retail_rocket_FeaturedMoE_N3_p14_fad_retail_rocket_h1_s4_20260328_144334_487681_pid369569.json,2026-03-28T19:20:39.955330Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_RETAIL_ROCKET_H1_S4
0.289000,0.289000,P14_FAD_RETAIL_ROCKET_H3_S4,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,retail_rocket,4,3,running,0.290000,,,,,,2026-03-28T19:27:55.434905Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H3_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_RETAIL_ROCKET_H3_S4
0.289000,0.287500,P14_FAD_RETAIL_ROCKET_H1_S2,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,retail_rocket,2,1,run_complete_no_result,0.288800,20,False,False,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/retail_rocket_FeaturedMoE_N3_p14_fad_retail_rocket_h1_s2_20260328_144334_470949_pid369567.json,2026-03-28T19:29:00.273148Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_RETAIL_ROCKET_H1_S2
0.289100,0.289100,P14_FAD_RETAIL_ROCKET_H3_S2,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,retail_rocket,2,1,running,0.291200,,,,,,2026-03-28T19:43:28.213081Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H3_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_RETAIL_ROCKET_H3_S2
