run_phase,combo,anchor,mode,expert_top_k,dims,layout,merge,group_mode,best_mrr20,best_lr,best_wd,epochs_run,early_stopped,n_completed,max_evals,track_note
R0HGRv3_router8_C04_A1_off_k1,C04,A1,off,1,160/16/256/112,15,serial,stage_wide,0.093300,6.32e-04,6.47e-05,40,no,8,10,L15 serial stage_wide
R0HGRv3_router8_C00_A0_off_k1,C00,A0,off,1,128/16/160/64,15,serial,stage_wide,0.093000,1.29e-03,1.52e-05,40,no,10,10,L15 serial stage_wide
R0HGRv3_router8_C00_A0_off_k1,C00,A0,off,1,128/16/160/64,15,serial,stage_wide,0.092800,2.25e-03,1.76e-06,40,no,2,10,L15 serial stage_wide
R0HGRv3_router8_C06_A1_distill_k2,C06,A1,distill,2,160/16/256/112,15,serial,stage_wide,0.092200,4.27e-04,0.00e+00,27,yes,10,10,L15 serial stage_wide
R0HGRv3_router8_C04_A1_off_k1,C04,A1,off,1,160/16/256/112,15,serial,stage_wide,0.092000,4.02e-04,0.00e+00,36,yes,1,10,L15 serial stage_wide
R0HGRv3_router8_C02_A0_distill_k2,C02,A0,distill,2,128/16/160/64,15,serial,stage_wide,0.091900,1.55e-03,3.95e-05,27,yes,10,10,L15 serial stage_wide
R0HGRv3_router8_C02_A0_distill_k2,C02,A0,distill,2,128/16/160/64,15,serial,stage_wide,0.091600,2.43e-03,1.00e-04,32,yes,3,10,L15 serial stage_wide
R0HGRv3_router8_C06_A1_distill_k2,C06,A1,distill,2,160/16/256/112,15,serial,stage_wide,0.091500,3.92e-04,1.00e-06,28,yes,1,10,L15 serial stage_wide
R0HGRv3_router8_C02_A0_distill_k2,C02,A0,distill,2,128/16/160/64,15,serial,stage_wide,0.091400,1.99e-03,8.33e-05,40,no,2,10,L15 serial stage_wide
R0HGRv3_router8_C06_A1_distill_k2,C06,A1,distill,2,160/16/256/112,15,serial,stage_wide,0.091300,3.92e-04,0.00e+00,27,yes,2,10,L15 serial stage_wide
