stage,dataset,model,family,job_id,parent_job_id,run_phase,runtime_seed,gpu_id,status,valid_score,test_score,best_valid_mrr20,test_mrr20,result_path,log_path,elapsed_sec,error,timestamp_utc
stage3,beauty,difsr,baseline,ADD_STAGE3_BEAUTY_DIFSR_C2_SEED1,ADD_STAGE2_BEAUTY_DIFSR,ADD_STAGE3_BEAUTY_DIFSR_C2_SEED1,930004,resume,ok,0.005442389403002329,0.003711111111111111,0.005,0.0032,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_DIFSR_add_stage3_beauty_difsr_c2_seed1_20260419_081935_636704_pid1756151.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/difsr/baseline/ADD_STAGE3_BEAUTY_DIFSR_C2_SEED1.log,0.0,,2026-04-19T10:37:46.161894Z
stage3,beauty,bsarec,baseline,ADD_STAGE3_BEAUTY_BSAREC_C1_SEED1,ADD_STAGE2_BEAUTY_BSAREC,ADD_STAGE3_BEAUTY_BSAREC_C1_SEED1,930001,resume,ok,0.003416411021773382,0.0008333333333333334,0.0016,0.0004,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_BSARec_add_stage3_beauty_bsarec_c1_seed1_20260419_081935_700659_pid1756147.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/bsarec/baseline/ADD_STAGE3_BEAUTY_BSAREC_C1_SEED1.log,0.0,,2026-04-19T10:37:46.154428Z
stage3,beauty,difsr,baseline,ADD_STAGE3_BEAUTY_DIFSR_C1_SEED1,ADD_STAGE2_BEAUTY_DIFSR,ADD_STAGE3_BEAUTY_DIFSR_C1_SEED1,930003,resume,ok,0.020155555555555555,0.01678312670905588,0.0165,0.0119,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_DIFSR_add_stage3_beauty_difsr_c1_seed1_20260419_081935_677227_pid1756152.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/difsr/baseline/ADD_STAGE3_BEAUTY_DIFSR_C1_SEED1.log,0.0,,2026-04-19T10:37:46.159473Z
stage3,beauty,fame,baseline,ADD_STAGE3_BEAUTY_FAME_C2_SEED1,ADD_STAGE2_BEAUTY_FAME,ADD_STAGE3_BEAUTY_FAME_C2_SEED1,930006,resume,ok,0.02565051727362612,0.023026119204832846,0.0197,0.0151,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_FAME_add_stage3_beauty_fame_c2_seed1_20260419_081935_714308_pid1756157.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/fame/baseline/ADD_STAGE3_BEAUTY_FAME_C2_SEED1.log,0.0,,2026-04-19T10:37:46.166930Z
stage3,beauty,bsarec,baseline,ADD_STAGE3_BEAUTY_BSAREC_C2_SEED1,ADD_STAGE2_BEAUTY_BSAREC,ADD_STAGE3_BEAUTY_BSAREC_C2_SEED1,930002,resume,ok,0.020677777777777778,0.012377777777777777,0.0164,0.008,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_BSARec_add_stage3_beauty_bsarec_c2_seed1_20260419_081935_736825_pid1756149.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/bsarec/baseline/ADD_STAGE3_BEAUTY_BSAREC_C2_SEED1.log,0.0,,2026-04-19T10:37:46.156983Z
stage3,beauty,fdsa,baseline,ADD_STAGE3_BEAUTY_FDSA_C1_SEED1,ADD_STAGE2_BEAUTY_FDSA,ADD_STAGE3_BEAUTY_FDSA_C1_SEED1,930009,resume,ok,0.11114444444444443,0.09617777777777778,0.0961,0.0776,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_FDSA_add_stage3_beauty_fdsa_c1_seed1_20260419_081952_389388_pid1756324.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/fdsa/baseline/ADD_STAGE3_BEAUTY_FDSA_C1_SEED1.log,0.0,,2026-04-19T10:37:46.174773Z
stage3,beauty,fame,baseline,ADD_STAGE3_BEAUTY_FAME_C1_SEED1,ADD_STAGE2_BEAUTY_FAME,ADD_STAGE3_BEAUTY_FAME_C1_SEED1,930005,resume,ok,0.031155555555555554,0.01890086513089739,0.0193,0.0111,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_FAME_add_stage3_beauty_fame_c1_seed1_20260419_081935_636940_pid1756154.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/fame/baseline/ADD_STAGE3_BEAUTY_FAME_C1_SEED1.log,0.0,,2026-04-19T10:37:46.164446Z
stage3,beauty,fearec,baseline,ADD_STAGE3_BEAUTY_FEAREC_C1_SEED1,ADD_STAGE2_BEAUTY_FEAREC,ADD_STAGE3_BEAUTY_FEAREC_C1_SEED1,930010,resume,ok,0.018666666666666668,0.01026692451474508,0.0135,0.0068,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_FEARec_add_stage3_beauty_fearec_c1_seed1_20260419_081956_843658_pid1756352.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/fearec/baseline/ADD_STAGE3_BEAUTY_FEAREC_C1_SEED1.log,0.0,,2026-04-19T10:37:46.177195Z
stage3,beauty,fearec,baseline,ADD_STAGE3_BEAUTY_FEAREC_C2_SEED1,ADD_STAGE2_BEAUTY_FEAREC,ADD_STAGE3_BEAUTY_FEAREC_C2_SEED1,930011,resume,ok,0.014,0.006177777777777778,0.0089,0.0032,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/beauty_FEARec_add_stage3_beauty_fearec_c2_seed1_20260419_082000_380269_pid1756383.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/beauty/fearec/baseline/ADD_STAGE3_BEAUTY_FEAREC_C2_SEED1.log,0.0,,2026-04-19T10:37:46.179709Z
stage3,foursquare,bsarec,baseline,ADD_STAGE3_FOURSQUARE_BSAREC_C2_SEED1,ADD_STAGE2_FOURSQUARE_BSAREC,ADD_STAGE3_FOURSQUARE_BSAREC_C2_SEED1,930013,resume,ok,0.21200000000000002,0.1831894709247818,0.172,0.1456,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_addtuning/foursquare_BSARec_add_stage3_foursquare_bsarec_c2_seed1_20260419_082009_021672_pid1756444.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_addtuning/stage3/foursquare/bsarec/baseline/ADD_STAGE3_FOURSQUARE_BSAREC_C2_SEED1.log,0.0,,2026-04-19T10:37:46.184701Z
