dataset,model,best_valid_mrr20,test_mrr20_at_best_valid,mrr_stage,mrr_run_phase,mrr_hparam_id,mrr_seed_id,mrr_lr,best_valid_hr10,test_hr10_at_best_valid,hr_stage,hr_run_phase,hr_hparam_id,hr_seed_id,hr_lr
KuaiRecLargeStrictPosV2_0.2,SASRec,0.1188,0.1107,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M01_C01_SASREC_FAD_H3_R1_S3,FAD_H3_R1,3,0.0005596762168800712,0.1441,0.1388,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M01_C01_SASREC_FAD_H3_R1_S3,FAD_H3_R1,3,0.0005596762168800712
KuaiRecLargeStrictPosV2_0.2,GRU4Rec,0.0277,0.025,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M02_C02_GRU4REC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0035011188016075066,0.0399,0.039,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M02_C02_GRU4REC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0035011188016075066
KuaiRecLargeStrictPosV2_0.2,TiSASRec,0.0455,0.0435,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M03_C01_TISASREC_FAD_H2_R2_S3,FAD_H2_R2,3,0.0005868715814563052,0.0519,0.0507,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M03_C02_TISASREC_FAD_H3_R1_S2,FAD_H3_R1,2,0.0004828210298526397
KuaiRecLargeStrictPosV2_0.2,DuoRec,0.0505,0.0473,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M04_C02_DUOREC_FAD_H1_R2_S2,FAD_H1_R2,2,0.000613152049002831,0.0693,0.0666,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M04_C02_DUOREC_FAD_H1_R2_S2,FAD_H1_R2,2,0.000613152049002831
KuaiRecLargeStrictPosV2_0.2,SIGMA,0.1667,0.1661,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M05_C01_SIGMA_FAD_H4_R2_S1,FAD_H4_R2,1,0.000801323106141649,0.1693,0.1672,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M05_C02_SIGMA_FAD_H2_R1_S3,FAD_H2_R1,3,0.0005430864878527816
KuaiRecLargeStrictPosV2_0.2,BSARec,0.1651,0.1641,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M06_C01_BSAREC_FAD_H3_R2_S3,FAD_H3_R2,3,0.001032047190934733,0.1673,0.1678,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M06_C02_BSAREC_FAD_H4_R1_S2,FAD_H4_R1,2,0.0016550396589890381
KuaiRecLargeStrictPosV2_0.2,FEARec,0.0794,0.0761,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M07_C02_FEAREC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0003330735455823455,0.0863,0.0832,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M07_C02_FEAREC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0003330735455823455
KuaiRecLargeStrictPosV2_0.2,DIF-SR,0.1475,0.1449,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M08_C01_DIFSR_FAD_H4_R1_S1,FAD_H4_R1,1,0.0006559752397230659,0.1583,0.1571,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M08_C02_DIFSR_FAD_H3_R2_S1,FAD_H3_R2,1,0.003132998208721251
KuaiRecLargeStrictPosV2_0.2,FAME,0.1591,0.1601,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M09_C01_FAME_FAD_H3_R1_S2,FAD_H3_R1,2,0.0007878412894156114,0.166,0.1661,StageG_Cross6x9_anchor2_core5,P22_SG_D00_M09_C01_FAME_FAD_H3_R1_S2,FAD_H3_R1,2,0.0007878412894156114
KuaiRecLargeStrictPosV2_0.2,FeaturedMoE_N3,0.1707,0.169,P14_A6_Final_all_datasets,P14_FAD_A6_KUAIRECLARGESTRICTPOSV2_0_2_H14_S1,H14,1,0.000489899285272819,0.1777,0.1748,P14_A6_Final_all_datasets,P14_FAD_A6_KUAIRECLARGESTRICTPOSV2_0_2_H3_S3,H3,3,0.001021458041140258
lastfm0.03,SASRec,0.2321,0.2298,StageC_Focus_anchor2_core5,P18_SC_D00_M01_P01_SASREC_B6_C1_S1,B6_C1,1,0.0009110334404759453,0.3019,0.2991,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M01_C01_SASREC_OLD_B6_C1_S1,OLD_B6_C1,1,0.0006145806558041614
lastfm0.03,GRU4Rec,0.2048,0.2012,StageD_MicroWide_anchor2_core5,P19_SC_D00_M01_P01_GRU4REC_C7_D5_S1,C7_D5,1,0.008015395102589506,0.249,0.2505,StageD_MicroWide_anchor2_core5,P19_SC_D00_M01_P01_GRU4REC_C7_D5_S1,C7_D5,1,0.008015395102589506
lastfm0.03,TiSASRec,0.226,0.2249,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M03_C01_TISASREC_FAD_H2_R1_S2,FAD_H2_R1,2,0.000296676320373067,0.2774,0.2782,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M03_C01_TISASREC_FAD_H2_R1_S1,FAD_H2_R1,1,0.000315193518475829
lastfm0.03,DuoRec,0.2324,0.2319,StageE_ReLRSeed_anchor2_core5,P20_SC_D00_M02_P02_DUOREC_D1_E4_S1,D1_E4,1,0.00024555874782193133,0.3035,0.2946,StageB_Structure_anchor2_core5,P17_SB_D00_M03_DUOREC_B2_S1,B2,1,0.0007950386311311261
lastfm0.03,SIGMA,0.1883,0.1907,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M05_C01_SIGMA_FAD_H2_R1_S2,FAD_H2_R1,2,0.0002610506528152194,0.2283,0.2253,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M05_C01_SIGMA_FAD_H2_R1_S1,FAD_H2_R1,1,0.00025807451333839497
lastfm0.03,BSARec,0.2198,0.2212,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M06_C02_BSAREC_FAD_H3_R1_S3,FAD_H3_R1,3,0.00045676546353859085,0.2586,0.2657,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M06_C01_BSAREC_FAD_H4_R2_S3,FAD_H4_R2,3,0.0005954305294337987
lastfm0.03,FEARec,0.2269,0.2259,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M07_C01_FEAREC_FAD_H2_R1_S1,FAD_H2_R1,1,0.00017576961813051283,0.2976,0.2946,StageG_Cross6x9_anchor2_core5,P22_SG_D01_M07_C01_FEAREC_FAD_H2_R1_S1,FAD_H2_R1,1,0.00017576961813051283
lastfm0.03,DIF-SR,0.241,0.2426,StageB_Structure_anchor2_core5,P17_SB_D00_M03_DIFSR_B7_S1,B7,1,0.0009802170193803157,0.2998,0.2981,StageD_MicroWide_anchor2_core5,P19_SC_D00_M03_P01_DIFSR_C8_D5_S1,C8_D5,1,0.0012885333415666874
lastfm0.03,FAME,0.2242,0.2272,StageE_ReLRSeed_anchor2_core5,P20_SC_D00_M04_P01_FAME_D6_E5_S1,D6_E5,1,0.0004870190520308138,0.27,0.2726,StageF_TailBoost_anchor2_core5,P21_SC_D00_M03_P03_FAME_D2_E4_F2_S1,D2>E4_F2,1,0.0004563865256733614
lastfm0.03,FeaturedMoE_N3,0.2389,0.2352,P14_A6_Final_all_datasets,P14_FAD_A6_LASTFM0_03_H11_S3,H11,3,0.0004074665931427661,0.299,0.2917,P14_A6_Final_all_datasets,P14_FAD_A6_LASTFM0_03_H6_S2,H6,2,0.0007933955140611247
amazon_beauty,SASRec,0.1264,0.0882,StageC_Focus_anchor2_core5,P18_SC_D01_M01_P01_SASREC_B2_C6_S1,B2_C6,1,0.00190955380671376,0.177,0.1053,StageC_Focus_anchor2_core5,P18_SC_D01_M01_P01_SASREC_B2_C2_S1,B2_C2,1,0.00204461793134974
amazon_beauty,GRU4Rec,0.0197,0.0018,StageD_MicroWide_anchor2_core5,P19_SC_D01_M01_P02_GRU4REC_C7_D7_S1,C7_D7,1,0.0011672109685503605,0.0265,0.0263,StageD_MicroWide_anchor2_core5,P19_SC_D01_M01_P01_GRU4REC_C8_D8_S1,C8_D8,1,0.0034392886058517568
amazon_beauty,TiSASRec,0.047,0.0135,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M03_C01_TISASREC_FAD_H2_R1_S1,FAD_H2_R1,1,0.0003883550730797754,0.0708,0.0263,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M03_C02_TISASREC_FAD_H3_R2_S2,FAD_H3_R2,2,0.0007341390647513649
amazon_beauty,DuoRec,0.1245,0.0863,StageF_TailBoost_anchor2_core5,P21_SC_D01_M02_P02_DUOREC_MANUAL_AB_DUO_ALT_F1_S1,MANUAL_AB_DUO_ALT_F1,1,0.0005555985752165916,0.1681,0.0965,StageF_TailBoost_anchor2_core5,P21_SC_D01_M02_P02_DUOREC_MANUAL_AB_DUO_ALT_F6_S2,MANUAL_AB_DUO_ALT_F6,2,0.0012976978716278187
amazon_beauty,SIGMA,0.098,0.0673,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M05_C02_SIGMA_FAD_H4_R2_S2,FAD_H4_R2,2,0.00015891292061216927,0.0973,0.0789,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M05_C01_SIGMA_FAD_H2_R1_S1,FAD_H2_R1,1,0.0001817431359436404
amazon_beauty,BSARec,0.0162,0.0029,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M06_C01_BSAREC_FAD_H3_R1_S1,FAD_H3_R1,1,0.00037271097059301525,0.0265,0.0088,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M06_C01_BSAREC_FAD_H3_R1_S1,FAD_H3_R1,1,0.00037271097059301525
