early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,26,0.003500000000000003,0.0,0.0,10.96019757660461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7977586394441225,0.0,11.771153453140657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.329407814065714,0.0,0.0765,ok,0.179,0.1578,1
True,23,0.0031000000000000055,0.0,0.0,7.0126611861188755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.846554111070091,0.0,7.62933142371183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.111418174146933,0.0,0.0762,ok,0.1782,0.1559,2
True,32,0.003500000000000003,0.0,0.0,6.678633280154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.585641209258478,0.0,9.420054816465376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166025410711461,0.0,0.0763,ok,0.178,0.1559,3
True,11,-0.00010000000000000286,0.0,0.0,4.002659570961447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.550439223933337,0.0,2.527040331140235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9043062898845,0.0,0.0636,ok,0.1162,0.103,4
True,25,0.005599999999999994,0.0,0.0,11.5362876430568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.794802448117188,0.0,13.58601702178155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.755050663203417,0.0,0.0765,ok,0.1792,0.1579,5
True,25,0.005400000000000002,0.0,0.0,11.319117365908971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.474623033793049,0.0,13.483427495912663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7401811613311535,0.0,0.0766,ok,0.1785,0.158,6
True,11,-9.999999999999593e-05,0.0,0.0,4.050376183350035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792927588207373,0.0,2.532487408364538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.168051609224197,0.0,0.0623,ok,0.11,0.0975,7
True,14,0.0031000000000000055,0.0,0.0,13.264107905701175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443730057750119,0.0,13.341243209746322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.654317744317282,0.0,0.0762,ok,0.1775,0.1576,8
True,83,0.0032000000000000084,0.0,0.0,10.08065568799114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5657518228205265,0.0,9.784683692843204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.216225986894151,0.0,0.0763,ok,0.1782,0.1567,9
True,49,0.0034000000000000002,0.0,0.0,8.963963365592532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.501739796490164,0.0,10.207145258688888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.424396128896155,0.0,0.0764,ok,0.1788,0.157,10
