stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,session,final,final.expert,expert,12,GroupConditionalProductWrapper,,,,0.9787016776879004,0.9902427491858727,0.2165237427845215,0.0,0.9965905914799654,0.00341523379753203,11.882912990230473,0.09926414938973935,0.28181343088581134,2.431982307045336
macro,macro@1,best_valid,session,final,final.group,group,4,GroupConditionalProductWrapper,,,,0.9761622332342679,0.9936211727836232,0.14188659524431668,0.0,0.9983741599833402,0.0016271631288465782,3.9744846911344927,0.0801238390877151,0.3564149464332375,1.353248199470865
macro,macro@1,best_valid,session,final,final.intra.Exposure,intra,3,GroupConditionalProductWrapper,,,,0.9962362458693256,0.9951006293454464,0.6607656127515025,0.0,0.9998224451472637,0.00017757061746524606,2.9853018880363393,0.07016789331531842,0.773843741834335,1.0944773821286256
macro,macro@1,best_valid,session,final,final.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.9917359730810229,0.9996333572945528,0.3108505356676247,0.0,0.9989457122797178,0.001054843872511434,2.9989000718836585,0.01915101091113654,0.5405670237784165,1.0895333271410375
macro,macro@1,best_valid,session,final,final.intra.Memory,intra,3,GroupConditionalProductWrapper,,,,0.9890773861218014,0.9995693036022341,0.3251567807682258,0.0,0.9984830125590525,0.0015181392313772996,2.998707910806702,0.0207565183153296,0.5501045205121505,1.086612570837144
macro,macro@1,best_valid,session,final,final.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.9518740084231357,0.9958621531310815,0.2927227593415207,0.0,0.9955006704833882,0.004509481963910818,2.9875864593932446,0.06446027022363367,0.5284818395610138,1.0457404829174288
