early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1686,ok,0.1746,0.1673,1
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1669,ok,0.1746,0.1662,2
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1609,ok,0.1648,0.1606,3
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1674,ok,0.1727,0.1663,4
True,16,1.0,1.0,0.0,0.13111349940299988,0.0,1.3679924213116277,0.24716779589653015,0.14709889888763428,0.0,0.0,8.555796554370392e-09,1.0,1.0,6.150249539312039,3.9323993233650705,6.150249539312039,3.3730584563631e-05,0.9999662699843062,3.3730584563631e-05,0.9999662699843062,-2.1316430427453378e-09,1.000000002131643,0.00017092675743550834,0.9998290878497105,0.00017092744086304878,0.9998290871663997,0.0,0.0,9.334999488124488,6.150249539312039,0.5260747113985949,0.1689,ok,0.1751,0.1673,5
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1686,ok,0.1727,0.1673,6
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1621,ok,0.1729,0.1613,7
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164,ok,0.1675,0.1637,8
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1632,ok,0.1713,0.161,9
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1593,ok,0.1718,0.1583,10
