avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
0.4446351744911887,True,11,0.0012,ok,0.0201,0.024359464645385742,0.0036,1
0.38664204424077814,True,11,0.0012,ok,0.0172,0.021475791931152344,0.0032,2
0.38565499132329767,True,11,0.0012,ok,0.0172,0.021558523178100586,0.0034,3
0.3865613720633767,True,11,0.0013,ok,0.0115,0.02335667610168457,0.0028,4
0.3844775286587802,True,11,0.0012,ok,0.0172,0.021784067153930664,0.0032,5
0.3849030841480602,True,11,0.0013,ok,0.0115,0.020863056182861328,0.0028,6
0.38935953920537775,True,11,0.0013,ok,0.0115,0.020925045013427734,0.0028,7
0.39756367756770206,True,13,0.0013,ok,0.0143,0.021381378173828125,0.0035,8
0.38573141531510785,True,11,0.0012,ok,0.0172,0.01997828483581543,0.0033,9
0.3853370926596902,True,11,0.0013,ok,0.0115,0.021051883697509766,0.0028,10
0.3867876746437766,True,11,0.0013,ok,0.0115,0.031282663345336914,0.0026,11
0.3835470893166282,True,11,0.0013,ok,0.0115,0.020252227783203125,0.0028,12
0.3839880986647172,True,11,0.0012,ok,0.0172,0.021364450454711914,0.0036,13
0.3849382617256858,True,11,0.0012,ok,0.0172,0.01997089385986328,0.0032,14
0.3846070332960649,True,11,0.0012,ok,0.0201,0.021754980087280273,0.0036,15
0.39028397473421966,True,11,0.0013,ok,0.0115,0.021505117416381836,0.0028,16
