early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,21,0.3092,ok,0.3922,0.3043,1
True,17,0.3061,ok,0.3794,0.2962,2
True,17,0.3072,ok,0.3805,0.299,3
