stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,session,final,final.expert,expert,4,ScalarGroupConditionalProductWrapper,,,,0.8698696647646591,0.863591024369353,0.2998588744246165,0.0,0.991926104801881,0.008106665599002059,3.454364097477412,0.397436261177063,0.4748941558184624,1.2058954111724964
macro,macro@1,best_valid,session,final,final.group,group,4,ScalarGroupConditionalProductWrapper,,,,0.8698696647646591,0.863591024369353,0.2998588744246165,0.0,0.991926104801881,0.008106665599002059,3.454364097477412,0.397436261177063,0.4748941558184624,1.2058954111724964
macro,macro@1,best_valid,session,final,final.intra.Exposure,intra,1,ScalarGroupConditionalProductWrapper,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
macro,macro@1,best_valid,session,final,final.intra.Focus,intra,1,ScalarGroupConditionalProductWrapper,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
macro,macro@1,best_valid,session,final,final.intra.Memory,intra,1,ScalarGroupConditionalProductWrapper,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
macro,macro@1,best_valid,session,final,final.intra.Tempo,intra,1,ScalarGroupConditionalProductWrapper,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
