dataset,model,combo_id,combo_kind,priority,est_runtime_sec,runtime_class,max_evals,epochs,patience,seed,run_phase,space_yaml,base_params_json,search_json
beauty,gru4rec,K1,stable_short,critical,64.8,very_fast,15,100,7,2026041791,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K1.yaml,"{""dropout"": 0.21, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 12, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 1.4e-06}","{""MAX_ITEM_LIST_LENGTH"": [12, 14], ""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [1, 2]}"
beauty,gru4rec,K10,gru_short,critical,64.8,very_fast,15,100,7,2026041800,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K10,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K10.yaml,"{""dropout"": 0.21, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 12, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 1.2e-06}","{""MAX_ITEM_LIST_LENGTH"": [12, 14], ""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [1, 2]}"
beauty,gru4rec,K2,mid_soft,critical,64.8,very_fast,15,100,7,2026041792,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K2.yaml,"{""dropout"": 0.23, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 14, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 1.17e-06}","{""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [1, 2], ""weight_decay"": [1e-06, 1.17e-06, 2.11e-06]}"
beauty,gru4rec,K3,mid_decay,critical,64.8,very_fast,15,100,7,2026041793,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K3,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K3.yaml,"{""dropout"": 0.24, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 14, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 1.95e-06}","{""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [1, 2], ""weight_decay"": [1.17e-06, 1.95e-06, 3.51e-06]}"
beauty,gru4rec,K4,large_soft,critical,64.8,very_fast,15,100,7,2026041794,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K4,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K4.yaml,"{""dropout"": 0.22, ""embedding_size"": 224, ""hidden_size"": 224, ""inner_size"": 448, ""max_len"": 16, ""n_layers"": 2, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 1.28e-06}","{""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [2, 3], ""weight_decay"": [1e-06, 1.28e-06, 2.3e-06]}"
beauty,gru4rec,K5,large_decay,critical,64.8,very_fast,15,100,7,2026041795,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K5,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K5.yaml,"{""dropout"": 0.23, ""embedding_size"": 256, ""hidden_size"": 256, ""inner_size"": 512, ""max_len"": 16, ""n_layers"": 2, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 1.73e-06}","{""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [2, 3], ""weight_decay"": [1.04e-06, 1.73e-06, 3.11e-06]}"
beauty,gru4rec,K6,shallow_mix,critical,64.8,very_fast,15,100,7,2026041796,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K6,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K6.yaml,"{""dropout"": 0.205, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 12, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 1.1e-06}","{""MAX_ITEM_LIST_LENGTH"": [12, 14], ""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [1, 2]}"
beauty,gru4rec,K7,wide_attr,critical,64.8,very_fast,15,100,7,2026041797,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K7,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K7.yaml,"{""dropout"": 0.23, ""embedding_size"": 224, ""hidden_size"": 224, ""inner_size"": 448, ""max_len"": 14, ""n_layers"": 2, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 1.3e-06}","{""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [2, 3], ""weight_decay"": [1e-06, 1.3e-06, 2.34e-06]}"
beauty,gru4rec,K8,wide_decay,critical,64.8,very_fast,15,100,7,2026041798,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K8,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K8.yaml,"{""dropout"": 0.28, ""embedding_size"": 224, ""hidden_size"": 224, ""inner_size"": 448, ""max_len"": 16, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 1.69e-06}","{""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [1, 2, 3], ""weight_decay"": [1.01e-06, 1.69e-06, 3.04e-06]}"
beauty,gru4rec,K9,reset_mild,critical,64.8,very_fast,15,100,7,2026041799,BASELINE2_ADDTUNE3B_BEAUTY_GRU4REC_K9,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3B/spaces/beauty_gru4rec_K9.yaml,"{""dropout"": 0.27, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 14, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 2.7e-06}","{""learning_rate"": [0.00017472, 0.00190607], ""num_layers"": [1, 2], ""weight_decay"": [1.62e-06, 2.7e-06, 4.86e-06]}"
