early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,40,0.000800000000000009,0.0,0.021167198089637948,0.0,0.27427883590929725,0.0,0.8611562994973911,0.4043942391872406,0.08916335552930832,3.7201388254473113,0.0,0.0,0.0,0.3859166011014949,0.0758,ok,0.1801,0.1569,1
True,20,0.0002999999999999947,0.0,0.03081217993843771,0.0,0.11433307826519012,0.0,0.9138704684545254,0.15242555737495422,-0.07202541828155518,3.948386635199848,0.0,0.0,0.0,0.3272323215592088,0.076,ok,0.1773,0.1573,2
True,17,0.00010000000000000286,0.0,0.0059077670572970226,0.0,0.1739659458398819,0.0,0.9798519871638922,0.3201524615287781,-0.16400204598903656,3.8824994949367553,0.0,0.0,0.0,0.29131641061741687,0.0756,ok,0.1778,0.1575,3
True,11,-0.00010000000000000286,0.0,0.05256946457410249,0.0,0.22277015447616577,0.0,1.3267664368003507,0.16310176253318787,0.10703930258750916,3.810879071281397,0.0,0.0,0.0,0.4955139619307908,0.0662,ok,0.1392,0.1228,4
True,11,0.0,0.0,0.059160489737325184,0.0,0.1457014915765221,0.0,1.3308680613068864,0.08365511894226074,0.03332250192761421,3.9168495552949336,0.0,0.0,0.0,0.35797203472883626,0.0665,ok,0.1504,0.1439,5
True,15,0.0003000000000000086,0.0,0.026146700346460175,0.0,0.10868507623672485,0.0,0.917413980220023,0.19917547702789307,-0.14861948788166046,3.9533018257718404,0.0,0.0,0.0,0.3107409554570928,0.0757,ok,0.1778,0.1573,6
True,11,0.0,0.0,0.06351884826148771,0.0,0.14251071214675903,0.0,1.334293828052749,0.0972902774810791,0.051920101046562195,3.920379718365809,0.0,0.0,0.0,0.39708338509531105,0.0667,ok,0.1509,0.1432,7
True,37,0.0002999999999999947,0.0,0.015642469667481063,0.0,0.261057049036026,0.0,0.9515160651924855,0.2785135805606842,-0.11738145351409912,3.744789738019874,0.0,0.0,0.0,0.43170524659406184,0.0754,ok,0.1783,0.1564,8
True,11,0.0,0.0,0.06323933358179085,0.0,0.13270355761051178,0.0,1.332623560693507,0.08241581916809082,0.035132404416799545,3.930778239321264,0.0,0.0,0.0,0.3441860946623049,0.0666,ok,0.1509,0.1448,9
True,11,0.0,0.0,0.058052783414082,0.0,0.1713726669549942,0.0,1.3566029438977805,0.2764745056629181,0.24130980670452118,3.885877528917591,0.0,0.0,0.0,0.5983063480889478,0.0619,ok,0.106,0.0898,10
