early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0241,ok,0.0407,0.0223,1
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0785,ok,0.1828,0.1586,2
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1867,0.1594,3
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.186,0.159,4
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0246,ok,0.0422,0.0226,5
True,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0497,ok,0.1274,0.0827,6
True,16,1.0,1.0,0.0,0.20361716438480723,0.0,0.8792051919520905,0.5099314451217651,0.4285806119441986,0.0,0.0,5.5205710587395065e-09,1.0,1.0,5.623314715073045,2.880571484838477,5.623314715073045,0.0,1.0,0.0,1.0,-3.894056745218217e-10,1.0000000003894056,0.001915748370460151,0.9980860855041815,0.0019157483578859946,0.9980860855167317,0.0,0.0,7.343565925617056,5.623314715073045,0.44554519684898436,0.0792,ok,0.1841,0.1592,7
True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1859,0.1594,8
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0788,ok,0.1839,0.1594,9
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1843,0.1594,10
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1876,0.1597,11
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1862,0.1592,12
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1862,0.1587,13
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.187,0.1596,14
True,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1857,0.1591,15
True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1859,0.1594,16
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1846,0.1592,17
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1863,0.1591,18
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,ok,0.1848,0.1592,19
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1865,0.1593,20
