avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
22.339307951927186,True,20,0.3662,ok,0.5506,1.246696949005127,0.3664,1
21.824472650885582,True,16,0.3621,ok,0.5501,1.2208514213562012,0.3635,2
21.151597355093276,True,28,0.3654,ok,0.5529,1.245192527770996,0.366,3
21.666562259197235,True,20,0.3674,ok,0.554,1.237422227859497,0.3675,4
20.82667904741624,True,17,0.3624,ok,0.5503,1.181544303894043,0.3637,5
21.135502328475315,True,24,0.3604,ok,0.5383,1.212512731552124,0.3613,6
20.98971666608538,True,28,0.3605,ok,0.5435,1.2130191326141357,0.3604,7
21.245069980621338,True,28,0.3631,ok,0.5477,1.2030234336853027,0.363,8
21.48791327741411,True,18,0.3706,ok,0.5574,1.3136308193206787,0.3698,9
21.766757878390226,True,33,0.3601,ok,0.5388,1.189620018005371,0.3596,10
