stage,model,best_candidate_id,best_valid_mrr20,best_test_mrr20,cum_best_valid_mrr20,cum_best_test_mrr20,last_update_utc
A,gru4rec,A009_L04,0.0865,0.0591,0.0865,0.0591,2026-04-14T12:50:27.787906+00:00
A,gru4rec,A009_L04,0.0865,0.0591,0.0865,0.0591,2026-04-14T13:36:55.349389+00:00
A,sasrec,A017_L03,0.0839,0.0551,0.0839,0.0551,2026-04-14T12:50:27.788317+00:00
A,sasrec,A017_L03,0.0839,0.0551,0.0839,0.0551,2026-04-14T13:36:55.349768+00:00
A,tisasrec,A007_L04,0.0823,0.0553,0.0823,0.0553,2026-04-14T12:50:27.789078+00:00
A,tisasrec,A007_L04,0.0823,0.0553,0.0823,0.0553,2026-04-14T13:36:55.350146+00:00
