dataset,model,stage,search_family,param,values_json
beauty,sasrec,stage1,baseline,learning_rate,"[0.00063336, 0.00085377, 0.00115088, 0.0015514, 0.0020913, 0.00281908, 0.00380014]"
beauty,sasrec,stage1,baseline,weight_decay,"[5e-05, 0.0001, 0.00010132732766567372, 0.000108, 0.000138]"
beauty,sasrec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
beauty,sasrec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
beauty,sasrec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
beauty,sasrec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
beauty,sasrec,stage1,baseline,num_heads,"[1, 2, 4, 8]"
beauty,sasrec,stage1,baseline,hidden_dropout_prob,"[0.1, 0.12, 0.15, 0.2, 0.20807446363082865]"
beauty,sasrec,stage1,baseline,attn_dropout_prob,"[0.1, 0.12, 0.15, 0.19864945042604676, 0.2]"
beauty,gru4rec,stage1,baseline,learning_rate,"[0.00187075, 0.00241695, 0.00312261, 0.0040343, 0.00521217, 0.00673393, 0.0087]"
beauty,gru4rec,stage1,baseline,weight_decay,"[""1e-06"", 1e-06, 1.49e-06, 1.3e-06, 2.34e-06]"
beauty,gru4rec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
beauty,gru4rec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
beauty,gru4rec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
beauty,gru4rec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
beauty,gru4rec,stage1,baseline,dropout_prob,"[0.11604715246443809, 0.15, 0.2, 0.25, 0.3]"
beauty,tisasrec,stage1,baseline,learning_rate,"[0.00036244, 0.00046038, 0.00058478, 0.00074279, 0.00094349, 0.00119843, 0.00152226]"
beauty,tisasrec,stage1,baseline,weight_decay,"[8.55e-05, 0.0001, 0.0001035, 0.000117, 0.0001275]"
beauty,tisasrec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
beauty,tisasrec,stage1,baseline,hidden_size,"[64, 96, 128, 144, 160]"
beauty,tisasrec,stage1,baseline,embedding_size,"[64, 96, 128, 144, 160]"
beauty,tisasrec,stage1,baseline,n_layers,"[1, 2, 3, 4]"
beauty,tisasrec,stage1,baseline,n_heads,"[1, 2, 4, 8]"
beauty,tisasrec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
beauty,tisasrec,stage1,baseline,attn_dropout_prob,"[0.08, 0.1, 0.12, 0.15, 0.2]"
beauty,tisasrec,stage1,baseline,time_span,"[64, 128, 256, 320, 384]"
beauty,duorec,stage1,baseline,learning_rate,"[0.00033674, 0.00042426, 0.00053454, 0.00067347, 0.00084852, 0.00106907, 0.00134695]"
beauty,duorec,stage1,baseline,weight_decay,"[0.0, 1e-06, 1e-05, 5e-05, 0.0001]"
beauty,duorec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
beauty,duorec,stage1,baseline,hidden_size,"[64, 96, 112, 128, 160]"
beauty,duorec,stage1,baseline,embedding_size,"[64, 96, 112, 128, 160]"
beauty,duorec,stage1,baseline,n_layers,"[1, 2, 3, 4]"
beauty,duorec,stage1,baseline,n_heads,"[1, 2, 4, 8]"
beauty,duorec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
beauty,duorec,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
beauty,duorec,stage1,baseline,tau,"[0.12, 0.1574, 0.16, 0.1728, 0.18]"
beauty,duorec,stage1,baseline,lmd,"[0.02, 0.03, 0.04, 0.05, 0.06]"
beauty,duorec,stage1,baseline,lmd_sem,"[0.0, 0.05, 0.08, 0.1, 0.12]"
beauty,bsarec,stage1,baseline,learning_rate,"[0.00141429, 0.00178414, 0.0022507, 0.00283927, 0.00358176, 0.00451841, 0.0057]"
beauty,bsarec,stage1,baseline,weight_decay,"[1e-06, 1e-05, 5e-05, 8.625e-05, 0.0001]"
beauty,bsarec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
beauty,bsarec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
beauty,bsarec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
beauty,bsarec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
beauty,bsarec,stage1,baseline,num_heads,"[1, 2, 4, 8]"
beauty,bsarec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
beauty,bsarec,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
beauty,bsarec,stage1,baseline,bsarec_alpha,"[0.35, 0.5, 0.55, 0.65, 0.7]"
beauty,bsarec,stage1,baseline,bsarec_c,"[2, 3, 5, 7, 8]"
beauty,fearec,stage1,baseline,learning_rate,"[0.00029214, 0.00036807, 0.00046374, 0.00058428, 0.00073614, 0.00092748, 0.00116855]"
beauty,fearec,stage1,baseline,weight_decay,"[5e-05, 7.8e-05, 0.0001, 0.00018, 0.000216]"
beauty,fearec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
beauty,fearec,stage1,baseline,hidden_size,"[64, 96, 112, 128, 160]"
beauty,fearec,stage1,baseline,embedding_size,"[64, 96, 112, 128, 160]"
beauty,fearec,stage1,baseline,n_layers,"[1, 2, 3, 4]"
beauty,fearec,stage1,baseline,n_heads,"[1, 2, 4, 8]"
beauty,fearec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
beauty,fearec,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
beauty,fearec,stage1,baseline,tau,"[0.2, 0.22, 0.24, 0.25, 0.3]"
beauty,fearec,stage1,baseline,lmd,"[0.02, 0.03, 0.04, 0.05, 0.06]"
beauty,fearec,stage1,baseline,lmd_sem,"[0.0, 0.05, 0.08, 0.1, 0.12]"
beauty,difsr,stage1,baseline,learning_rate,"[0.00222862, 0.00249992, 0.00280426, 0.00314564, 0.00352858, 0.00395815, 0.00444]"
beauty,difsr,stage1,baseline,weight_decay,"[1e-05, 5e-05, 7.02e-05, 0.0001, 0.000114]"
beauty,difsr,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
beauty,difsr,stage1,baseline,hidden_size,"[96, 128, 160, 192, 224]"
beauty,difsr,stage1,baseline,embedding_size,"[96, 128, 160, 192, 224]"
beauty,difsr,stage1,baseline,num_layers,"[1, 2, 3, 4]"
beauty,difsr,stage1,baseline,num_heads,"[1, 2, 4, 8]"
beauty,difsr,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
beauty,difsr,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
beauty,difsr,stage1,baseline,attribute_hidden_size,"[96, 128, 160, 192, 224]"
beauty,difsr,stage1,baseline,fusion_type,"[""gate"", ""concat"", ""sum""]"
beauty,difsr,stage1,baseline,lambda_attr,"[0.08, 0.1, 0.12, 0.14, 0.16]"
beauty,fame,stage1,baseline,learning_rate,"[0.00159849, 0.00184013, 0.0021183, 0.00243852, 0.00280715, 0.0032315, 0.00372]"
beauty,fame,stage1,baseline,weight_decay,"[1e-05, 5e-05, 0.0001, 0.00012, 0.0001504868294019483]"
beauty,fame,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
beauty,fame,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
beauty,fame,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
beauty,fame,stage1,baseline,num_layers,"[1, 2, 3, 4]"
beauty,fame,stage1,baseline,num_heads,"[1, 2, 4, 8]"
beauty,fame,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
beauty,fame,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
beauty,fame,stage1,baseline,num_experts,"[2, 3, 4, 5, 6]"
beauty,fdsa,stage1,baseline,learning_rate,"[0.00036513, 0.00047747, 0.00062437, 0.00081646, 0.00106765, 0.00139613, 0.00182566]"
beauty,fdsa,stage1,baseline,weight_decay,"[5e-05, 0.0001, 0.000102, 0.000108, 0.000156]"
beauty,fdsa,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
beauty,fdsa,stage1,baseline,hidden_size,"[96, 128, 160, 192, 224]"
beauty,fdsa,stage1,baseline,embedding_size,"[96, 128, 160, 192, 224]"
beauty,fdsa,stage1,baseline,n_layers,"[1, 2, 3, 4]"
beauty,fdsa,stage1,baseline,n_heads,"[1, 2, 4, 8]"
beauty,fdsa,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
beauty,fdsa,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
beauty,fdsa,stage1,baseline,attribute_hidden_size,"[96, 128, 160, 192, 224]"
beauty,fdsa,stage1,baseline,lambda_attr,"[0.15, 0.16, 0.17, 0.18, 0.2]"
beauty,featured_moe_n3,stage1,route_bank,bank_count,[24]
foursquare,sasrec,stage1,baseline,learning_rate,"[0.00059208, 0.00079813, 0.00107588, 0.00145029, 0.001955, 0.00263535, 0.00355247]"
foursquare,sasrec,stage1,baseline,weight_decay,"[0.0005, 0.0006327355167763454, 0.0006398610070101592, 0.0006590434464683428, 0.0007178607462162508]"
foursquare,sasrec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
foursquare,sasrec,stage1,baseline,hidden_size,"[96, 128, 160, 192, 224]"
foursquare,sasrec,stage1,baseline,embedding_size,"[96, 128, 160, 192, 224]"
foursquare,sasrec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
foursquare,sasrec,stage1,baseline,num_heads,"[1, 2, 4, 8]"
foursquare,sasrec,stage1,baseline,hidden_dropout_prob,"[0.2872768796927108, 0.3, 0.3041199119808934, 0.3506017950318061, 0.35301806800635177]"
foursquare,sasrec,stage1,baseline,attn_dropout_prob,"[0.2, 0.25, 0.31458353084838114, 0.31698695044766184, 0.3320340756030459]"
foursquare,gru4rec,stage1,baseline,learning_rate,"[0.00139669, 0.00188274, 0.00253795, 0.00342117, 0.00461176, 0.00621669, 0.00838013]"
foursquare,gru4rec,stage1,baseline,weight_decay,"[7.842998403165593e-06, 1e-05, 5e-05, 6.411039793489007e-05, 0.0001]"
foursquare,gru4rec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
foursquare,gru4rec,stage1,baseline,hidden_size,"[128, 160, 192, 224, 256]"
foursquare,gru4rec,stage1,baseline,embedding_size,"[128, 160, 192, 224, 256]"
foursquare,gru4rec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
foursquare,gru4rec,stage1,baseline,dropout_prob,"[0.20107573167247725, 0.20689867687267344, 0.2144408288732365, 0.23578510204832642, 0.25]"
foursquare,tisasrec,stage1,baseline,learning_rate,"[0.00031727, 0.000403, 0.00051189, 0.00065021, 0.0008259, 0.00104906, 0.00133252]"
foursquare,tisasrec,stage1,baseline,weight_decay,"[0.0, 1e-06, 1e-05, 5e-05, 0.0001]"
foursquare,tisasrec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
foursquare,tisasrec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
foursquare,tisasrec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
foursquare,tisasrec,stage1,baseline,n_layers,"[1, 2, 3, 4]"
foursquare,tisasrec,stage1,baseline,n_heads,"[1, 2, 4, 8]"
foursquare,tisasrec,stage1,baseline,hidden_dropout_prob,"[0.1, 0.12, 0.13106280357185057, 0.15, 0.2]"
foursquare,tisasrec,stage1,baseline,attn_dropout_prob,"[0.08, 0.1, 0.12, 0.15, 0.2]"
foursquare,tisasrec,stage1,baseline,time_span,"[128, 256, 384, 512, 1024]"
foursquare,duorec,stage1,baseline,learning_rate,"[0.00020564, 0.00025909, 0.00032643, 0.00041128, 0.00051818, 0.00065286, 0.00082255]"
foursquare,duorec,stage1,baseline,weight_decay,"[0.0001, 0.0, 0.00015, ""5e-05"", 1e-06]"
foursquare,duorec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
foursquare,duorec,stage1,baseline,hidden_size,"[64, 96, 112, 128, 160]"
foursquare,duorec,stage1,baseline,embedding_size,"[64, 96, 112, 128, 160]"
foursquare,duorec,stage1,baseline,n_layers,"[1, 2, 3, 4]"
foursquare,duorec,stage1,baseline,n_heads,"[1, 2, 4, 8]"
foursquare,duorec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
foursquare,duorec,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
foursquare,duorec,stage1,baseline,tau,"[0.12, 0.16, 0.18, 0.2, 0.22]"
foursquare,duorec,stage1,baseline,lmd,"[0.0, 0.02, 0.03, 0.04, 0.05]"
foursquare,duorec,stage1,baseline,lmd_sem,"[0.0, 0.02, 0.05, 0.08, 0.1]"
foursquare,bsarec,stage1,baseline,learning_rate,"[0.000374, 0.00049533, 0.00065602, 0.00086884, 0.00115071, 0.00152401, 0.00201843]"
foursquare,bsarec,stage1,baseline,weight_decay,"[1e-05, 5e-05, 0.0001, 0.0001038161366812424, 0.0002]"
foursquare,bsarec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
foursquare,bsarec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
foursquare,bsarec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
foursquare,bsarec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
foursquare,bsarec,stage1,baseline,num_heads,"[1, 2, 4, 8]"
foursquare,bsarec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
foursquare,bsarec,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
foursquare,bsarec,stage1,baseline,bsarec_alpha,"[0.5, 0.55, 0.7, 0.78, 0.9]"
foursquare,bsarec,stage1,baseline,bsarec_c,"[2, 3, 4, 5, 7]"
foursquare,fearec,stage1,baseline,learning_rate,"[0.00017736, 0.00022346, 0.00028154, 0.00035471, 0.00044691, 0.00056307, 0.00070943]"
foursquare,fearec,stage1,baseline,weight_decay,"[1e-05, 5e-05, 9.010392193073853e-05, 0.0001, 0.00015]"
foursquare,fearec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
foursquare,fearec,stage1,baseline,hidden_size,"[64, 96, 112, 128, 160]"
foursquare,fearec,stage1,baseline,embedding_size,"[64, 96, 112, 128, 160]"
foursquare,fearec,stage1,baseline,n_layers,"[1, 2, 3, 4]"
foursquare,fearec,stage1,baseline,n_heads,"[1, 2, 4, 8]"
foursquare,fearec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
foursquare,fearec,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
foursquare,fearec,stage1,baseline,tau,"[0.18, 0.2, 0.22, 0.25, 0.3]"
foursquare,fearec,stage1,baseline,lmd,"[0.0, 0.02, 0.03, 0.04, 0.05]"
foursquare,fearec,stage1,baseline,lmd_sem,"[0.0, 0.05, 0.08, 0.1, 0.12]"
foursquare,difsr,stage1,baseline,learning_rate,"[0.00028908, 0.00038577, 0.00051481, 0.000687, 0.00091679, 0.00122344, 0.00163265]"
foursquare,difsr,stage1,baseline,weight_decay,"[0.0002, 0.00031075933307729954, 0.00037670412092214735, 0.0003857789103924466, 0.0005]"
foursquare,difsr,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
foursquare,difsr,stage1,baseline,hidden_size,"[96, 112, 128, 160, 192]"
foursquare,difsr,stage1,baseline,embedding_size,"[96, 112, 128, 160, 192]"
foursquare,difsr,stage1,baseline,num_layers,"[1, 2, 3, 4]"
foursquare,difsr,stage1,baseline,num_heads,"[1, 2, 4, 8]"
foursquare,difsr,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
foursquare,difsr,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
foursquare,difsr,stage1,baseline,attribute_hidden_size,"[64, 96, 112, 128, 160]"
foursquare,difsr,stage1,baseline,fusion_type,"[""gate"", ""sum"", ""concat""]"
foursquare,difsr,stage1,baseline,lambda_attr,"[0.14, 0.15, 0.16, 0.18, 0.21]"
foursquare,fame,stage1,baseline,learning_rate,"[0.00028337, 0.00035703, 0.00044982, 0.00056674, 0.00071405, 0.00089965, 0.00113349]"
foursquare,fame,stage1,baseline,weight_decay,"[1e-06, 1e-05, 5e-05, 0.0001, 0.00018940160012275847]"
foursquare,fame,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30]"
foursquare,fame,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
foursquare,fame,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
foursquare,fame,stage1,baseline,num_layers,"[1, 2, 3, 4]"
foursquare,fame,stage1,baseline,num_heads,"[1, 2, 4, 8]"
foursquare,fame,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
foursquare,fame,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
foursquare,fame,stage1,baseline,num_experts,"[2, 3, 4, 5, 6]"
foursquare,fdsa,stage1,baseline,learning_rate,"[0.00013153, 0.00017199, 0.00022491, 0.0002941, 0.00038458, 0.0005029, 0.00065763]"
foursquare,fdsa,stage1,baseline,weight_decay,"[0.0, 1e-06, 1e-05, 5e-05, 0.0001]"
foursquare,fdsa,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
foursquare,fdsa,stage1,baseline,hidden_size,"[96, 112, 128, 160, 192]"
foursquare,fdsa,stage1,baseline,embedding_size,"[96, 112, 128, 160, 192]"
foursquare,fdsa,stage1,baseline,n_layers,"[1, 2, 3, 4]"
foursquare,fdsa,stage1,baseline,n_heads,"[1, 2, 4, 8]"
foursquare,fdsa,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
foursquare,fdsa,stage1,baseline,attn_dropout_prob,"[0.05, 0.08, 0.1, 0.12, 0.15]"
foursquare,fdsa,stage1,baseline,attribute_hidden_size,"[112, 128, 144, 160, 192]"
foursquare,fdsa,stage1,baseline,lambda_attr,"[0.042, 0.08, 0.09, 0.1, 0.12]"
foursquare,featured_moe_n3,stage1,route_bank,bank_count,[16]
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,learning_rate,"[0.00051993, 0.00070087, 0.00094478, 0.00127357, 0.00171678, 0.00231424, 0.0031196]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,weight_decay,"[0.0, 1e-06, 1e-05, 5e-05, 0.0001]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,num_heads,"[1, 2, 4, 8]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,hidden_dropout_prob,"[0.05, 0.1, 0.12, 0.15, 0.2]"
KuaiRecLargeStrictPosV2_0.2,sasrec,stage1,baseline,attn_dropout_prob,"[0.08, 0.1, 0.12, 0.15, 0.2]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,stage1,baseline,learning_rate,"[0.00089168, 0.00120199, 0.00162029, 0.00218415, 0.00294425, 0.00396887, 0.00535006]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,stage1,baseline,weight_decay,"[0.0, 1e-06, 1e-05, 5e-05, 0.0001]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,stage1,baseline,num_layers,"[1, 2, 3, 4]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,stage1,baseline,dropout_prob,"[0.1, 0.15, 0.2, 0.25, 0.3]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,learning_rate,"[0.00048653, 0.00061799, 0.00078498, 0.00099709, 0.00126651, 0.00160873, 0.00204342]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,weight_decay,"[0.0, 1e-06, 1e-05, 5e-05, 0.0001]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,MAX_ITEM_LIST_LENGTH,"[10, 20, 30, 50]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,hidden_size,"[64, 96, 128, 160, 192]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,embedding_size,"[64, 96, 128, 160, 192]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,n_layers,"[1, 2, 3, 4]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,n_heads,"[1, 2, 4, 8]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,hidden_dropout_prob,"[0.12, 0.15, 0.2, 0.25, 0.3]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,attn_dropout_prob,"[0.1, 0.12, 0.15, 0.2, 0.25]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,stage1,baseline,time_span,"[64, 128, 256, 384, 512]"
KuaiRecLargeStrictPosV2_0.2,duorec,stage1,baseline,learning_rate,"[0.00030704, 0.00038685, 0.0004874, 0.00061408, 0.0007737, 0.00097479, 0.00122816]"
KuaiRecLargeStrictPosV2_0.2,duorec,stage1,baseline,weight_decay,"[1e-06, 1e-05, 5e-05, 0.0001, 0.00015]"
