best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0179,1,8.87548279762268,1,0.00043492196268167174,0,417.9588232040405,1,0.0179
0.0969,3,7.620203495025635,1,0.0004341341061920285,0,348.74714183807373,1,0.0969
0.1965,10,7.792826175689697,1,0.0004252464794322894,0,196.25515222549438,1,0.1965
0.2051,15,7.625663757324219,1,0.00041325903178170966,0,146.95901536941528,1,0.2051
0.2051,25,7.581939697265625,1,0.00037658147195951603,10,90.18381774425507,1,0.1925
0.0252,1,7.798810005187988,1,0.0006166782353386138,0,412.56546783447266,2,0.0252
0.1403,3,7.7843708992004395,1,0.0006155611293025389,0,318.7928214073181,2,0.1403
0.2062,10,7.33526611328125,1,0.0006029593145936421,2,160.09830951690674,2,0.2014
0.207,11,7.556094408035278,1,0.000600078575010549,0,148.1222083568573,2,0.207
0.207,21,7.449294328689575,1,0.0005574331451262854,10,75.04068636894226,2,0.1867
0.017,1,7.9583821296691895,1,0.00041843724714868164,0,418.51819133758545,3,0.017
0.0923,3,6.8595664501190186,1,0.0004176792525451398,0,351.64034605026245,3,0.0923
0.1954,10,8.011226654052734,1,0.0004091284908128514,0,200.31075477600098,3,0.1954
0.2047,17,7.6037890911102295,1,0.000391784744978053,0,136.24114894866943,3,0.2047
0.2047,27,7.365702867507935,1,0.00035352873521232606,10,86.2181830406189,3,0.1912
0.0195,1,8.043684959411621,1,0.00048462860944049354,0,416.304630279541,4,0.0195
0.1122,3,7.421931266784668,1,0.0004837507098912038,0,340.04223918914795,4,0.1122
0.1984,10,7.653204917907715,1,0.00047384732821040553,0,184.96291208267212,4,0.1984
0.2045,11,7.760120153427124,1,0.00047158344286743085,0,173.09154629707336,4,0.2045
0.2045,21,7.374644041061401,1,0.0004380697006928679,10,97.65187788009644,4,0.194
0.0202,1,7.864257574081421,1,0.0005368099164767706,0,414.7253360748291,5,0.0202
0.1257,3,7.777340412139893,1,0.0005358374910471756,0,331.1144428253174,5,0.1257
0.2008,10,7.6211841106414795,1,0.0005248677847827342,2,174.32269763946533,5,0.1986
0.2051,11,7.664353370666504,1,0.0005223601406234712,0,162.37496995925903,5,0.2051
0.2051,21,7.298853874206543,1,0.0004852378808412406,10,87.81211519241333,5,0.1916
0.0159,1,7.915295600891113,1,0.0003999241208582754,0,419.1843309402466,6,0.0159
0.0856,3,7.725524187088013,1,0.00039919966258525493,0,354.93571043014526,6,0.0856
0.1944,10,7.540137529373169,1,0.0003910272164376993,0,205.0639786720276,6,0.1944
0.2046,17,7.792630910873413,1,0.00037445081853661443,0,141.06362533569336,6,0.2046
0.2046,27,7.287126302719116,1,0.0003378873883511854,10,90.6749746799469,6,0.192
0.021,1,8.074965238571167,1,0.0005591222520913787,0,414.0942859649658,7,0.021
0.1308,3,7.805344104766846,1,0.000558109408104154,0,327.51199531555176,7,0.1308
0.2028,10,7.310193777084351,1,0.0005466837494434299,2,170.11146473884583,7,0.1988
0.2059,11,7.638088226318359,1,0.0005440718758421127,0,158.14423656463623,7,0.2059
0.2059,21,7.640066146850586,1,0.0005054066409887992,10,83.96968650817871,7,0.1918
0.0238,1,7.980952739715576,1,0.0006043656568671025,0,412.88909816741943,8,0.0238
0.1387,3,7.629523515701294,1,0.0006032708549354081,0,320.60542249679565,8,0.1387
0.2057,10,7.181173086166382,1,0.0005909206476671428,2,162.14410209655762,8,0.2006
0.2062,11,7.488313436508179,1,0.0005880974248409908,0,150.16562843322754,8,0.2062
0.2062,21,7.313657283782959,1,0.0005463034522837609,10,76.83696866035461,8,0.1892
0.0176,1,7.8005125522613525,1,0.0004225973138871857,0,418.3709030151367,9,0.0176
0.0935,3,7.557906866073608,1,0.0004218317833671841,0,350.90340518951416,9,0.0935
0.1956,10,7.537233352661133,1,0.0004131960107050281,0,199.27428770065308,9,0.1956
0.2048,15,7.14754581451416,1,0.00040154825866633406,0,150.00641131401062,9,0.2048
0.2048,25,7.499696254730225,1,0.0003659100532162675,10,92.97927618026733,9,0.1943
0.0201,1,8.000259399414062,1,0.0005099497661167876,0,415.52672386169434,10,0.0201
0.1191,3,7.3724915981292725,1,0.0005090259975626546,0,335.6491708755493,10,0.1191
0.2005,10,8.07828974723816,1,0.0004986051782517212,0,179.65406131744385,10,0.2005
0.2052,11,7.879027843475342,1,0.0004962230081142668,0,167.742041349411,10,0.2052
0.2052,21,7.441171169281006,1,0.00046095822050020585,10,92.72399878501892,10,0.1928
0.0201,1,7.944811820983887,1,0.0005305645150668906,0,414.90428161621094,11,0.0201
0.1245,3,7.619970321655273,1,0.0005296034031152374,0,332.1482410430908,11,0.1245
0.1999,10,7.499311685562134,1,0.0005187613215776631,2,175.53650498390198,11,0.1991
0.2043,11,7.52414608001709,1,0.0005162828520738732,0,163.59504437446594,11,0.2043
0.2043,21,7.452637672424316,1,0.00047959248336977973,10,88.92032432556152,11,0.192
0.0182,1,8.10297679901123,1,0.00043610024251317645,0,417.90130043029785,12,0.0182
0.0971,3,7.839355707168579,1,0.00043531025158220467,0,348.523898601532,12,0.0971
0.1964,10,7.538572072982788,1,0.00042639854668372,0,195.9824366569519,12,0.1964
0.2049,15,7.586822271347046,1,0.00041437862293625425,0,146.64967250823975,12,0.2049
0.2049,25,7.328342914581299,1,0.0003776016971755349,10,89.88621485233307,12,0.1927
0.0229,1,7.33263087272644,1,0.0005936562205559789,0,413.1675138473511,13,0.0229
0.1369,3,7.457047939300537,1,0.0005925808186537659,0,322.1988754272461,13,0.1369
0.2051,10,6.811798095703125,1,0.0005804494586291615,2,163.96312069892883,13,0.2002
0.2057,11,8.111536979675293,1,0.0005776762636705848,0,151.9839096069336,13,0.2057
0.2057,21,7.776799440383911,1,0.0005366228856229945,10,78.44725012779236,13,0.1893
0.0205,1,7.9352662563323975,1,0.0005457370178059694,0,414.47393894195557,14,0.0205
0.1283,3,7.429628849029541,1,0.000544748421027674,0,329.6581811904907,14,0.1283
0.2015,10,7.338167428970337,1,0.0005335962895203889,2,172.6146342754364,14,0.1985
0.2058,11,7.716375827789307,1,0.0005310469434610302,0,160.65962624549866,14,0.2058
0.2058,21,7.319223880767822,1,0.0004933073437890676,10,86.25666761398315,14,0.1916
0.0195,1,7.775783061981201,1,0.00047869050564523216,0,416.4976053237915,15,0.0195
0.1103,3,7.686775207519531,1,0.0004778233629075378,0,341.08462715148926,15,0.1103
0.1981,10,7.482911586761475,1,0.00046804132632935854,0,186.2480263710022,15,0.1981
0.2045,11,7.541145086288452,1,0.00046580518013732397,0,174.38995099067688,15,0.2045
0.2045,21,7.662519931793213,1,0.0004327020783494892,10,98.87188720703125,15,0.1941
