best_mrr20_seen,best_run_result_file,combo_id,dataset,latest_best_mrr20,latest_result_file,latest_test_mrr20,model,run_count
0.0813,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c3_20260317_000520_098390_pid12949.json,K_12e_top3_C3,KuaiRecLargeStrictPosV2_0.2,0.0813,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c3_20260317_000520_098390_pid12949.json,0.1615,FeaturedMoE_N3,1
0.0813,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c4_20260316_231735_247564_pid12733.json,K_12e_top3_C4,KuaiRecLargeStrictPosV2_0.2,0.0813,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c4_20260316_231735_247564_pid12733.json,0.1618,FeaturedMoE_N3,1
0.0814,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c1_20260316_234315_436611_pid12829.json,K_12e_top6_C1,KuaiRecLargeStrictPosV2_0.2,0.0814,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c1_20260316_234315_436611_pid12829.json,0.1621,FeaturedMoE_N3,1
0.0813,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c2_20260316_232927_834638_pid12788.json,K_12e_top6_C2,KuaiRecLargeStrictPosV2_0.2,0.0813,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c2_20260316_232927_834638_pid12788.json,0.1617,FeaturedMoE_N3,1
0.0812,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c3_20260317_004017_076083_pid13107.json,K_12e_top6_C3,KuaiRecLargeStrictPosV2_0.2,0.0812,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c3_20260317_004017_076083_pid13107.json,0.1619,FeaturedMoE_N3,1
0.0811,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c4_20260316_235818_256675_pid12871.json,K_12e_top6_C4,KuaiRecLargeStrictPosV2_0.2,0.0811,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c4_20260316_235818_256675_pid12871.json,0.1607,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c1_20260316_204831_609200_pid11998.json,K_4e_dense_C1,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c1_20260316_204831_609200_pid11998.json,0.1615,FeaturedMoE_N3,1
0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c2_20260316_204015_077868_pid11966.json,K_4e_dense_C2,KuaiRecLargeStrictPosV2_0.2,0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c2_20260316_204015_077868_pid11966.json,0.1619,FeaturedMoE_N3,1
0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c3_20260316_215453_908728_pid12337.json,K_4e_dense_C3,KuaiRecLargeStrictPosV2_0.2,0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c3_20260316_215453_908728_pid12337.json,0.161,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c4_20260316_210649_994254_pid12060.json,K_4e_dense_C4,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_dense_c4_20260316_210649_994254_pid12060.json,0.1616,FeaturedMoE_N3,1
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c1_20260316_212328_105627_pid12157.json,K_4e_top1_C1,KuaiRecLargeStrictPosV2_0.2,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c1_20260316_212328_105627_pid12157.json,0.162,FeaturedMoE_N3,1
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c2_20260316_211511_498973_pid12126.json,K_4e_top1_C2,KuaiRecLargeStrictPosV2_0.2,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c2_20260316_211511_498973_pid12126.json,0.1608,FeaturedMoE_N3,1
