model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,candidate_id,candidate_source,source_stage,transfer_from_dataset,result_path,timestamp_utc
SIGMA,0.004700,0.002400,0.004700,0.002400,0.004700,0.002400,P23_SH_C06_MSIGMA_FAD_H4_R2_S1,SH_LASTFM0_03_SIGMA_FAD_H4_R2_S1,lastfm0.03,FAD_H4_R2,1,6,run_complete,3,False,True,FAD_H4_R2,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_fad_h4_r2_s1_20260409_074435_177229_pid485966.json,2026-04-09T07:47:57.030811Z
SIGMA,0.004700,0.002400,0.004700,0.002400,0.000100,0.000400,P23_SH_C06_MSIGMA_FAD_H2_R1_STRUCTS_S1,SH_LASTFM0_03_SIGMA_FAD_H2_R1_STRUCTS_S1,lastfm0.03,FAD_H2_R1_STRUCTS,1,5,run_complete,3,False,True,FAD_H2_R1_STRUCTS,stageh_screen_variant,Final_all_datasets_variant,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_fad_h2_r1_structs_s1_20260409_074624_861608_pid486194.json,2026-04-09T07:51:59.290259Z
SIGMA,0.008900,0.007300,0.008900,0.007300,0.008900,0.007300,P23_SH_C06_MSIGMA_FAD_H4_R2_STRUCTS_S1,SH_LASTFM0_03_SIGMA_FAD_H4_R2_STRUCTS_S1,lastfm0.03,FAD_H4_R2_STRUCTS,1,5,run_complete,3,False,True,FAD_H4_R2_STRUCTS,stageh_screen_variant,Final_all_datasets_variant,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_fad_h4_r2_structs_s1_20260409_075204_526712_pid486620.json,2026-04-09T07:55:16.500304Z
SIGMA,0.008900,0.007300,0.008900,0.007300,0.003500,0.001900,P23_SH_C06_MSIGMA_FAD_H4_R2_STRUCTL_S1,SH_LASTFM0_03_SIGMA_FAD_H4_R2_STRUCTL_S1,lastfm0.03,FAD_H4_R2_STRUCTL,1,5,run_complete,3,False,True,FAD_H4_R2_STRUCTL,stageh_screen_variant,Final_all_datasets_variant,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_fad_h4_r2_structl_s1_20260409_075521_332814_pid487492.json,2026-04-09T07:58:44.728629Z
SIGMA,0.014000,0.011700,0.014000,0.011700,0.014000,0.011700,P23_SH_C06_MSIGMA_FAD_H2_R1_S1,SH_LASTFM0_03_SIGMA_FAD_H2_R1_S1,lastfm0.03,FAD_H2_R1,1,7,run_complete,3,False,True,FAD_H2_R1,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_fad_h2_r1_s1_20260409_074349_790618_pid485851.json,2026-04-09T08:04:14.089864Z
SIGMA,0.153700,0.152900,0.153700,0.152900,0.153700,0.152900,P23_SH_C06_MSIGMA_LFM_SIGMA_STAGEH_REC1_S1,SH_LASTFM0_03_SIGMA_LFM_SIGMA_STAGEH_REC1_S1,lastfm0.03,LFM_SIGMA_STAGEH_REC1,1,4,run_complete,3,False,True,LFM_SIGMA_STAGEH_REC1,manual,stageh_manual_bank,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_lfm_sigma_stageh_rec1_s1_20260409_074446_094496_pid486009.json,2026-04-09T08:08:47.435394Z
SIGMA,0.153700,0.152900,0.153700,0.152900,0.024100,0.024000,P23_SH_C06_MSIGMA_FAD_H2_R1_STRUCTL_S1,SH_LASTFM0_03_SIGMA_FAD_H2_R1_STRUCTL_S1,lastfm0.03,FAD_H2_R1_STRUCTL,1,6,run_complete,3,False,True,FAD_H2_R1_STRUCTL,stageh_screen_variant,Final_all_datasets_variant,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_fad_h2_r1_structl_s1_20260409_074801_887808_pid486312.json,2026-04-09T08:15:31.950058Z
SIGMA,0.153700,0.152900,0.153700,0.152900,0.017300,0.017300,P23_SH_C06_MSIGMA_LFM_SIGMA_STAGEH_REC1_STRUCTS_S1,SH_LASTFM0_03_SIGMA_LFM_SIGMA_STAGEH_REC1_STRUCTS_S1,lastfm0.03,LFM_SIGMA_STAGEH_REC1_STRUCTS,1,5,run_complete,3,False,True,LFM_SIGMA_STAGEH_REC1_STRUCTS,stageh_screen_variant,stageh_manual_bank_variant,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p23_sh_c06_msigma_lfm_sigma_stageh_rec1_structs_s1_20260409_075849_968767_pid487760.json,2026-04-09T08:20:29.298030Z
GRU4Rec,0.153700,0.152900,0.135700,0.131200,0.135700,0.131200,P23_SH_C05_MGRU4REC_LFM_GRU_STAGEH_REC1_S1,SH_LASTFM0_03_GRU4REC_LFM_GRU_STAGEH_REC1_S1,lastfm0.03,LFM_GRU_STAGEH_REC1,1,7,run_complete,3,False,True,LFM_GRU_STAGEH_REC1,manual,stageh_manual_bank,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p23_sh_c05_mgru4rec_lfm_gru_stageh_rec1_s1_20260409_101313_997789_pid493866.json,2026-04-09T10:15:53.055911Z
GRU4Rec,0.177200,0.173400,0.177200,0.173400,0.177200,0.173400,P23_SH_C05_MGRU4REC_OLD_C7_D5_S1,SH_LASTFM0_03_GRU4REC_OLD_C7_D5_S1,lastfm0.03,OLD_C7_D5,1,6,run_complete,3,False,True,OLD_C7_D5,stage_summary,StageD_MicroWide_anchor2_core5,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p23_sh_c05_mgru4rec_old_c7_d5_s1_20260409_101306_012296_pid493835.json,2026-04-09T10:16:44.116311Z
