early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1632,ok,0.1675,0.1625,1
True,5,1.0,1.0,0.0,0.130129873752594,0.0,1.3771683791897495,0.20545566082000732,0.14772753417491913,0.0,0.0,8.863864261265574e-09,1.0,1.0,5.759023938711438,3.9333927191322497,5.759023938711438,0.0,1.0,0.0,1.0,-2.4570847286606566e-09,1.0000000024570848,2.010265091160038e-05,0.9999798975511454,2.010291940099126e-05,0.9999798972826613,0.0,0.0,9.198261329511329,5.759023938711438,0.9888582835566835,0.1649,ok,0.1672,0.1644,2
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0971,ok,0.1277,0.0965,3
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1093,ok,0.1285,0.1041,4
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1645,ok,0.1672,0.164,5
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0908,ok,0.1189,0.0914,6
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1647,ok,0.1667,0.1643,7
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1094,ok,0.1285,0.1043,8
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1648,ok,0.1678,0.1643,9
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1645,ok,0.1669,0.164,10
