early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1684,ok,0.1765,0.1644,1
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,ok,0.1757,0.1676,2
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1674,ok,0.1743,0.167,3
True,19,1.0,1.0,0.0,0.036009106785058975,0.0,1.3851536386602086,0.2776847183704376,0.21934396028518677,0.0,0.0,7.79208379595958e-09,1.0,1.0,6.591479832104832,3.9948206342199115,6.591479832104832,0.0,1.0,0.0,1.0,-2.9045670467942197e-09,1.000000002904567,7.043405248596146e-06,0.9999929566195561,7.043840018348423e-06,0.9999929561847894,0.0,0.0,9.29319034944035,6.591479832104832,0.8097861409427131,0.1709,ok,0.1762,0.1689,4
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1702,ok,0.1748,0.1672,5
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1651,ok,0.174,0.1628,6
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1703,ok,0.1743,0.1677,7
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1706,ok,0.1776,0.1689,8
True,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1686,ok,0.1748,0.1659,9
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1702,ok,0.1751,0.1677,10
