model,best_mrr20_group,best_mrr20_run,best_mrr20_trial,best_hr10_group,best_hr10_run,best_hr10_trial,test_mrr20_group,test_mrr20_run,test_mrr20_trial,test_hr10_group,test_hr10_run,test_hr10_trial,hit_best_mrr20,hit_best_hr10,hit_test_mrr20,hit_test_hr10,trial_idx,trials_progress,status,run_phase,group_key,experiment_note,trial_knobs,log_rel_path
bsarec,0.0104,0.0104,0.0104,0.0273,0.0273,0.0273,0.0094,0.0094,0.0094,0.0247,0.0247,0.0247,Y,Y,Y,Y,1,1/10,success,P0_A_pair02_C1,bsarec,C1 hi_bs_short,drop=0.15 lr=0.00104 wd=0,P0/bsarec_026_a_c1_hi_bs_short.log
bsarec,0.0226,0.0226,0.0226,0.0617,0.0617,0.0617,0.0208,0.0208,0.0208,0.0554,0.0554,0.0554,Y,Y,Y,Y,7,7/10,success,P0_A_pair02_C1,bsarec,C1 hi_bs_short,drop=0.10 lr=0.00494 wd=0.0001,P0/bsarec_026_a_c1_hi_bs_short.log
bsarec,0.0226,0.0016,0.0016,0.0617,0.0041,0.0041,0.0208,0.0012,0.0012,0.0554,0.0036,0.0036,Y,Y,Y,Y,1,1/10,success,P0_A_pair02_C2,bsarec,C2 std_bs_mid,drop=0.20 lr=0.000633 wd=0,P0/bsarec_029_a_c2_std_bs_mid.log
bsarec,0.0226,0.0016,0.0012,0.0617,0.0041,0.0032,0.0208,0.0013,0.0013,0.0554,0.0036,0.0035,,,Y,,3,3/10,success,P0_A_pair02_C2,bsarec,C2 std_bs_mid,drop=0.05 lr=6.76e-05 wd=0,P0/bsarec_029_a_c2_std_bs_mid.log
bsarec,0.0226,0.0016,0.0011,0.0617,0.0041,0.0029,0.0208,0.0013,0.0013,0.0554,0.0037,0.0037,,,,Y,5,5/10,success,P0_A_pair02_C2,bsarec,C2 std_bs_mid,drop=0.15 lr=7.43e-05 wd=1e-06,P0/bsarec_029_a_c2_std_bs_mid.log
bsarec,0.0226,0.0209,0.0209,0.0617,0.0548,0.0548,0.0208,0.0189,0.0189,0.0554,0.0508,0.0508,Y,Y,Y,Y,7,7/10,success,P0_A_pair02_C2,bsarec,C2 std_bs_mid,drop=0.15 lr=0.00296 wd=0.0001,P0/bsarec_029_a_c2_std_bs_mid.log
fame,0.0016,0.0016,0.0016,0.0043,0.0043,0.0043,0.0012,0.0012,0.0012,0.0032,0.0032,0.0032,Y,Y,Y,Y,1,1/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.15 lr=0.000633 wd=0,P0/fame_027_a_c1_hi_bs_short.log
fame,0.0016,0.0016,0.0016,0.0043,0.0043,0.0041,0.0012,0.0012,0.0011,0.0036,0.0036,0.0036,,,,Y,2,2/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.05 lr=0.000603 wd=0.0001,P0/fame_027_a_c1_hi_bs_short.log
fame,0.0017,0.0017,0.0017,0.0045,0.0045,0.0045,0.0014,0.0014,0.0014,0.0036,0.0036,0.0033,Y,Y,Y,,3,3/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.00 lr=6.76e-05 wd=0,P0/fame_027_a_c1_hi_bs_short.log
fame,0.0200,0.0200,0.0200,0.0518,0.0518,0.0518,0.0180,0.0180,0.0180,0.0484,0.0484,0.0484,Y,Y,Y,Y,7,7/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.10 lr=0.00296 wd=0.0001,P0/fame_027_a_c1_hi_bs_short.log
