global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,architecture_id,architecture_name,tuning_stage,family_id,family_group,variant_id,capacity_anchor,search_algo,setting_tier,setting_id,setting_key,setting_group,setting_detail,base_dataset,base_rank,base_key,base_run_phase,base_result_json,base_source,base_test_mrr20,base_valid_mrr20,base_setting_id,base_capacity_anchor,source_feature_mode,runtime_feature_mode,runtime_eval_mode,lr_mode,phase_kind,hparam_preset,pair_id,source_dataset,target_dataset,transfer_mode
0.017100,0.017100,P45_SRC_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_A_S1,transfer source shared_a,transfer_native_shared,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,3,running,0.327800,,,,,,2026-04-16T21:58:33.590388Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_native_shared,source_kuaireclargestrictposv2_0_2_shared_a,transfer_source,shared_a,shared_a,random,essential,TS-00,SOURCE_NATIVE,transfer_source,shared preset=shared_a,,,,,,,,,,,,,,,source_pretrain,shared_a,native_shared,KuaiRecLargeStrictPosV2_0.2,KuaiRecLargeStrictPosV2_0.2,none
0.018600,0.018600,P45_SRC_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_A_S2,transfer source shared_a,transfer_native_shared,trial_new_best,KuaiRecLargeStrictPosV2_0.2,2,4,running,0.337800,,,,,,2026-04-16T22:02:44.502449Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_native_shared,source_kuaireclargestrictposv2_0_2_shared_a,transfer_source,shared_a,shared_a,random,essential,TS-00,SOURCE_NATIVE,transfer_source,shared preset=shared_a,,,,,,,,,,,,,,,source_pretrain,shared_a,native_shared,KuaiRecLargeStrictPosV2_0.2,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018900,P45_SRC_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_A_S3,transfer source shared_a,transfer_native_shared,trial_new_best,KuaiRecLargeStrictPosV2_0.2,3,5,running,0.337200,,,,,,2026-04-16T22:03:02.524523Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_native_shared,source_kuaireclargestrictposv2_0_2_shared_a,transfer_source,shared_a,shared_a,random,essential,TS-00,SOURCE_NATIVE,transfer_source,shared preset=shared_a,,,,,,,,,,,,,,,source_pretrain,shared_a,native_shared,KuaiRecLargeStrictPosV2_0.2,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018900,P45_SRC_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_A_S2,transfer source shared_a,transfer_native_shared,run_complete,KuaiRecLargeStrictPosV2_0.2,2,4,run_complete_no_result,0.337200,,,False,False,,2026-04-16T22:47:00.035321Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_native_shared,source_kuaireclargestrictposv2_0_2_shared_a,transfer_source,shared_a,shared_a,random,essential,TS-00,SOURCE_NATIVE,transfer_source,shared preset=shared_a,,,,,,,,,,,,,,,source_pretrain,shared_a,native_shared,KuaiRecLargeStrictPosV2_0.2,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018900,P45_SRC_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_A_S3,transfer source shared_a,transfer_native_shared,run_complete,KuaiRecLargeStrictPosV2_0.2,3,5,run_complete_no_result,0.337200,,,False,False,,2026-04-16T22:47:21.444876Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_native_shared,source_kuaireclargestrictposv2_0_2_shared_a,transfer_source,shared_a,shared_a,random,essential,TS-00,SOURCE_NATIVE,transfer_source,shared preset=shared_a,,,,,,,,,,,,,,,source_pretrain,shared_a,native_shared,KuaiRecLargeStrictPosV2_0.2,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018900,P45_SRC_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_A_S1,transfer source shared_a,transfer_native_shared,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.337200,,,False,False,,2026-04-16T22:48:03.932873Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_native_shared,source_kuaireclargestrictposv2_0_2_shared_a,transfer_source,shared_a,shared_a,random,essential,TS-00,SOURCE_NATIVE,transfer_source,shared preset=shared_a,,,,,,,,,,,,,,,source_pretrain,shared_a,native_shared,KuaiRecLargeStrictPosV2_0.2,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018100,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_03_S2,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,2,7,run_complete_no_result,0.337300,,,False,False,,2026-04-16T23:35:26.460429Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-03,transfer_target,TR-03,shared_a,random,essential,TR-03,GROUP_ROUTER_INIT,transfer,Initialize group routers only from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_group_router
0.018900,0.018100,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_03_S1,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete_no_result,0.337000,,,False,False,,2026-04-16T23:36:33.118909Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-03,transfer_target,TR-03,shared_a,random,essential,TR-03,GROUP_ROUTER_INIT,transfer,Initialize group routers only from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_group_router
0.018900,0.018900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_01_S1,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete_no_result,0.337200,,,False,False,,2026-04-16T23:38:15.768896Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-01,transfer_target,TR-01,shared_a,random,essential,TR-01,SCRATCH,transfer,Native target training with the shared hyperparameter preset.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_02_S2,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,2,4,run_complete_no_result,0.337200,,,False,False,,2026-04-16T23:40:19.430362Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-02,transfer_target,TR-02,shared_a,random,essential,TR-02,FEATURE_ENCODER_INIT,transfer,Initialize all stage feature encoders from the source dataset.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_feature_encoder
