stage,model,best_candidate_id,best_valid_mrr20,best_test_mrr20,cum_best_valid_mrr20,cum_best_test_mrr20,last_update_utc
A,gru4rec,A014_L04,0.018,0.1994,0.018,0.1994,2026-04-14T12:50:27.784554+00:00
A,gru4rec,A014_L04,0.018,0.1994,0.018,0.1994,2026-04-14T13:36:55.347023+00:00
A,sasrec,A013_L04,0.0197,0.3113,0.0197,0.3113,2026-04-14T12:50:27.784961+00:00
A,sasrec,A013_L04,0.0197,0.3113,0.0197,0.3113,2026-04-14T13:36:55.347432+00:00
A,tisasrec,A017_L03,0.0188,0.2979,0.0188,0.2979,2026-04-14T12:50:27.785691+00:00
A,tisasrec,A017_L03,0.0188,0.2979,0.0188,0.2979,2026-04-14T13:36:55.347810+00:00
