stage,dataset,model,model_label,candidate_id,parent_candidate_id,run_phase,run_id,runtime_seed,gpu_id,status,best_valid_mrr20,test_mrr20,valid_unseen_mrr20,valid_unseen_hit20,test_unseen_mrr20,test_unseen_hit20,valid_main_seen_count,valid_main_unseen_count,test_main_seen_count,test_main_unseen_count,result_path,log_path,elapsed_sec,error,timestamp_utc,params_json
A,beauty,sasrec,SASRec,A008_L04,A008,ABCD_v2_lean_A_DBEAUTY_MSASREC_A008_L04_S1,A_BEAUTY_SASREC_A008_L04_S1,1,7,ok,0.0651,0.0554,0.0,0.0,0.0,0.0,498,129,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_SASRec_abcd_v2_lean_a_dbeauty_msasrec_a008_l04_s1_20260414_080914_708145_pid961580.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/sasrec/stageA/lr_groups/lr_3e-03/logs/ABCD_v2_lean_A_DBEAUTY_MSASREC_A008_L04_S1.log,15.4,,2026-04-14T08:09:26.705571+00:00,"{""dropout"": 0.25, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.003, ""lr_group"": ""lr_3e-03"", ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0005}"
A,beauty,sasrec,SASRec,A008_L03,A008,ABCD_v2_lean_A_DBEAUTY_MSASREC_A008_L03_S1,A_BEAUTY_SASREC_A008_L03_S1,1,1,ok,0.0642,0.0535,0.0005537098807881969,0.007751937984496124,0.0021265005061943685,0.03225806451612903,498,129,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_SASRec_abcd_v2_lean_a_dbeauty_msasrec_a008_l03_s1_20260414_080909_385238_pid961410.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/sasrec/stageA/lr_groups/lr_1e-03/logs/ABCD_v2_lean_A_DBEAUTY_MSASREC_A008_L03_S1.log,17.0,,2026-04-14T08:09:22.919284+00:00,"{""dropout"": 0.25, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.0012, ""lr_group"": ""lr_1e-03"", ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0005}"
A,beauty,tisasrec,TiSASRec,A007_L04,A007,ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L04_S1,A_BEAUTY_TISASREC_A007_L04_S1,1,0,ok,0.0482,0.0351,0.0,0.0,0.0,0.0,498,129,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_abcd_v2_lean_a_dbeauty_mtisasrec_a007_l04_s1_20260414_081129_446643_pid963680.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/tisasrec/stageA/lr_groups/lr_3e-03/logs/ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L04_S1.log,16.8,,2026-04-14T08:11:42.689601+00:00,"{""dropout"": 0.2, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.003, ""lr_group"": ""lr_3e-03"", ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 0.0001}"
A,beauty,tisasrec,TiSASRec,A007_L03,A007,ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L03_S1,A_BEAUTY_TISASREC_A007_L03_S1,1,6,ok,0.0455,0.0467,0.0,0.0,0.0,0.0,498,129,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_abcd_v2_lean_a_dbeauty_mtisasrec_a007_l03_s1_20260414_081128_809460_pid963679.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/tisasrec/stageA/lr_groups/lr_1e-03/logs/ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L03_S1.log,19.2,,2026-04-14T08:11:44.857220+00:00,"{""dropout"": 0.2, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.0012, ""lr_group"": ""lr_1e-03"", ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 0.0001}"
A,beauty,tisasrec,TiSASRec,A007_L02,A007,ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L02_S1,A_BEAUTY_TISASREC_A007_L02_S1,1,4,ok,0.0327,0.0415,0.0011074197615763939,0.007751937984496124,0.0,0.0,498,129,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_abcd_v2_lean_a_dbeauty_mtisasrec_a007_l02_s1_20260414_081128_704515_pid963671.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/tisasrec/stageA/lr_groups/lr_6e-04/logs/ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L02_S1.log,20.3,,2026-04-14T08:11:45.586436+00:00,"{""dropout"": 0.2, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.0006, ""lr_group"": ""lr_6e-04"", ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 0.0001}"
A,beauty,tisasrec,TiSASRec,A007_L01,A007,ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L01_S1,A_BEAUTY_TISASREC_A007_L01_S1,1,1,ok,0.0194,0.0134,0.013796130816141764,0.06976744186046512,0.009877954204116137,0.04032258064516129,498,129,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_abcd_v2_lean_a_dbeauty_mtisasrec_a007_l01_s1_20260414_081128_194564_pid963665.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/tisasrec/stageA/lr_groups/lr_2e-04/logs/ABCD_v2_lean_A_DBEAUTY_MTISASREC_A007_L01_S1.log,20.6,,2026-04-14T08:11:45.505953+00:00,"{""dropout"": 0.2, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.0002, ""lr_group"": ""lr_2e-04"", ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 0.0001}"
A,beauty,tisasrec,TiSASRec,A001_L01,A001,ABCD_v2_lean_A_DBEAUTY_MTISASREC_A001_L01_S1,A_BEAUTY_TISASREC_A001_L01_S1,1,7,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_abcd_v2_lean_a_dbeauty_mtisasrec_a001_l01_s1_20260414_081056_224564_pid962883.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/tisasrec/stageA/lr_groups/lr_2e-04/logs/ABCD_v2_lean_A_DBEAUTY_MTISASREC_A001_L01_S1.log,7.3,,2026-04-14T08:11:00.109388+00:00,"{""dropout"": 0.1, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.0002, ""lr_group"": ""lr_2e-04"", ""max_len"": 50, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 1e-06}"
A,beauty,tisasrec,TiSASRec,A001_L02,A001,ABCD_v2_lean_A_DBEAUTY_MTISASREC_A001_L02_S1,A_BEAUTY_TISASREC_A001_L02_S1,1,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_abcd_v2_lean_a_dbeauty_mtisasrec_a001_l02_s1_20260414_081058_734365_pid962922.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/beauty/tisasrec/stageA/lr_groups/lr_6e-04/logs/ABCD_v2_lean_A_DBEAUTY_MTISASREC_A001_L02_S1.log,7.4,,2026-04-14T08:11:02.707665+00:00,"{""dropout"": 0.1, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.0006, ""lr_group"": ""lr_6e-04"", ""max_len"": 50, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 1e-06}"
A,foursquare,gru4rec,GRU4Rec,A006_L04,A006,ABCD_v2_lean_A_DFOURSQUARE_MGRU4REC_A006_L04_S1,A_FOURSQUARE_GRU4REC_A006_L04_S1,1,7,ok,0.1396,0.1103,0.0,0.0,0.0,0.0,2673,948,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_GRU4Rec_abcd_v2_lean_a_dfoursquare_mgru4rec_a006_l04_s1_20260414_081334_687044_pid966015.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/foursquare/gru4rec/stageA/lr_groups/lr_3e-03/logs/ABCD_v2_lean_A_DFOURSQUARE_MGRU4REC_A006_L04_S1.log,44.4,,2026-04-14T08:14:15.465359+00:00,"{""dropout"": 0.3, ""hidden_size"": 192, ""inner_size"": 384, ""learning_rate"": 0.003, ""lr_group"": ""lr_3e-03"", ""max_len"": 50, ""num_layers"": 1, ""weight_decay"": 1e-05}"
A,foursquare,gru4rec,GRU4Rec,A009_L04,A009,ABCD_v2_lean_A_DFOURSQUARE_MGRU4REC_A009_L04_S1,A_FOURSQUARE_GRU4REC_A009_L04_S1,1,5,ok,0.1354,0.106,0.0,0.0,0.0,0.0,2673,948,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_GRU4Rec_abcd_v2_lean_a_dfoursquare_mgru4rec_a009_l04_s1_20260414_081430_089785_pid966671.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/ABCD_v2_lean/foursquare/gru4rec/stageA/lr_groups/lr_3e-03/logs/ABCD_v2_lean_A_DFOURSQUARE_MGRU4REC_A009_L04_S1.log,18.8,,2026-04-14T08:14:45.491616+00:00,"{""dropout"": 0.3, ""hidden_size"": 160, ""inner_size"": 320, ""learning_rate"": 0.003, ""lr_group"": ""lr_3e-03"", ""max_len"": 20, ""num_layers"": 1, ""weight_decay"": 1e-06}"
