dataset,model,model_label,best_candidate_id,best_valid_mrr20,test_mrr20,test_unseen_mrr20,test_main_seen_count,test_main_unseen_count,result_path
KuaiRecLargeStrictPosV2_0.2,gru4rec,GRU4Rec,A014_L04,0.018,0.1994,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_abcd_v2_lean_a_dkuaireclargestrictposv2_0.2_mgru4rec_a014_l04_s1_20260414_093345_997255_pid982689.json
KuaiRecLargeStrictPosV2_0.2,sasrec,SASRec,A013_L04,0.0197,0.3113,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_SASRec_abcd_v2_lean_a_dkuaireclargestrictposv2_0.2_msasrec_a013_l04_s1_20260414_094437_737881_pid983900.json
KuaiRecLargeStrictPosV2_0.2,tisasrec,TiSASRec,A017_L03,0.0188,0.2979,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_TiSASRec_abcd_v2_lean_a_dkuaireclargestrictposv2_0.2_mtisasrec_a017_l03_s1_20260414_100142_804152_pid985502.json
beauty,gru4rec,GRU4Rec,A017_L03,0.0153,0.0074,0.001008064531150364,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_GRU4Rec_abcd_v2_lean_a_dbeauty_mgru4rec_a017_l03_s1_20260414_080743_658581_pid960273.json
beauty,sasrec,SASRec,A006_L04,0.0798,0.0595,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_SASRec_abcd_v2_lean_a_dbeauty_msasrec_a006_l04_s1_20260414_080848_443540_pid961175.json
beauty,tisasrec,TiSASRec,A007_L04,0.0482,0.0351,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_abcd_v2_lean_a_dbeauty_mtisasrec_a007_l04_s1_20260414_081129_446643_pid963680.json
foursquare,gru4rec,GRU4Rec,A006_L04,0.1396,0.1103,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_GRU4Rec_abcd_v2_lean_a_dfoursquare_mgru4rec_a006_l04_s1_20260414_081334_687044_pid966015.json
foursquare,sasrec,SASRec,A008_L04,0.1942,0.1644,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_SASRec_abcd_v2_lean_a_dfoursquare_msasrec_a008_l04_s1_20260414_081959_446332_pid970713.json
foursquare,tisasrec,TiSASRec,A007_L04,0.1975,0.1584,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_TiSASRec_abcd_v2_lean_a_dfoursquare_mtisasrec_a007_l04_s1_20260414_082503_166829_pid974332.json
lastfm0.03,gru4rec,GRU4Rec,A006_L04,0.2655,0.2561,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_GRU4Rec_abcd_v2_lean_a_dlastfm0.03_mgru4rec_a006_l04_s1_20260414_100915_331545_pid986025.json
lastfm0.03,sasrec,SASRec,A017_L02,0.3063,0.3041,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_SASRec_abcd_v2_lean_a_dlastfm0.03_msasrec_a017_l02_s1_20260414_104943_509671_pid991156.json
lastfm0.03,tisasrec,TiSASRec,A017_L03,0.3031,0.2973,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_TiSASRec_abcd_v2_lean_a_dlastfm0.03_mtisasrec_a017_l03_s1_20260414_115900_549339_pid994699.json
movielens1m,gru4rec,GRU4Rec,A009_L04,0.0865,0.0591,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_GRU4Rec_abcd_v2_lean_a_dmovielens1m_mgru4rec_a009_l04_s1_20260414_121112_594132_pid996375.json
movielens1m,sasrec,SASRec,A017_L03,0.0839,0.0551,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_SASRec_abcd_v2_lean_a_dmovielens1m_msasrec_a017_l03_s1_20260414_124430_916273_pid1007548.json
movielens1m,tisasrec,TiSASRec,A007_L04,0.0823,0.0553,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_TiSASRec_abcd_v2_lean_a_dmovielens1m_mtisasrec_a007_l04_s1_20260414_124706_201880_pid1009283.json
retail_rocket,gru4rec,GRU4Rec,A009_L04,0.3157,0.3125,0.004322523912223463,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_GRU4Rec_abcd_v2_lean_a_dretail_rocket_mgru4rec_a009_l04_s1_20260414_083623_695601_pid978399.json
retail_rocket,sasrec,SASRec,A013_L02,0.3704,0.3696,0.0042823298182225866,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_SASRec_abcd_v2_lean_a_dretail_rocket_msasrec_a013_l02_s1_20260414_091243_382206_pid979979.json
retail_rocket,tisasrec,TiSASRec,A007_L03,0.3371,0.3326,0.0002328910602497651,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_TiSASRec_abcd_v2_lean_a_dretail_rocket_mtisasrec_a007_l03_s1_20260414_092558_307567_pid980882.json
