early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1603,ok,0.1642,0.1603,1
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1256,ok,0.1487,0.1253,2
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1635,ok,0.1672,0.163,3
True,5,1.0,1.0,0.0,0.13174425065517426,0.0,1.3768941885116524,0.20527002215385437,0.14834557473659515,0.0,0.0,8.64434296114266e-09,1.0,1.0,5.803622372372373,3.9317583770251594,5.803622372372373,0.0,1.0,0.0,1.0,-2.7011659930971456e-09,1.000000002701166,2.169672124150865e-05,0.9999783035141306,2.16967131054665e-05,0.9999783035222665,0.0,0.0,9.160539516789516,5.803622372372373,0.9883011977345176,0.1649,ok,0.1672,0.1646,4
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0862,ok,0.1116,0.0861,5
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,ok,0.1328,0.1121,6
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1253,ok,0.1508,0.1258,7
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1633,ok,0.1675,0.1631,8
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1643,ok,0.1675,0.1639,9
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1631,ok,0.1672,0.163,10
