stage,dataset,model,family,job_id,parent_job_id,run_phase,runtime_seed,gpu_id,status,valid_score,test_score,best_valid_mrr20,test_mrr20,result_path,log_path,elapsed_sec,error,timestamp_utc
stage1,beauty,tisasrec,baseline,S1_BEAUTY_TISASREC,,S1_BEAUTY_TISASREC,610001,resume,ok,0.12482222222222222,0.09473333333333332,0.0993,0.0666,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_TiSASRec_s1_beauty_tisasrec_20260417_154614_946880_pid1592743.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/beauty/tisasrec/baseline/S1_BEAUTY_TISASREC.log,0.0,,2026-04-18T02:49:20.505871Z
stage1,beauty,bsarec,baseline,S1_BEAUTY_BSAREC,,S1_BEAUTY_BSAREC,610002,resume,ok,0.07878327676556782,0.04173250186836139,0.0708,0.0279,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_BSARec_s1_beauty_bsarec_20260417_154655_774198_pid1592742.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/beauty/bsarec/baseline/S1_BEAUTY_BSAREC.log,0.0,,2026-04-18T02:49:20.509808Z
stage1,beauty,sasrec,baseline,S1_BEAUTY_SASREC,,S1_BEAUTY_SASREC,610003,resume,ok,0.11411111111111112,0.07771111111111112,0.0893,0.052,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_SASRec_s1_beauty_sasrec_20260417_154610_936262_pid1592745.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/beauty/sasrec/baseline/S1_BEAUTY_SASREC.log,0.0,,2026-04-18T02:49:20.513610Z
stage1,beauty,difsr,baseline,S1_BEAUTY_DIFSR,,S1_BEAUTY_DIFSR,610004,resume,ok,0.036088888888888886,0.0005256434475800943,0.0323,0.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_DIFSR_s1_beauty_difsr_20260417_154833_900376_pid1592746.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/beauty/difsr/baseline/S1_BEAUTY_DIFSR.log,0.0,,2026-04-18T02:49:20.516239Z
stage1,foursquare,bsarec,baseline,S1_FOURSQUARE_BSAREC,,S1_FOURSQUARE_BSAREC,610006,resume,ok,0.2202867464123967,0.1791666666666667,0.1792,0.1387,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_BSARec_s1_foursquare_bsarec_20260417_171753_219631_pid1609803.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/foursquare/bsarec/baseline/S1_FOURSQUARE_BSAREC.log,0.0,,2026-04-18T02:49:20.519154Z
stage1,foursquare,sasrec,baseline,S1_FOURSQUARE_SASREC,,S1_FOURSQUARE_SASREC,610007,resume,ok,0.2671968337330689,0.22772553850166177,0.2092,0.1709,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_SASRec_s1_foursquare_sasrec_20260417_171729_501121_pid1609818.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/foursquare/sasrec/baseline/S1_FOURSQUARE_SASREC.log,0.0,,2026-04-18T02:49:20.522294Z
stage1,foursquare,difsr,baseline,S1_FOURSQUARE_DIFSR,,S1_FOURSQUARE_DIFSR,610008,resume,ok,0.16311111111111112,0.13661111111111113,0.1358,0.11,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_DIFSR_s1_foursquare_difsr_20260418_021947_474400_pid1623899.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/foursquare/difsr/baseline/S1_FOURSQUARE_DIFSR.log,0.0,,2026-04-18T02:49:20.525608Z
stage1,KuaiRecLargeStrictPosV2_0.2,tisasrec,baseline,S1_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC,,S1_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC,610009,resume,ok,0.02810702935673027,0.2938164576069513,0.0197,0.2763,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_TiSASRec_s1_kuaireclargestrictposv2_0_2_tisasrec_20260417_204151_522390_pid1610563.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/kuaireclargestrictposv2_0_2/tisasrec/baseline/S1_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC.log,0.0,,2026-04-18T02:49:20.528595Z
stage1,KuaiRecLargeStrictPosV2_0.2,bsarec,baseline,S1_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC,,S1_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC,610010,resume,ok,0.02440210617741486,0.3332777777777778,0.018,0.3231,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_BSARec_s1_kuaireclargestrictposv2_0_2_bsarec_20260417_204435_529770_pid1610587.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/kuaireclargestrictposv2_0_2/bsarec/baseline/S1_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC.log,0.0,,2026-04-18T02:49:20.531805Z
stage1,KuaiRecLargeStrictPosV2_0.2,sasrec,baseline,S1_KUAIRECLARGESTRICTPOSV2_0_2_SASREC,,S1_KUAIRECLARGESTRICTPOSV2_0_2_SASREC,610011,resume,ok,0.026325164247740396,0.3102888888888889,0.0193,0.2964,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_SASRec_s1_kuaireclargestrictposv2_0_2_sasrec_20260417_204615_302576_pid1610610.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment/stage1/kuaireclargestrictposv2_0_2/sasrec/baseline/S1_KUAIRECLARGESTRICTPOSV2_0_2_SASREC.log,0.0,,2026-04-18T02:49:20.534861Z
