phase,job_key,run_phase,dataset,source_dataset,target_dataset,pair_id,triplet_id,comparison_role,hparam_id,seed,transfer_mode,backend_transfer_mode,policy,source_checkpoint,baseline_native_checkpoint,checkpoint_export,lr_values,log_path
native_topup,native_topup/KuaiRec/shared_3/seed_4,AI502_REAL_NATIVE_kuairec_shared_3_s4,KuaiRecLargeStrictPosV2_0.2,,KuaiRecLargeStrictPosV2_0.2,,,,shared_3,4,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_4/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_4/best.pth,[0.0005476],
native_topup,native_topup/KuaiRec/shared_3/seed_5,AI502_REAL_NATIVE_kuairec_shared_3_s5,KuaiRecLargeStrictPosV2_0.2,,KuaiRecLargeStrictPosV2_0.2,,,,shared_3,5,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_5/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_3/seed_5/best.pth,[0.0005476],
native_topup,native_topup/KuaiRec/shared_4/seed_4,AI502_REAL_NATIVE_kuairec_shared_4_s4,KuaiRecLargeStrictPosV2_0.2,,KuaiRecLargeStrictPosV2_0.2,,,,shared_4,4,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_4/seed_4/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_4/seed_4/best.pth,[0.0005476],
native_topup,native_topup/KuaiRec/shared_4/seed_5,AI502_REAL_NATIVE_kuairec_shared_4_s5,KuaiRecLargeStrictPosV2_0.2,,KuaiRecLargeStrictPosV2_0.2,,,,shared_4,5,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_4/seed_5/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_4/seed_5/best.pth,[0.0005476],
native_topup,native_topup/KuaiRec/shared_5/seed_4,AI502_REAL_NATIVE_kuairec_shared_5_s4,KuaiRecLargeStrictPosV2_0.2,,KuaiRecLargeStrictPosV2_0.2,,,,shared_5,4,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_5/seed_4/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_5/seed_4/best.pth,[0.0005476],
native_topup,native_topup/KuaiRec/shared_5/seed_5,AI502_REAL_NATIVE_kuairec_shared_5_s5,KuaiRecLargeStrictPosV2_0.2,,KuaiRecLargeStrictPosV2_0.2,,,,shared_5,5,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_5/seed_5/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/KuaiRec/shared_5/seed_5/best.pth,[0.0005476],
native_topup,native_topup/beauty/shared_3/seed_4,AI502_REAL_NATIVE_beauty_shared_3_s4,beauty,,beauty,,,,shared_3,4,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_3/seed_4/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_3/seed_4/best.pth,[0.0005672],
native_topup,native_topup/beauty/shared_3/seed_5,AI502_REAL_NATIVE_beauty_shared_3_s5,beauty,,beauty,,,,shared_3,5,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_3/seed_5/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_3/seed_5/best.pth,[0.0005672],
native_topup,native_topup/beauty/shared_5/seed_4,AI502_REAL_NATIVE_beauty_shared_5_s4,beauty,,beauty,,,,shared_5,4,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_5/seed_4/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_5/seed_4/best.pth,[0.0005672],
native_topup,native_topup/beauty/shared_5/seed_5,AI502_REAL_NATIVE_beauty_shared_5_s5,beauty,,beauty,,,,shared_5,5,none,none,scratch,,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_5/seed_5/best.pth,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/checkpoints/native/beauty/shared_5/seed_5/best.pth,[0.0005672],
