dataset,model_option,model_label,pair_id,combo_id,combo_rank,combo_kind,combo_theme,combo_source,source_axis,source_phase,selection_score,hparam_id,architecture_id,lr_lo,lr_hi,wd_lo,wd_hi,params_json
beauty,sasrec,SASRec,P001,C1,1,existing_primary,best_prior_balanced,PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,0.0730744064185039,,,0.00022360679774997898,0.0013416407864998738,0.00018199999999999998,0.00044199999999999996,"{""dropout"": 0.19, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 14, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.00026}"
beauty,sasrec,SASRec,P001,C2,2,existing_secondary,best_prior_alternative,PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K5,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K5,0.07065555034896001,,,0.00020124611797498108,0.0012074767078498864,0.00016099999999999998,0.000391,"{""dropout"": 0.15, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 16, ""num_heads"": 4, ""num_layers"": 4, ""weight_decay"": 0.00023}"
beauty,sasrec,SASRec,P001,C3,3,full_history_adapted,longer_context_stabilized,adapted_from:PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,0.0730744064185039,,,0.00015395328025086054,0.0010323925852116528,0.0002184,0.000728,"{""dropout"": 0.21, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 20, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.000364}"
beauty,sasrec,SASRec,P001,C4,4,challenge,aggressive_full_history_variant,challenge_from:PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7|PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K5,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,0.0730744064185039,,,0.0001448972049419864,0.0011410654889181429,0.000104,0.00065,"{""dropout"": 0.22, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 23, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00026}"
