dataset,model,model_label,pair_id,combo_id,best_valid_mrr20,test_mrr20,test_unseen_mrr20,test_main_seen_count,test_main_unseen_count,result_path
KuaiRecLargeStrictPosV2_0.2,bsarec,BSARec,P025,C2,0.0168,0.2568,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_BSARec_pair60_v4_dkuaireclargestrictposv2_0_2_mbsarec_p025_c2_s1_20260415_065612_683975_pid1159188.json
KuaiRecLargeStrictPosV2_0.2,difsr,DIFSR,P027,C1,0.0138,0.2906,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DIFSR_pair60_v4_dkuaireclargestrictposv2_0_2_mdifsr_p027_c1_s1_20260415_070146_892462_pid1159837.json
KuaiRecLargeStrictPosV2_0.2,duorec,DuoRec,P024,C2,0.0189,0.3155,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c2_s1_20260415_065400_808514_pid1158947.json
KuaiRecLargeStrictPosV2_0.2,fame,FAME,P028,C1,0.0166,0.2807,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FAME_pair60_v4_dkuaireclargestrictposv2_0_2_mfame_p028_c1_s1_20260415_070622_722220_pid1160205.json
KuaiRecLargeStrictPosV2_0.2,fdsa,FDSA,P029,C1,0.0174,0.1873,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FDSA_pair60_v4_dkuaireclargestrictposv2_0_2_mfdsa_p029_c1_s1_20260415_070812_991082_pid1160356.json
KuaiRecLargeStrictPosV2_0.2,fearec,FEARec,P026,C2,0.0191,0.317,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FEARec_pair60_v4_dkuaireclargestrictposv2_0_2_mfearec_p026_c2_s1_20260415_065952_613634_pid1159708.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,FeaturedMoE_N3,P030,C1,0.0184,0.2867,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pair60_v4_dkuaireclargestrictposv2_0_2_mfeatured_moe_n3_p030_c1_s1_20260415_071129_876754_pid1160614.json
KuaiRecLargeStrictPosV2_0.2,gru4rec,GRU4Rec,P022,C2,0.0182,0.1818,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_pair60_v4_dkuaireclargestrictposv2_0_2_mgru4rec_p022_c2_s1_20260415_064208_924735_pid1157947.json
KuaiRecLargeStrictPosV2_0.2,sasrec,SASRec,P021,C2,0.0185,0.3158,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_SASRec_pair60_v4_dkuaireclargestrictposv2_0_2_msasrec_p021_c2_s1_20260415_063350_109417_pid1156627.json
KuaiRecLargeStrictPosV2_0.2,tisasrec,TiSASRec,P023,C2,0.0189,0.2397,0.0,893,1813,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_TiSASRec_pair60_v4_dkuaireclargestrictposv2_0_2_mtisasrec_p023_c2_s1_20260415_064739_762169_pid1158431.json
beauty,bsarec,BSARec,P005,C1,0.0064,0.0011,0.002228353142498001,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_BSARec_pair60_v4_dbeauty_mbsarec_p005_c1_s1_20260415_050940_695291_pid1145488.json
beauty,difsr,DIFSR,P007,C2,0.0026,0.0008,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_pair60_v4_dbeauty_mdifsr_p007_c2_s1_20260415_051140_410208_pid1145835.json
beauty,duorec,DuoRec,P004,C2,0.0748,0.0499,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DuoRec_pair60_v4_dbeauty_mduorec_p004_c2_s1_20260415_050911_926268_pid1145323.json
beauty,fame,FAME,P008,C2,0.0113,0.005,0.0004480286771731992,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_FAME_pair60_v4_dbeauty_mfame_p008_c2_s1_20260415_051215_576227_pid1146024.json
beauty,fdsa,FDSA,P009,C2,0.0923,0.0766,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_FDSA_pair60_v4_dbeauty_mfdsa_p009_c2_s1_20260415_051255_746068_pid1146148.json
beauty,fearec,FEARec,P006,C1,0.0841,0.0496,0.00025201612903225806,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_FEARec_pair60_v4_dbeauty_mfearec_p006_c1_s1_20260415_051111_103524_pid1145760.json
beauty,featured_moe_n3,FeaturedMoE_N3,P010,C1,0.0884,0.0612,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_FeaturedMoE_N3_pair60_v4_dbeauty_mfeatured_moe_n3_p010_c1_s1_20260415_051321_772461_pid1146247.json
beauty,gru4rec,GRU4Rec,P002,C1,0.0418,0.0196,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_GRU4Rec_pair60_v4_dbeauty_mgru4rec_p002_c1_s1_20260415_050912_037429_pid1145316.json
beauty,sasrec,SASRec,P001,C1,0.0621,0.0581,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_SASRec_pair60_v4_dbeauty_msasrec_p001_c1_s1_20260415_050911_990466_pid1145315.json
beauty,tisasrec,TiSASRec,P003,C1,0.0914,0.0588,0.0,349,248,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_pair60_v4_dbeauty_mtisasrec_p003_c1_s1_20260415_050911_920402_pid1145321.json
foursquare,bsarec,BSARec,P035,C2,0.1524,0.1186,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_BSARec_pair60_v4_dfoursquare_mbsarec_p035_c2_s1_20260415_073107_342668_pid1162552.json
foursquare,difsr,DIFSR,P037,C1,0.1423,0.1229,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_DIFSR_pair60_v4_dfoursquare_mdifsr_p037_c1_s1_20260415_073707_455494_pid1163725.json
foursquare,duorec,DuoRec,P034,C1,0.1889,0.1623,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_DuoRec_pair60_v4_dfoursquare_mduorec_p034_c1_s1_20260415_072444_235013_pid1162106.json
foursquare,fame,FAME,P038,C1,0.1259,0.1003,8.584428103719825e-05,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_FAME_pair60_v4_dfoursquare_mfame_p038_c1_s1_20260415_074002_684435_pid1164458.json
foursquare,fdsa,FDSA,P039,C1,0.2083,0.1714,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_FDSA_pair60_v4_dfoursquare_mfdsa_p039_c1_s1_20260415_074108_358556_pid1164818.json
