dataset,model_option,model_label,pair_id,combo_id,combo_rank,combo_source,hparam_id,architecture_id,lr_lo,lr_hi,params_json
beauty,sasrec,SASRec,P001,C1,1,baseline_p14:amazon_beauty:SASRec:H3,H3,,0.00022360679774997898,0.0013416407864998738,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 0.0002}"
beauty,sasrec,SASRec,P001,C2,2,baseline_p14:amazon_beauty:SASRec:H2,H2,,0.00020124611797498108,0.0012074767078498864,"{""dropout"": 0.12, ""embedding_size"": 144, ""hidden_size"": 144, ""inner_size"": 288, ""max_len"": 25, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.00015}"
beauty,gru4rec,GRU4Rec,P002,C1,1,baseline2_stageA:beauty:gru4rec:A017,A017,,0.0002626261839573503,0.0015757571037441015,"{""dropout"": 0.2, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 50, ""num_layers"": 2, ""weight_decay"": 1e-06}"
beauty,gru4rec,GRU4Rec,P002,C2,2,baseline2_stageA:beauty:gru4rec:A010,A010,,0.0002626261839573503,0.0015757571037441015,"{""dropout"": 0.1, ""hidden_size"": 96, ""inner_size"": 192, ""max_len"": 50, ""num_layers"": 2, ""weight_decay"": 1e-05}"
beauty,tisasrec,TiSASRec,P003,C1,1,baseline_p14:amazon_beauty:TiSASRec:H2,H2,,0.00020846376869169102,0.0008755478285051024,"{""dropout"": 0.12, ""embedding_size"": 144, ""hidden_size"": 144, ""inner_size"": 288, ""max_len"": 24, ""num_heads"": 4, ""num_layers"": 2, ""time_span"": 320, ""weight_decay"": 0.00015}"
beauty,tisasrec,TiSASRec,P003,C2,2,baseline_p14:amazon_beauty:TiSASRec:H3,H3,,0.0001876173918225219,0.0007879930456545922,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 28, ""num_heads"": 4, ""num_layers"": 2, ""time_span"": 384, ""weight_decay"": 0.0002}"
beauty,duorec,DuoRec,P004,C1,1,baseline_p14:amazon_beauty:DuoRec:H2,H2,,0.0001506237033139207,0.0006024948132556828,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}"
beauty,duorec,DuoRec,P004,C2,2,baseline_p14:amazon_beauty:DuoRec:H1,H1,,0.00013556133298252865,0.0005422453319301146,"{""contrast"": ""un"", ""dropout"": 0.1, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.0001}"
beauty,bsarec,BSARec,P005,C1,1,baseline_p14:amazon_beauty:BSARec:H3,H3,,0.00021242645786248001,0.00127455874717488,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 0.0002}"
beauty,bsarec,BSARec,P005,C2,2,baseline_p14:amazon_beauty:BSARec:H4,H4,,0.00015485888778174792,0.0009291533266904873,"{""dropout"": 0.25, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0005}"
beauty,fearec,FEARec,P006,C1,1,baseline_p14:amazon_beauty:FEARec:H1,H1,,0.00016431676725154983,0.0006572670690061993,"{""contrast"": ""un"", ""dropout"": 0.1, ""embedding_size"": 112, ""global_ratio"": 0.85, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.0001}"
