model,combo_id,run_phase,best_valid_mrr20,test_mrr20,overall_hit@5,overall_hit@10,overall_hit@20,overall_ndcg@5,overall_ndcg@10,overall_ndcg@20,overall_mrr@5,overall_mrr@10,overall_mrr@20,seen_hit@5,seen_hit@10,seen_hit@20,seen_ndcg@5,seen_ndcg@10,seen_ndcg@20,seen_mrr@5,seen_mrr@10,seen_mrr@20,unseen_hit@5,unseen_hit@10,unseen_hit@20,unseen_ndcg@5,unseen_ndcg@10,unseen_ndcg@20,unseen_mrr@5,unseen_mrr@10,unseen_mrr@20
FDSA,C2,PAIR60_V4_DBEAUTY_MFDSA_P009_C2_S1,0.0923,0.0766,0.05360134003350084,0.06700167504187604,0.08542713567839195,0.04472797594877144,0.04902915239733468,0.05362715358710169,0.041792294862282336,0.0435484300681095,0.04477550408848167,0.09169054441260745,0.11461318051575932,0.14613180515759314,0.07651175255420214,0.0838693523816871,0.09173470112177567,0.07148997144063769,0.07449401934286927,0.07659305427170073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeaturedMoE_N3,C1,PAIR60_V4_DBEAUTY_MFEATURED_MOE_N3_P010_C1_S1,0.0884,0.0612,0.06030150753768844,0.08375209380234507,0.10887772194304858,0.038406905117546096,0.04581577893677269,0.052135239369306134,0.031099944308375194,0.03405852031767668,0.03577104155317423,0.10315186246418338,0.14326647564469913,0.18624641833810887,0.06569891792313759,0.07837255021562549,0.08918263009591909,0.05319961820085957,0.05826056340874779,0.061190005178352484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TiSASRec,C1,PAIR60_V4_DBEAUTY_MTISASREC_P003_C1_S1,0.0914,0.0588,0.04522613065326633,0.06867671691792294,0.10217755443886097,0.03289347951935364,0.04054721750606045,0.048906168970630395,0.02892238977466596,0.03212225160107541,0.0343631683744278,0.07736389684813753,0.1174785100286533,0.17478510028653296,0.05626764261620092,0.0693601399745504,0.08365897672053395,0.04947468967184979,0.05494837881330091,0.058781694898376494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SASRec,C1,PAIR60_V4_DBEAUTY_MSASREC_P001_C1_S1,0.0621,0.0581,0.05695142378559464,0.07370184254606366,0.08877721943048576,0.037349209264295184,0.04273699476091906,0.046620878617168474,0.03062534903860971,0.032834809092520865,0.03394078535700164,0.09742120343839542,0.12607449856733524,0.1518624641833811,0.06388962157817829,0.07310597671137156,0.07974975511303604,0.052387774716475634,0.056167280883194726,0.058059165782607385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuoRec,C2,PAIR60_V4_DBEAUTY_MDUOREC_P004_C2_S1,0.0748,0.0499,0.06030150753768844,0.07370184254606366,0.09547738693467336,0.034809886610488,0.03892030832755506,0.044328791961398356,0.02618648808206146,0.027754513412664085,0.029189285171690896,0.10315186246418338,0.12607449856733524,0.16332378223495703,0.05954585188097804,0.06657714633682055,0.07582890773912555,0.04479465153292462,0.047476918359199025,0.049931241396846605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEARec,C1,PAIR60_V4_DBEAUTY_MFEAREC_P006_C1_S1,0.0841,0.0496,0.05862646566164154,0.07202680067001675,0.09045226130653267,0.03429785430730887,0.03857898856926603,0.043232453129,0.02610273599325113,0.02784025962378711,0.029111032584803787,0.10028653295128939,0.12320916905444126,0.1518624641833811,0.05866996854287505,0.06599328417149519,0.07325250422715458,0.04465138506581927,0.04762359597536076,0.04961829929262997,0.0,0.0,0.004032258064516129,0.0,0.0,0.0009864941239356995,0.0,0.0,0.00025201612903225806
GRU4Rec,C1,PAIR60_V4_DBEAUTY_MGRU4REC_P002_C1_S1,0.0418,0.0196,0.01675041876046901,0.02847571189279732,0.04020100502512563,0.01090463237147435,0.014745792152494242,0.017730987002102773,0.008989391439723809,0.01060128692456426,0.011430932798577313,0.02865329512893983,0.04871060171919771,0.06876790830945559,0.018653482881863002,0.025224177406988717,0.030330656848869215,0.015377268451332705,0.0181345796388678,0.019553773297279815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAME,C2,PAIR60_V4_DBEAUTY_MFAME_P008_C2_S1,0.0113,0.005,0.005025125628140704,0.008375209380234505,0.011725293132328308,0.003160557505273739,0.004173170082533179,0.004961809620785354,0.0025683975649039748,0.0029452819895105344,0.0031313977549024164,0.008595988538681949,0.014326647564469915,0.014326647564469915,0.005406455102144476,0.007138631917685697,0.007138631917685697,0.004393505290107945,0.005038204434778765,0.005038204434778765,0.0,0.0,0.008064516129032258,0.0,0.0,0.001898458888453822,0.0,0.0,0.0004480286771731992
BSARec,C1,PAIR60_V4_DBEAUTY_MBSAREC_P005_C1_S1,0.0064,0.0011,0.0033500837520938024,0.0033500837520938024,0.006700167504187605,0.0018943547204111888,0.0018943547204111888,0.0026762426847988237,0.0013958682466791302,0.0013958682466791302,0.0015770862287712256,0.0028653295128939827,0.0028653295128939827,0.0057306590257879654,0.0014326647564469914,0.0014326647564469914,0.002107188831427719,0.0009551098660958189,0.0009551098660958189,0.001114294840220394,0.004032258064516129,0.004032258064516129,0.008064516129032258,0.0025440716455059666,0.0025440716455059666,0.0034770483090992895,0.0020161290322580645,0.0020161290322580645,0.002228353142498001
DIFSR,C2,PAIR60_V4_DBEAUTY_MDIFSR_P007_C2_S1,0.0026,0.0008,0.0,0.0016750418760469012,0.005025125628140704,0.0,0.0005966619630554812,0.0013785499274431162,0.0,0.00027917365432783987,0.00046039163641993524,0.0,0.0028653295128939827,0.008595988538681949,0.0,0.0010206509797825855,0.0023581498758840696,0.0,0.00047755493304790943,0.0007875467247641872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
