dataset,model,model_label,pair_id,combo_id,combo_source,hparam_id,architecture_id,run_phase,run_id,runtime_seed,gpu_id,status,best_valid_mrr20,test_mrr20,valid_unseen_mrr20,valid_unseen_hit20,test_unseen_mrr20,test_unseen_hit20,valid_main_seen_count,valid_main_unseen_count,test_main_seen_count,test_main_unseen_count,lr_lo,lr_hi,result_path,log_path,elapsed_sec,error,timestamp_utc,params_json
KuaiRecLargeStrictPosV2_0.2,bsarec,BSARec,P025,C1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:BSARec:H4,H4,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MBSAREC_P025_C1_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC_P025_C1_S1,49,0,ok,0.0133,0.33,0.00019379845538804698,0.002325581395348837,0.0003618807241657592,0.0027578599007170436,2639,860,893,1813,0.00039736809132088103,0.0023842085479252855,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_BSARec_pair60_v4_dkuaireclargestrictposv2_0_2_mbsarec_p025_c1_s1_20260415_065542_164727_pid1159083.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/bsarec/combo_C1/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MBSAREC_P025_C1_S1.log,250.34302186965942,,2026-04-15T06:59:49.079668+00:00,"{""dropout"": 0.25, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0005}"
KuaiRecLargeStrictPosV2_0.2,bsarec,BSARec,P025,C2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:BSARec:H3,H3,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MBSAREC_P025_C2_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC_P025_C2_S1,50,6,ok,0.0168,0.2568,0.0,0.0,0.0,0.0,2639,860,893,1813,0.0004415201014676456,0.002649120608805873,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_BSARec_pair60_v4_dkuaireclargestrictposv2_0_2_mbsarec_p025_c2_s1_20260415_065612_683975_pid1159188.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/bsarec/combo_C2/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MBSAREC_P025_C2_S1.log,362.7261550426483,,2026-04-15T07:02:12.152701+00:00,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 0.0002}"
KuaiRecLargeStrictPosV2_0.2,difsr,DIFSR,P027,C1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H4,H4,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDIFSR_P027_C1_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_DIFSR_P027_C1_S1,53,4,ok,0.0138,0.2906,0.0,0.0,0.0,0.0,2639,860,893,1813,0.00030952882902889685,0.0018571729741733807,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DIFSR_pair60_v4_dkuaireclargestrictposv2_0_2_mdifsr_p027_c1_s1_20260415_070146_892462_pid1159837.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/difsr/combo_C1/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDIFSR_P027_C1_S1.log,285.590763092041,,2026-04-15T07:06:29.025608+00:00,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}"
KuaiRecLargeStrictPosV2_0.2,difsr,DIFSR,P027,C2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H3,H3,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDIFSR_P027_C2_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_DIFSR_P027_C2_S1,54,6,ok,0.0137,0.2836,0.0,0.0,0.0,0.0,2639,860,893,1813,0.00034392092114321867,0.002063525526859312,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DIFSR_pair60_v4_dkuaireclargestrictposv2_0_2_mdifsr_p027_c2_s1_20260415_070215_469482_pid1159945.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/difsr/combo_C2/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDIFSR_P027_C2_S1.log,357.5061128139496,,2026-04-15T07:08:09.661974+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
KuaiRecLargeStrictPosV2_0.2,duorec,DuoRec,P024,C1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DuoRec:H2,H2,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDUOREC_P024_C1_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_DUOREC_P024_C1_S1,47,3,ok,0.0175,0.3071,0.0,0.0,0.0,0.0,2639,860,893,1813,0.00034785054261852176,0.001391402170474087,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c1_s1_20260415_064947_818521_pid1158578.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/duorec/combo_C1/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDUOREC_P024_C1_S1.log,557.428216457367,,2026-04-15T06:59:01.965336+00:00,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}"
KuaiRecLargeStrictPosV2_0.2,duorec,DuoRec,P024,C2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DuoRec:H1,H1,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDUOREC_P024_C2_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_DUOREC_P024_C2_S1,48,4,ok,0.0189,0.3155,0.0,0.0,0.0,0.0,2639,860,893,1813,0.00031306548835666957,0.0012522619534266783,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c2_s1_20260415_065400_808514_pid1158947.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/duorec/combo_C2/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDUOREC_P024_C2_S1.log,466.03775119781494,,2026-04-15T07:01:43.432502+00:00,"{""contrast"": ""un"", ""dropout"": 0.1, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.0001}"
KuaiRecLargeStrictPosV2_0.2,fame,FAME,P028,C1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:FAME:H3,H3,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFAME_P028_C1_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_FAME_P028_C1_S1,55,7,ok,0.0166,0.2807,0.0,0.0,0.0,0.0,2639,860,893,1813,0.00039212242986087905,0.0015684897194435162,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FAME_pair60_v4_dkuaireclargestrictposv2_0_2_mfame_p028_c1_s1_20260415_070622_722220_pid1160205.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/fame/combo_C1/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFAME_P028_C1_S1.log,386.164386510849,,2026-04-15T07:12:45.629113+00:00,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 28, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0002}"
KuaiRecLargeStrictPosV2_0.2,fame,FAME,P028,C2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:FAME:H1,H1,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFAME_P028_C2_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_FAME_P028_C2_S1,56,4,ok,0.0158,0.2908,0.0,0.0,0.0,0.0,2639,860,893,1813,0.00035291018687479115,0.0014116407474991646,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FAME_pair60_v4_dkuaireclargestrictposv2_0_2_mfame_p028_c2_s1_20260415_070633_826766_pid1160239.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/fame/combo_C2/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFAME_P028_C2_S1.log,296.19718050956726,,2026-04-15T07:11:26.524817+00:00,"{""dropout"": 0.1, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}"
KuaiRecLargeStrictPosV2_0.2,fdsa,FDSA,P029,C1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H4,H4,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFDSA_P029_C1_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_FDSA_P029_C1_S1,57,6,ok,0.0174,0.1873,0.0,0.0,0.0,0.0,2639,860,893,1813,0.0003299077398303956,0.0016495386991519782,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FDSA_pair60_v4_dkuaireclargestrictposv2_0_2_mfdsa_p029_c1_s1_20260415_070812_991082_pid1160356.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/fdsa/combo_C1/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFDSA_P029_C1_S1.log,358.09523916244507,,2026-04-15T07:14:07.760222+00:00,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0005}"
KuaiRecLargeStrictPosV2_0.2,fdsa,FDSA,P029,C2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H3,H3,,PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFDSA_P029_C2_S1,R_KUAIRECLARGESTRICTPOSV2_0_2_FDSA_P029_C2_S1,58,3,ok,0.0169,0.2948,0.0,0.0,0.0,0.0,2639,860,893,1813,0.0003665641553671062,0.0018328207768355314,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FDSA_pair60_v4_dkuaireclargestrictposv2_0_2_mfdsa_p029_c2_s1_20260415_070904_751108_pid1160436.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_V4/kuaireclargestrictposv2_0_2/fdsa/combo_C2/logs/PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFDSA_P029_C2_S1.log,462.2533552646637,,2026-04-15T07:16:43.673510+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
