early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1696,ok,0.1735,0.1682,1
True,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1696,ok,0.1746,0.1683,2
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1698,ok,0.1743,0.1685,3
True,7,1.0,1.0,0.0,0.06033036485314369,0.0,1.3791687138281081,0.33376234769821167,0.2371450811624527,0.0,0.0,6.476799811289221e-09,1.0,1.0,7.057454613704614,3.9854940053259598,7.057454613704614,0.0,1.0,0.0,1.0,-2.9533832996815175e-09,1.0000000029533833,2.699920771846412e-05,0.9999730011567569,2.6998969739231293e-05,0.9999730013947297,0.0,0.0,9.268760237510238,7.057454613704614,0.7388195970412553,0.1705,ok,0.1748,0.1687,4
True,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1698,ok,0.174,0.168,5
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1704,ok,0.1757,0.1687,6
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1694,ok,0.1743,0.1681,7
True,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1692,ok,0.1746,0.1679,8
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1698,ok,0.1746,0.1685,9
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1696,ok,0.1759,0.1681,10
