global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,run_id
0.160500,0.160500,P17B_B02_S1,ABL2-02_FG_ONLY_EXPOSURE | Use only Exposure feature group,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,1,running,0.161700,,,,,,2026-04-14T02:19:37.109438Z,P17B,B,kuairec_a12_ablation2_12,02,ABL2-02_FG_ONLY_EXPOSURE,FG_ONLY_EXPOSURE,feature_group_subset,Use only Exposure feature group,B02_S1
0.171600,0.171600,P17B_B05_S1,ABL2-05_FG_NO_TEMPO | Use 3 groups (drop Tempo),wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,6,running,0.169600,,,,,,2026-04-14T02:20:16.157452Z,P17B,B,kuairec_a12_ablation2_12,05,ABL2-05_FG_NO_TEMPO,FG_NO_TEMPO,feature_group_subset,Use 3 groups (drop Tempo),B05_S1
0.171700,0.171700,P17B_B06_S1,ABL2-06_FG_NO_EXPOSURE | Use 3 groups (drop Exposure),wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,7,running,0.169600,,,,,,2026-04-14T02:21:43.264044Z,P17B,B,kuairec_a12_ablation2_12,06,ABL2-06_FG_NO_EXPOSURE,FG_NO_EXPOSURE,feature_group_subset,Use 3 groups (drop Exposure),B06_S1
0.171700,0.165000,P17B_B02_S1,ABL2-02_FG_ONLY_EXPOSURE | Use only Exposure feature group,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.164300,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17b_b02_s1_20260414_021825_312828_pid876139.json,2026-04-14T02:23:14.521044Z,P17B,B,kuairec_a12_ablation2_12,02,ABL2-02_FG_ONLY_EXPOSURE,FG_ONLY_EXPOSURE,feature_group_subset,Use only Exposure feature group,B02_S1
0.171900,0.171900,P17B_B06_S1,ABL2-06_FG_NO_EXPOSURE | Use 3 groups (drop Exposure),wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,7,running,0.169200,,,,,,2026-04-14T02:25:32.692381Z,P17B,B,kuairec_a12_ablation2_12,06,ABL2-06_FG_NO_EXPOSURE,FG_NO_EXPOSURE,feature_group_subset,Use 3 groups (drop Exposure),B06_S1
0.171900,0.170100,P17B_B01_S1,ABL2-01_FG_ONLY_MEMORY | Use only Memory feature group,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.168900,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17b_b01_s1_20260414_021825_260437_pid876138.json,2026-04-14T02:27:06.866488Z,P17B,B,kuairec_a12_ablation2_12,01,ABL2-01_FG_ONLY_MEMORY,FG_ONLY_MEMORY,feature_group_subset,Use only Memory feature group,B01_S1
0.171900,0.171300,P17B_B03_S1,ABL2-03_FG_MEMORY_EXPOSURE | Use Memory + Exposure only,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.169900,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17b_b03_s1_20260414_021825_191178_pid876140.json,2026-04-14T02:27:59.035188Z,P17B,B,kuairec_a12_ablation2_12,03,ABL2-03_FG_MEMORY_EXPOSURE,FG_MEMORY_EXPOSURE,feature_group_subset,Use Memory + Exposure only,B03_S1
0.171900,0.171600,P17B_B05_S1,ABL2-05_FG_NO_TEMPO | Use 3 groups (drop Tempo),wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.169600,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17b_b05_s1_20260414_021825_369685_pid876142.json,2026-04-14T02:28:06.122291Z,P17B,B,kuairec_a12_ablation2_12,05,ABL2-05_FG_NO_TEMPO,FG_NO_TEMPO,feature_group_subset,Use 3 groups (drop Tempo),B05_S1
0.171900,0.171900,P17B_B06_S1,ABL2-06_FG_NO_EXPOSURE | Use 3 groups (drop Exposure),wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.169200,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17b_b06_s1_20260414_021825_124436_pid876143.json,2026-04-14T02:28:43.232865Z,P17B,B,kuairec_a12_ablation2_12,06,ABL2-06_FG_NO_EXPOSURE,FG_NO_EXPOSURE,feature_group_subset,Use 3 groups (drop Exposure),B06_S1
0.171900,0.171500,P17B_B04_S1,ABL2-04_FG_FOCUS_MEMORY | Use Focus + Memory only,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.169200,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17b_b04_s1_20260414_021825_268497_pid876141.json,2026-04-14T02:29:23.371128Z,P17B,B,kuairec_a12_ablation2_12,04,ABL2-04_FG_FOCUS_MEMORY,FG_FOCUS_MEMORY,feature_group_subset,Use Focus + Memory only,B04_S1
