phase,pair_id,triplet_id,comparison_role,source_dataset,target_dataset,hparam_id,seed,transfer_mode,policy,valid_mrr20,test_mrr20,baseline_test_mrr20,gain_mrr20,test_ndcg20,test_recall20,test_hit10,epochs_run,early_stopped,avg_epoch_time_sec,loaded_tensors,init_changed_tensors,train_changed_tensors,loaded_lr_scale,loaded_lr,route_entropy_macro,route_neff_macro,route_top1_macro,route_knn_js_macro,group_knn_js_macro,result_path
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,1,feature_encoder_a12_router_init,std,0.3734,0.3726,0.3727,-9.999999999998899e-05,0.4319,0.6313,0.561,17,True,44.41292980137993,102,75,48,1.0,,1.2757300625392711,3.942935920654401,0.7331196983977379,0.0022463362755114455,0.004691938279380262,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_feature_encoder_a1_20260506_000559_540331_pid520435.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_a12_router_init,std,0.0175,0.3367,0.3352,0.0015000000000000013,0.3441,0.3718,0.3527,23,True,16.62114977836609,102,75,48,1.0,,1.1542080017459344,2.795184986399535,0.9542594864084201,0.005561458754450909,0.011226122295491931,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_feature__20260506_000558_702867_pid520436.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_a12_router_init,std,0.018,0.3367,0.3352,0.0015000000000000013,0.3436,0.3684,0.355,27,True,16.295077120816266,102,75,48,1.0,,1.2361234846723776,3.361355488168139,0.5719938274047403,0.0043442885035547265,0.008880948434389807,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_feature__20260506_000558_660146_pid520437.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,1,full_model_init,std,0.3762,0.3761,0.3727,0.003400000000000014,0.4347,0.6318,0.5642,17,True,45.337861131219306,198,158,125,1.0,,1.2617109080466542,3.9518826732068066,0.7326672950047125,0.002552292517505813,0.0054730177367502365,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_full_model_init_st_20260506_000628_851725_pid520501.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,1,full_model_init,std,0.0186,0.3342,0.3352,-0.0010000000000000009,0.3421,0.3707,0.3505,25,True,16.809463663101198,198,158,125,1.0,,0.9718418039075792,2.1526650611381983,0.9799786333241008,0.00804877083585684,0.01594819856323696,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_full_mod_20260506_001304_287635_pid520529.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,1,full_model_init,std,0.0178,0.3321,0.3352,-0.0030999999999999917,0.3392,0.3651,0.3449,30,True,17.042856764793395,198,158,125,1.0,,1.169290836255589,3.267892440059868,0.5990978514620345,0.009701234676320745,0.021339834332636472,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_full_mod_20260506_001359_777926_pid520549.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,1,feature_encoder_a12_router_init,loaded_lr_0.35,0.3727,0.3726,0.3727,-9.999999999998899e-05,0.4316,0.6298,0.5608,17,True,45.461283445358276,102,75,48,0.35,0.000199381,1.2950192796693372,3.9433979138595947,0.733220232485077,0.00177348732639013,0.003931195935644513,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_feature_encoder_a1_20260506_002044_800658_pid520585.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_a12_router_init,loaded_lr_0.35,0.0182,0.3364,0.3352,0.0011999999999999789,0.3441,0.3718,0.355,29,True,16.542818184556634,102,75,48,0.35,0.00019166,1.1996047690470066,2.9977814880040254,0.9628457246864243,0.003904107299045891,0.008106456684636948,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_feature__20260506_002105_055743_pid520602.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_a12_router_init,loaded_lr_0.35,0.0175,0.3349,0.3352,-0.00030000000000002247,0.3429,0.3718,0.3561,27,True,16.861665107585765,102,75,48,0.35,0.00019166,1.2798258640644167,3.430873001460919,0.9250583626795394,0.0015678435742906176,0.002778968152811814,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_feature__20260506_002135_432320_pid520624.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,1,full_model_init,loaded_lr_0.35,0.3677,0.3669,0.3727,-0.005799999999999972,0.4266,0.6274,0.5579,19,True,45.40201499587611,198,158,125,0.35,0.000199381,1.3195603842679862,3.9894838967413015,0.7324662268300346,0.001489043351762643,0.00310038101947069,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_full_model_init_lo_20260506_002339_693967_pid520666.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,1,full_model_init,loaded_lr_0.35,0.0191,0.3157,0.3352,-0.019500000000000017,0.3279,0.3707,0.3449,32,True,16.864486515522003,198,158,125,0.35,0.00019166,1.2113914104850037,3.057782450063804,0.9535868317967792,0.0047610376384742735,0.010047390379882533,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_full_mod_20260506_002945_046203_pid520687.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,1,full_model_init,loaded_lr_0.35,0.0179,0.3348,0.3352,-0.00040000000000001146,0.3455,0.3841,0.3583,18,True,17.19799741109212,198,158,125,0.35,0.00019166,1.3134642361660664,3.5785386005592232,0.9584536857515926,0.0020282237861591872,0.00389227277042185,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_full_mod_20260506_002955_330770_pid520698.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,2,feature_encoder_a12_router_init,std,0.3724,0.3676,0.3687,-0.0011000000000000454,0.428,0.6314,0.5616,16,True,44.7947813719511,102,75,48,1.0,,1.3367220450930726,3.984339280752543,0.7324662268300346,0.0008167852685573456,0.0014193461637659545,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_feature_encoder_a1_20260506_003545_925486_pid520738.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_a12_router_init,std,0.0188,0.3303,0.3374,-0.007099999999999995,0.339,0.3707,0.3505,29,True,17.315365643336854,102,75,48,1.0,,1.2142121316474104,3.3287747213201437,0.6522771336999961,0.006505256722606431,0.018572948087314498,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_feature__20260506_003610_914177_pid520755.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_a12_router_init,std,0.0195,0.3356,0.3374,-0.0017999999999999683,0.3434,0.3729,0.3527,30,True,16.598543278376262,102,75,48,1.0,,1.1973340960461758,3.1955624975655508,0.7833260792149725,0.0071789887878819176,0.014614132752790557,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_feature__20260506_003925_759521_pid520784.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,2,full_model_init,std,0.376,0.3744,0.3687,0.005699999999999983,0.4326,0.6283,0.5616,16,True,46.31929661333561,198,158,125,1.0,,1.3124265629908891,3.9596029874710164,0.7327426955702168,0.0012096894381663109,0.0021921617398003987,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_full_model_init_st_20260506_004035_988908_pid520820.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,2,full_model_init,std,0.0189,0.3237,0.3374,-0.01369999999999999,0.3321,0.3617,0.3415,31,True,16.375754387147964,198,158,125,1.0,,1.121656742744233,2.7275741729022727,0.9468207177620386,0.007936871232356845,0.01800243320993847,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_full_mod_20260506_004511_165459_pid520840.json
