phase,unit,comparison_role,transfer_mode,policy,n,mean_gain,min_gain,max_gain,wins,mean_epochs
multihop,beauty_to_KuaiRec,a_to_c_direct,feature_encoder_a12_router_init,loaded_lr_0.35,4,-0.0010999999999999899,-0.0025000000000000022,0.0011999999999999789,1,25.75
multihop,beauty_to_KuaiRec,a_to_c_direct,feature_encoder_a12_router_init,std,5,-0.003579999999999994,-0.012799999999999978,0.0016999999999999793,2,27.8
multihop,beauty_to_KuaiRec,a_to_c_direct,full_model_init,loaded_lr_0.35,4,-0.012899999999999995,-0.019500000000000017,-0.007599999999999996,0,27.5
multihop,beauty_to_KuaiRec,a_to_c_direct,full_model_init,std,5,-0.004859999999999998,-0.01369999999999999,0.0029000000000000137,1,24.6
multihop,retail_rocket_to_KuaiRec,b_to_c_direct,feature_encoder_a12_router_init,loaded_lr_0.35,4,-0.0007249999999999895,-0.0042999999999999705,0.0010000000000000009,2,24.0
multihop,retail_rocket_to_KuaiRec,b_to_c_direct,feature_encoder_a12_router_init,std,5,1.1102230246251566e-17,-0.004599999999999993,0.004599999999999993,3,23.4
multihop,retail_rocket_to_KuaiRec,b_to_c_direct,full_model_init,loaded_lr_0.35,4,-0.0033999999999999864,-0.005299999999999971,-0.00040000000000001146,0,24.75
multihop,retail_rocket_to_KuaiRec,b_to_c_direct,full_model_init,std,5,-0.0014199999999999768,-0.005799999999999972,0.0026000000000000467,1,23.0
multihop_bridge,beauty_to_retail_rocket,a_to_b_bridge,feature_encoder_a12_router_init,loaded_lr_0.35,4,0.0006250000000000144,-0.0005000000000000004,0.0016000000000000458,2,16.75
multihop_bridge,beauty_to_retail_rocket,a_to_b_bridge,feature_encoder_a12_router_init,std,5,0.0002999999999999892,-0.0011000000000000454,0.0015000000000000013,3,17.4
multihop_bridge,beauty_to_retail_rocket,a_to_b_bridge,full_model_init,loaded_lr_0.35,4,-0.004224999999999993,-0.005799999999999972,-0.0017000000000000348,0,19.25
multihop_bridge,beauty_to_retail_rocket,a_to_b_bridge,full_model_init,std,5,0.003059999999999996,0.0005000000000000004,0.005699999999999983,5,16.6
