dataset,split,selected_unique_sessions_all_tiers,full_sessions,session_pct_of_split,subset_rows_all_tiers,full_rows,row_pct_of_split
KuaiRecLargeStrictPosV2_0.2,test,1133,3669,0.3088034886890161,6956,14614,0.4759819351306966
KuaiRecLargeStrictPosV2_0.2,valid,979,3669,0.26683019896429544,12318,33853,0.36386730865802147
beauty,test,324,637,0.5086342229199372,1894,3468,0.5461361014994233
beauty,valid,283,636,0.4449685534591195,2043,4252,0.48047977422389465
foursquare,test,2417,3806,0.6350499211770888,11165,15223,0.733429678775537
foursquare,valid,2387,3805,0.6273324572930354,11391,15638,0.7284179562603914
lastfm0.03,test,932,3764,0.24760892667375134,16476,49241,0.33459921610040416
lastfm0.03,valid,991,3763,0.26335370714855166,19801,55816,0.3547549089866705
movielens1m,test,2156,2181,0.988537368179734,78305,79524,0.9846712942004929
movielens1m,valid,2121,2181,0.9724896836313618,86038,89000,0.9667191011235955
retail_rocket,test,13306,22964,0.5794286709632468,68529,99387,0.6895167376014972
retail_rocket,valid,13302,22964,0.5792544852813098,72022,105278,0.6841125401318414
