dataset,split,tier,quota,selected_entries,selected_unique_sessions,full_sessions,session_pct_of_split,subset_rows,full_rows,row_pct_of_split,selection_score_mean,selection_score_median,selection_score_min,selection_score_max,core_score_mean,balance_score_mean
KuaiRecLargeStrictPosV2_0.2,test,permissive,113,904,709,3669,0.19324066503134368,4657,14614,0.3186670316135213,0.6776890919291578,0.6788721598754417,0.473466641323,0.993172525729,0.7135991173467214,0.4846919685096546
KuaiRecLargeStrictPosV2_0.2,test,pure,80,640,594,3669,0.16189697465249386,3967,14614,0.27145203229779663,0.7907437272462194,0.828,0.5495585986651,0.9943829872582,0.8433392818507397,0.5026656896690034
KuaiRecLargeStrictPosV2_0.2,valid,permissive,62,496,449,3669,0.12237666939220496,5858,33853,0.17304227099518507,0.6120363418673522,0.59996137906,0.166,0.9907029101323,0.6651852142953696,0.31500101399065317
KuaiRecLargeStrictPosV2_0.2,valid,pure,94,752,655,3669,0.17852275824475333,8666,33853,0.25598912947153873,0.7252805035935256,0.74103320682885,0.182497979395,0.99439040889,0.8063910952474691,0.2893913647758298
beauty,test,permissive,24,168,150,637,0.23547880690737832,885,3468,0.25519031141868515,0.592456837746167,0.5811531506190142,0.0468124360677927,0.9712523373310596,0.6677095472400577,0.1660248172807856
beauty,test,pure,34,272,228,637,0.3579277864992151,1350,3468,0.3892733564013841,0.67266782427966,0.6989603300724808,0.1458769887440481,0.9768000811906704,0.7498551049785991,0.23527323365233804
beauty,valid,permissive,23,161,145,636,0.2279874213836478,1061,4252,0.24952963311382878,0.5937051033021327,0.5813420746352431,0.0480849394264453,0.984621077009186,0.6685367751094553,0.16965896306063777
beauty,valid,pure,26,208,195,636,0.30660377358490565,1369,4252,0.3219661335841957,0.6885683543851168,0.6989603300724808,0.1636324393663132,0.9841887390326244,0.7654936902103451,0.25265811804215704
foursquare,test,permissive,302,2416,1700,3806,0.4466631634261692,8345,15223,0.5481836694475465,0.6598023801872099,0.63222304154,0.221243999213,0.965312359691,0.7191265623177002,0.3388174358593434
foursquare,test,pure,201,1608,1383,3806,0.36337362059905415,7139,15223,0.46896143992642714,0.7689330495078369,0.8225,0.4181480265589999,0.9847165807621,0.8416196219546868,0.3741249863447464
foursquare,valid,permissive,338,2704,1723,3805,0.45282522996057817,8855,15638,0.5662488809310654,0.649905949174486,0.6268227146558334,0.1805991809996999,0.967215541683,0.7095609648886078,0.32791789811879934
foursquare,valid,pure,201,1608,1358,3805,0.3568988173455979,7281,15638,0.46559662360915716,0.7665315609868304,0.8225,0.4176470847309999,0.9790642144541,0.8389870240447758,0.37561156605100277
lastfm0.03,test,permissive,13,104,98,3764,0.026036131774707757,2356,49241,0.04784630693933917,0.7235748664289154,0.7658453757581667,0.35033542701,0.9890687259949,0.7324116998890404,0.687096418786913
lastfm0.03,test,pure,128,1024,882,3764,0.23432518597236981,15392,49241,0.31258504092118355,0.8099629502400076,0.8229238333769999,0.5772093023427001,0.99433352254,0.87916776176333,0.458927736073357
lastfm0.03,valid,permissive,13,104,96,3763,0.025511559925591284,2557,55816,0.045811236921312885,0.7204616566363994,0.7670925909098666,0.30209316009,0.9888092875031,0.7271741870469123,0.6991359634204769
lastfm0.03,valid,pure,141,1128,952,3763,0.2529896359287802,18840,55816,0.33753762362046724,0.8065437836686776,0.8225,0.558571428569,0.99358389766,0.87278917539416,0.4737065039216255
movielens1m,test,permissive,458,3664,1853,2181,0.849610270518111,69539,79524,0.8744404205019868,0.5869179265470492,0.6058946701139667,0.0314966709615,0.8614465185341,0.6756875166311438,0.08525890475188462
movielens1m,test,pure,494,3952,2010,2181,0.921595598349381,71677,79524,0.9013253860469795,0.6583976349637601,0.6891582382298667,0.1121596798031,0.9941769746441,0.7338595513380697,0.23080257760215897
movielens1m,valid,permissive,441,3528,1857,2181,0.8514442916093535,76535,89000,0.859943820224719,0.574818693281112,0.6362700493688667,0.0260647656553999,0.8815335292441,0.657780088384105,0.10489966595738018
movielens1m,valid,pure,363,2904,1809,2181,0.8294360385144429,71464,89000,0.8029662921348315,0.6665636276749248,0.7123342679830333,0.1272429083478999,0.9950169773881,0.7426985394221315,0.23514325548167128
retail_rocket,test,permissive,1637,13096,9014,22964,0.39252743424490505,53796,99387,0.541278034350569,0.6166899270769569,0.6027366398341666,0.1293787364299999,0.94787554471,0.6990921174820137,0.15921012535057133
retail_rocket,test,pure,1367,10936,8812,22964,0.38373105730708934,46715,99387,0.47003129181884956,0.7814634956111214,0.795,0.560001228991,0.99858101441,0.8844809170240688,0.21349661662588965
retail_rocket,valid,permissive,1606,12848,8979,22964,0.3910033095279568,56276,105278,0.5345466289253216,0.612869542217504,0.5938911935725,0.1278829808799999,0.94900262527,0.6942093012998113,0.16098973982673406
retail_rocket,valid,pure,1341,10728,8692,22964,0.378505486848981,48590,105278,0.4615399228708752,0.7811335271392837,0.7945452381601666,0.5433778238968999,0.99737041578,0.8842271973609269,0.21234161442604965
