dataset,split,tier,group,available_sessions,selected_sessions,quota,selection_score_mean,selection_score_median,selection_score_min,selection_score_max,core_score_mean,balance_score_mean
KuaiRecLargeStrictPosV2_0.2,test,permissive,memory_plus,1044,113,113,0.49932341085628035,0.49567166225,0.4790405848546999,0.562957141238,0.5128131641327788,0.4716533610776612
KuaiRecLargeStrictPosV2_0.2,test,permissive,memory_minus,113,113,113,0.9382287937403204,0.9342940521274,0.8576940214437999,0.993172525729,0.9938494217440885,0.6230452350523008
KuaiRecLargeStrictPosV2_0.2,test,permissive,focus_plus,950,113,113,0.5057483951285106,0.50537679787,0.473466641323,0.572686556568,0.49044639036584065,0.6002176498911092
KuaiRecLargeStrictPosV2_0.2,test,permissive,focus_minus,366,113,113,0.804978608872209,0.8048907480230001,0.8022684912935999,0.813333333337,0.9393455781948675,0.04356578271047784
KuaiRecLargeStrictPosV2_0.2,test,permissive,tempo_plus,635,113,113,0.7261625828812059,0.7210614011705451,0.6989470066008833,0.7744016912263667,0.7444134851129071,0.6344004087513156
KuaiRecLargeStrictPosV2_0.2,test,permissive,tempo_minus,856,113,113,0.7288645658616021,0.7247803177183332,0.7008889725346666,0.7759092636616666,0.7763118288699115,0.46277491763083767
KuaiRecLargeStrictPosV2_0.2,test,permissive,exposure_plus,830,113,113,0.6174257978177995,0.6149018155533332,0.6017742415806667,0.6581584601024333,0.6290656110106195,0.5583372078280416
KuaiRecLargeStrictPosV2_0.2,test,permissive,exposure_minus,1057,113,113,0.6007805802753351,0.596412832815,0.5840326562623335,0.65879731315,0.6225474593427581,0.483541185135493
KuaiRecLargeStrictPosV2_0.2,test,pure,memory_plus,646,80,80,0.5739556034825475,0.563440440217,0.5495585986651,0.735955756092,0.553237440193925,0.6993511229210752
KuaiRecLargeStrictPosV2_0.2,test,pure,memory_minus,80,80,80,0.9524379593005236,0.9523617009691,0.8645832586861,0.9943829872582,0.9958464641846752,0.7064564316236667
KuaiRecLargeStrictPosV2_0.2,test,pure,focus_plus,912,80,80,0.8576590098184926,0.8857826125965,0.7231208134460999,0.946,0.9251464781860002,0.4752300224026169
KuaiRecLargeStrictPosV2_0.2,test,pure,focus_minus,621,80,80,0.8323165178539996,0.8316666666629999,0.828,0.839,0.96784821428,0.06430357143999992
KuaiRecLargeStrictPosV2_0.2,test,pure,tempo_plus,546,80,80,0.9075568854979397,0.9025005723366311,0.8754687994398784,0.9607054138532118,0.9354604673711375,0.7704580629268
KuaiRecLargeStrictPosV2_0.2,test,pure,tempo_minus,921,80,80,0.8308388097544551,0.82306355836,0.81259120898,0.8977861350999999,0.925940329985,0.30314958404386666
KuaiRecLargeStrictPosV2_0.2,test,pure,exposure_plus,743,80,80,0.6678061943426306,0.6599586358695,0.6460631060223333,0.7505420952049999,0.6883813817775417,0.5773426969493924
KuaiRecLargeStrictPosV2_0.2,test,pure,exposure_minus,1238,80,80,0.7033788379191674,0.6985728124265091,0.6846175988671666,0.7617430505631667,0.7548534788276375,0.42503402504460874
KuaiRecLargeStrictPosV2_0.2,valid,permissive,memory_plus,1002,62,62,0.17280830545727094,0.1713553417,0.166,0.2276232586524,0.04621480536787097,0.8901714726305378
KuaiRecLargeStrictPosV2_0.2,valid,permissive,memory_minus,62,62,62,0.9688252984044868,0.9740837939691,0.8582292769861,0.9907029101323,0.9954036769460001,0.8182144866692472
