model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,candidate_id,candidate_source,source_stage,transfer_from_dataset,result_path,timestamp_utc
FAME,0.001500,0.000000,0.001500,0.000000,0.001500,0.000000,P22_SG_D00_M03_C01_FAME_MANUAL_AB_FAME_RECOVER_G_S1,SG_AMAZON_BEAUTY_FAME_MANUAL_AB_FAME_RECOVER_G_S1,amazon_beauty,MANUAL_AB_FAME_RECOVER_G,1,0,run_complete,1,False,True,MANUAL_AB_FAME_RECOVER_G,manual,manual_bank,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/FAME/amazon_beauty_FAME_p22_sg_d00_m03_c01_fame_manual_ab_fame_recover_g_s1_20260407_015539_037726_pid272686.json,2026-04-07T01:55:49.352833Z
SASRec,0.097300,0.078900,0.097300,0.078900,0.097300,0.078900,P22_SG_D00_M01_C01_SASREC_OLD_B2_C6_S1,SG_AMAZON_BEAUTY_SASREC_OLD_B2_C6_S1,amazon_beauty,OLD_B2_C6,1,0,run_complete,1,False,True,OLD_B2_C6,stage_summary,StageC_Focus_anchor2_core5,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/SASRec/amazon_beauty_SASRec_p22_sg_d00_m01_c01_sasrec_old_b2_c6_s1_20260407_015554_163150_pid272734.json,2026-04-07T01:55:59.437301Z
GRU4Rec,0.097300,0.078900,0.000000,0.000000,0.000000,0.000000,P22_SG_D00_M02_C01_GRU4REC_MANUAL_AB_GRU_RECOVER_G_S1,SG_AMAZON_BEAUTY_GRU4REC_MANUAL_AB_GRU_RECOVER_G_S1,amazon_beauty,MANUAL_AB_GRU_RECOVER_G,1,0,run_complete,1,False,True,MANUAL_AB_GRU_RECOVER_G,manual,manual_bank,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p22_sg_d00_m02_c01_gru4rec_manual_ab_gru_recover_g_s1_20260407_015604_153233_pid272755.json,2026-04-07T01:56:09.523374Z
FAME,0.097300,0.078900,0.001500,0.000000,0.001500,0.000000,P22_SG_D00_M03_C01_FAME_MANUAL_AB_FAME_RECOVER_G_S1,SG_AMAZON_BEAUTY_FAME_MANUAL_AB_FAME_RECOVER_G_S1,amazon_beauty,MANUAL_AB_FAME_RECOVER_G,1,0,run_complete,1,False,True,MANUAL_AB_FAME_RECOVER_G,manual,manual_bank,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/FAME/amazon_beauty_FAME_p22_sg_d00_m03_c01_fame_manual_ab_fame_recover_g_s1_20260407_015821_768525_pid273268.json,2026-04-07T01:58:32.171430Z
SASRec,0.097300,0.078900,0.097300,0.078900,0.097300,0.078900,P22_SG_D00_M01_C01_SASREC_OLD_B2_C6_S1,SG_AMAZON_BEAUTY_SASREC_OLD_B2_C6_S1,amazon_beauty,OLD_B2_C6,1,0,run_complete,1,False,True,OLD_B2_C6,stage_summary,StageC_Focus_anchor2_core5,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/SASRec/amazon_beauty_SASRec_p22_sg_d00_m01_c01_sasrec_old_b2_c6_s1_20260407_015837_069449_pid273290.json,2026-04-07T01:58:42.253063Z
GRU4Rec,0.097300,0.078900,0.000000,0.000000,0.000000,0.000000,P22_SG_D00_M02_C01_GRU4REC_MANUAL_AB_GRU_RECOVER_G_S1,SG_AMAZON_BEAUTY_GRU4REC_MANUAL_AB_GRU_RECOVER_G_S1,amazon_beauty,MANUAL_AB_GRU_RECOVER_G,1,0,run_complete,1,False,True,MANUAL_AB_GRU_RECOVER_G,manual,manual_bank,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p22_sg_d00_m02_c01_gru4rec_manual_ab_gru_recover_g_s1_20260407_015847_169495_pid273311.json,2026-04-07T01:58:52.336095Z
FAME,0.097300,0.078900,0.008800,0.000000,0.008800,0.000000,P22_SG_D02_M09_C01_FAME_MANUAL_AB_FAME_RECOVER_G_S1,SG_AMAZON_BEAUTY_FAME_MANUAL_AB_FAME_RECOVER_G_S1,amazon_beauty,MANUAL_AB_FAME_RECOVER_G,1,4,run_complete,7,False,True,MANUAL_AB_FAME_RECOVER_G,manual,manual_bank,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/FAME/amazon_beauty_FAME_p22_sg_d02_m09_c01_fame_manual_ab_fame_recover_g_s1_20260407_124657_172739_pid334240.json,2026-04-07T12:49:30.479228Z
FAME,0.097300,0.078900,0.010600,0.000000,0.010600,0.000000,P22_SG_D02_M09_C01_FAME_MANUAL_AB_FAME_RECOVER_G_S2,SG_AMAZON_BEAUTY_FAME_MANUAL_AB_FAME_RECOVER_G_S2,amazon_beauty,MANUAL_AB_FAME_RECOVER_G,2,5,run_complete,7,False,True,MANUAL_AB_FAME_RECOVER_G,manual,manual_bank,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/FAME/amazon_beauty_FAME_p22_sg_d02_m09_c01_fame_manual_ab_fame_recover_g_s2_20260407_124657_201538_pid334241.json,2026-04-07T12:51:17.679977Z
FAME,0.097300,0.078900,0.010600,0.000900,0.010000,0.000900,P22_SG_D02_M09_C01_FAME_MANUAL_AB_FAME_RECOVER_G_S3,SG_AMAZON_BEAUTY_FAME_MANUAL_AB_FAME_RECOVER_G_S3,amazon_beauty,MANUAL_AB_FAME_RECOVER_G,3,6,run_complete,7,False,True,MANUAL_AB_FAME_RECOVER_G,manual,manual_bank,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/FAME/amazon_beauty_FAME_p22_sg_d02_m09_c01_fame_manual_ab_fame_recover_g_s3_20260407_124657_155342_pid334242.json,2026-04-07T12:51:43.783656Z
FEARec,0.112600,0.085300,0.112600,0.085300,0.112600,0.085300,P22_SG_D02_M07_C01_FEAREC_FAD_H2_R2_S2,SG_AMAZON_BEAUTY_FEAREC_FAD_H2_R2_S2,amazon_beauty,FAD_H2_R2,2,4,run_complete,6,False,True,FAD_H2_R2,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/FEARec/amazon_beauty_FEARec_p22_sg_d02_m07_c01_fearec_fad_h2_r2_s2_20260407_124935_344016_pid334339.json,2026-04-07T12:52:11.882149Z
FEARec,0.115600,0.089900,0.115600,0.089900,0.115600,0.089900,P22_SG_D02_M07_C01_FEAREC_FAD_H2_R2_S1,SG_AMAZON_BEAUTY_FEAREC_FAD_H2_R2_S1,amazon_beauty,FAD_H2_R2,1,7,run_complete,6,False,True,FAD_H2_R2,final_same_dataset,Final_all_datasets,,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/amazon_beauty/FEARec/amazon_beauty_FEARec_p22_sg_d02_m07_c01_fearec_fad_h2_r2_s1_20260407_124657_229064_pid334243.json,2026-04-07T12:52:21.968213Z
