dataset,model,combo_id,combo_kind,priority,run_phase,gpu_id,status,best_valid_mrr20,test_mrr20,valid_unseen_mrr20,test_unseen_mrr20,test_main_seen_count,test_main_unseen_count,est_runtime_sec,elapsed_sec,max_evals,epochs,patience,seed,result_path,log_path,space_yaml,error,timestamp_utc,base_params_json
beauty,difsr,K3,mid_decay,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K3,5,ok,0.0097,0.0066,0.0,0.0,349,248,64.5,57.203,15,100,7,2026041703,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k3_20260416_050608_890311_pid1271104.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K3.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K3.yaml,,2026-04-16T05:07:06.275539+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.16, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.17, ""max_len"": 14, ""n_heads"": 4, ""n_layers"": 3, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": true, ""weight_decay"": 0.00026}"
beauty,difsr,K1,stable_short,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K1,0,ok,0.0047,0.0009,0.0,0.0,349,248,64.5,57.487,15,100,7,2026041701,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k1_20260416_050609_057822_pid1271102.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K1.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K1.yaml,,2026-04-16T05:07:06.496786+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.17, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.17, ""max_len"": 12, ""n_heads"": 4, ""n_layers"": 2, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": true, ""weight_decay"": 0.00028}"
beauty,difsr,K2,mid_soft,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K2,4,ok,0.0157,0.0137,0.0,0.0,349,248,64.5,72.496,15,100,7,2026041702,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k2_20260416_050608_947926_pid1271101.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K2.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K2.yaml,,2026-04-16T05:07:19.926925+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.135, ""embedding_size"": 160, ""fusion_type"": ""concat"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.24, ""max_len"": 14, ""n_heads"": 4, ""n_layers"": 3, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.000135}"
beauty,difsr,K12,gate_mid,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K12,3,ok,0.0072,0.0043,0.0,0.0,349,248,64.5,73.89,15,100,7,2026041712,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k12_20260416_050609_058577_pid1271100.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K12.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K12.yaml,,2026-04-16T05:07:21.386997+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.17, ""max_len"": 14, ""n_heads"": 4, ""n_layers"": 3, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
beauty,difsr,K11,concat_large,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K11,2,ok,0.0208,0.0143,0.0,0.0,349,248,64.5,78.204,15,100,7,2026041711,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k11_20260416_050608_975628_pid1271098.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K11.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K11.yaml,,2026-04-16T05:07:25.308459+00:00,"{""attribute_hidden_size"": 224, ""dropout"": 0.13, ""embedding_size"": 192, ""fusion_type"": ""gate"", ""hidden_size"": 192, ""inner_size"": 384, ""lambda_attr"": 0.23, ""max_len"": 16, ""n_heads"": 4, ""n_layers"": 3, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.000135}"
beauty,difsr,K6,shallow_mix,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K6,5,ok,0.0075,0.0018,0.0,0.0,349,248,64.5,40.915,15,100,7,2026041706,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k6_20260416_050709_523495_pid1271476.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K6.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K6.yaml,,2026-04-16T05:07:48.685667+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.165, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.17, ""max_len"": 12, ""n_heads"": 4, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": true, ""weight_decay"": 0.00022}"
beauty,difsr,K7,wide_attr,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K7,0,ok,0.0404,0.0007,0.0007751938100009001,0.0,349,248,64.5,50.869,15,100,7,2026041707,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k7_20260416_050709_735574_pid1271477.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K7.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K7.yaml,,2026-04-16T05:07:58.924500+00:00,"{""attribute_hidden_size"": 192, ""dropout"": 0.19, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.23, ""max_len"": 14, ""n_heads"": 4, ""n_layers"": 2, ""num_heads"": 4, ""num_layers"": 2, ""use_attribute_predictor"": true, ""weight_decay"": 0.00026}"
beauty,difsr,K9,reset_mild,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K9,3,ok,0.0054,0.0023,0.0,0.0,349,248,64.5,47.958,15,100,7,2026041709,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k9_20260416_050724_949680_pid1271645.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K9.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K9.yaml,,2026-04-16T05:08:15.684341+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.19, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.17, ""max_len"": 14, ""n_heads"": 4, ""n_layers"": 1, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": true, ""weight_decay"": 0.00036}"
beauty,difsr,K10,gate_large,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K10,1,ok,0.0193,0.0192,0.0,0.0,349,248,64.5,123.675,15,100,7,2026041710,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k10_20260416_050608_942262_pid1271096.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K10.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K10.yaml,,2026-04-16T05:08:16.360371+00:00,"{""attribute_hidden_size"": 192, ""dropout"": 0.14, ""embedding_size"": 192, ""fusion_type"": ""concat"", ""hidden_size"": 192, ""inner_size"": 384, ""lambda_attr"": 0.21, ""max_len"": 16, ""n_heads"": 4, ""n_layers"": 3, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.00019}"
beauty,difsr,K5,large_decay,critical,BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K5,7,ok,0.0183,0.0155,0.0,0.0,349,248,64.5,127.742,15,100,7,2026041705,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune3_beauty_difsr_k5_20260416_050609_038828_pid1271106.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/session_logs/BASELINE2_ADDTUNE3_BEAUTY_DIFSR_K5.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING3/spaces/beauty_difsr_K5.yaml,,2026-04-16T05:08:17.564771+00:00,"{""attribute_hidden_size"": 224, ""dropout"": 0.15, ""embedding_size"": 192, ""fusion_type"": ""concat"", ""hidden_size"": 192, ""inner_size"": 384, ""lambda_attr"": 0.21, ""max_len"": 16, ""n_heads"": 4, ""n_layers"": 4, ""num_heads"": 4, ""num_layers"": 4, ""use_attribute_predictor"": true, ""weight_decay"": 0.00023}"
