early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1863,0.1608,1
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.186,0.1609,2
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1879,0.1611,3
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1879,0.1611,4
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1869,0.1608,5
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,ok,0.1871,0.1606,6
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1876,0.1611,7
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.186,0.1608,8
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.188,0.1609,9
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1881,0.1609,10
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0787,ok,0.186,0.1606,11
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1865,0.1607,12
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1858,0.1609,13
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.187,0.1609,14
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1874,0.161,15
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.188,0.1605,16
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1876,0.1612,17
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1858,0.1609,18
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1861,0.1603,19
True,53,1.0,1.0,0.0,0.09792133743508608,0.0,1.0517788614882362,0.2976856231689453,0.20723824203014374,0.0,0.0,8.06482380596621e-09,1.0,1.0,3.858714062747218,2.9715072310113886,3.858714062747218,0.00013796794415148973,0.9998620415729876,0.00013796794415148973,0.9998620415729876,-1.0432593614303798e-10,1.0000000001043259,0.00045330754174417124,0.9995467951865964,0.00045330776179190784,0.9995467949666484,0.0,0.0,7.370720244844681,3.858714062747218,0.5181277364995626,0.0795,ok,0.1879,0.1612,20
