run_phase,setting_id,setting_label,seed_id,best_valid_mrr20,test_mrr20,diag_raw_best_valid_file,result_json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_01_S1,,unknown,0,-1.0,0.0731,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_01_s1_20260417_072524_145854_pid1503695.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_01_S1,,unknown,0,-1.0,0.0731,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_01_s1_20260417_073052_537429_pid1505312.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_01_S2,,unknown,0,-1.0,-1.0,.,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_01_s2_20260417_071752_783672_pid1501372.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_01_S2,,unknown,0,-1.0,0.0073,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_01_s2_20260417_072536_193479_pid1503832.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_01_S3,,unknown,0,-1.0,0.0731,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_01_s3_20260417_074448_468858_pid1507805.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_01_S4,,unknown,0,-1.0,0.0731,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_01_s4_20260417_074448_499622_pid1507806.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S1,,unknown,0,-1.0,0.0566,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s1_20260417_071752_575009_pid1501373.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S1,,unknown,0,-1.0,0.0573,.,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s1_20260417_072356_277087_pid1502596.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S1,,unknown,0,-1.0,0.0566,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s1_20260417_072524_099622_pid1503696.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S1,,unknown,0,-1.0,0.0098,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s1_20260417_072727_519113_pid1504383.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S1,,unknown,0,-1.0,0.0566,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s1_20260417_073052_735364_pid1505313.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S2,,unknown,0,-1.0,0.0566,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s2_20260417_071752_530333_pid1501374.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S2,,unknown,0,-1.0,0.0101,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s2_20260417_072924_704556_pid1504731.json
