global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,source_phase,source_axis,axis_id,axis_desc,setting_uid,setting_idx,setting_key,setting_short,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.079900,0.079900,P10_13_2_AP10_00_H1_S4,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,4,3,running,0.160700,,,,,,2026-03-24T15:26:07.760937Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H1,AP10_00_H1_S4
0.080300,0.080300,P10_13_2_AP10_00_H3_S2,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,2,5,running,0.160600,,,,,,2026-03-24T15:26:25.782223Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S2
0.080600,0.080600,P10_13_2_AP10_00_H1_S1,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161300,,,,,,2026-03-24T15:26:43.805541Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H1,AP10_00_H1_S1
0.080900,0.080900,P10_13_2_AP10_00_H3_S1,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,4,running,0.162000,,,,,,2026-03-24T15:26:49.813872Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S1
0.081100,0.081100,P10_13_2_AP10_00_H3_S3,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,3,6,running,0.161900,,,,,,2026-03-24T15:27:28.860391Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S3
0.081300,0.081300,P10_13_2_AP10_00_H3_S3,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,3,6,running,0.161500,,,,,,2026-03-24T15:33:08.263935Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S3
0.081400,0.081400,P10_13_2_AP10_00_H3_S2,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,2,5,running,0.161700,,,,,,2026-03-24T15:42:05.889222Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S2
0.081400,0.080600,P10_13_2_AP10_00_H1_S1,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161300,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h1_s1_20260324_152253_412467_pid57027.json,2026-03-24T15:59:28.614756Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H1,AP10_00_H1_S1
0.081400,0.080900,P10_13_2_AP10_00_H1_S3,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,2,run_complete,0.161400,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h1_s3_20260324_152253_350377_pid57029.json,2026-03-24T16:02:38.324445Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H1,AP10_00_H1_S3
0.081400,0.080700,P10_13_2_AP10_00_H1_S4,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,3,run_complete,0.161300,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h1_s4_20260324_152253_333974_pid57030.json,2026-03-24T16:03:32.873618Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H1,AP10_00_H1_S4
0.081400,0.080900,P10_13_2_AP10_00_H1_S2,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,1,run_complete,0.161400,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h1_s2_20260324_152253_432325_pid57028.json,2026-03-24T16:07:36.642978Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H1,AP10_00_H1_S2
