gpu_id,order,combo_id,combo_desc,runtime_bucket,recommended_max_evals,est_50ep_single_eval_min,recommended_total_budget_min
0,1,X62,m22_len_30,heavy,3,70.4,211.2
0,2,E42,full_moe_both_complex_mid,heavy,3,60.4,181.2
0,3,R31,full_moe_hidden_only,heavy,3,60.4,181.2
0,4,X61,m22_tempo_memory_only,heavy,3,60.4,181.2
0,5,C72,dense_film_param_match_c70,fast,3,11.2,33.6
0,6,D15,dense_gated_macro_mid_micro,fast,3,9.6,28.7
0,7,D11,dense_plain_macro_mid_micro,fast,3,8.7,26.0
0,8,P00,plain_c2_one_layer,fast,3,8.0,23.9
1,1,E40,full_moe_both_complex_all,heavy,3,65.4,196.2
1,2,T51,full_moe_both_all_token,heavy,3,65.4,196.2
1,3,R33,full_moe_hidden_gated_bias,heavy,3,60.4,181.2
1,4,X63,m22_topk_2,heavy,3,60.4,181.2
1,5,C71,dense_plain_param_match_c70,fast,3,10.4,31.2
1,6,D13,dense_film_macro_mid_micro,fast,3,9.6,28.7
1,7,P01,plain_c3_three_layer,fast,3,8.8,26.3
1,8,D12,dense_film_macro_mid,fast,3,8.7,26.0
2,1,R32,full_moe_feature_only,heavy,3,65.4,196.2
2,2,C70,m22_expert_scale_3,heavy,3,60.4,181.2
2,3,M22,full_moe_both_anchor,heavy,3,60.4,181.2
2,4,R34,hybrid_macro_learn_mid_micro_rule,heavy,3,60.4,181.2
2,5,M21,macro_mid_moe_both,medium,3,42.9,128.6
3,1,T50,full_moe_both_mid_token,heavy,3,65.4,196.2
3,2,E41,full_moe_both_complex_macro,heavy,3,60.4,181.2
3,3,R30,full_rule_soft,heavy,3,60.4,181.2
3,4,X60,m22_macro_window_10,heavy,3,60.4,181.2
3,5,M20,macro_only_moe_both,medium,3,25.4,76.2
3,6,D10,dense_plain_macro_mid,fast,3,8.7,26.0
3,7,D14,dense_gated_macro_mid,fast,3,8.7,26.0
